team_id,season,A_hat_min,A_hat_max,T_j_hat,roster_n,perf_span
1,2011,-0.5024682998674325,0.996801758863415,0.27572704895417727,5,1.4992700587308474
1,2012,-0.887944892400559,3.034354508948963,0.458723155815626,5,3.922299401349522
1,2013,-0.02537597009872293,2.40009344678363,0.7831896523799026,6,2.425469416882353
1,2014,-1.8495844473925376,1.15552597445722,0.1641472444129834,8,3.0051104218497575
1,2015,-1.8687343662224707,2.078388985890524,-0.5156019641773024,10,3.9471233521129943
1,2016,-1.5747289751331384,3.8111098059558315,0.11263213072117939,8,5.38583878108897
1,2017,-2.1935627070845976,1.274153047842508,-0.07453565964857,8,3.467715754927106
1,2018,-2.205598650491519,0.7895001193751613,-0.672249629235634,9,2.99509876986668
1,2019,-1.1471915646771975,1.6553972687725103,0.23192938834214932,4,2.8025888334497076
2,2011,-1.350099511506771,0.9373319368593137,-0.11927342317417554,13,2.287431448366085
2,2012,-2.138111257807609,0.7908288572240144,-0.2697658859186929,12,2.928940115031623
2,2013,-1.0547093749794945,1.416967682040519,0.022276465807112105,12,2.4716770570200133
2,2014,-1.3546817811690426,1.8852985129611308,-0.15332556295175379,12,3.2399802941301736
2,2015,-1.5705085847415445,1.9029446348598325,-0.290101361541578,13,3.473453219601377
2,2016,-2.2391392177783933,1.5072088122314988,-0.4631296686234394,13,3.746348030009892
2,2017,-1.5589480591240816,1.4761019718585477,0.26161790522961786,12,3.0350500309826294
2,2018,-0.8976344954742465,1.7375705788536753,0.3558843506948374,10,2.6352050743279216
2,2019,-0.9541758047977411,1.461601232416945,0.2561477994998563,13,2.415777037214686
2,2020,-1.784369688412525,1.3540907613157358,0.11576746261748894,12,3.138460449728261
2,2021,-1.065144925180328,2.1899532171546654,0.3259736478751491,13,3.2550981423349934
3,2020,-0.8552360083102272,0.5212583325820658,0.02843937102803488,3,1.376494340892293
5,2011,-1.5422292528116879,1.6101216878578726,-0.15326754309259477,10,3.1523509406695602
5,2012,-1.7027816309677704,1.1950407967598133,-0.334086008943272,11,2.8978224277275837
5,2013,-0.8360740023684375,1.7788883922150671,0.30757981575310683,11,2.6149623945835048
5,2014,-0.6858144652394985,1.2592774201386352,0.05889527150526685,11,1.9450918853781336
5,2015,-1.492308403319384,1.1761812422341003,0.09935330891243488,12,2.6684896455534846
5,2016,-0.6536147751022168,3.549711726120158,0.5385969439592219,12,4.203326501222374
5,2017,-0.4079393444531325,1.6050086095186509,0.11962358642116558,11,2.0129479539717834
5,2018,-1.1169577531753134,2.072346180659802,0.14207044313008713,10,3.1893039338351152
5,2019,-1.434911318890032,0.9283895641742251,-0.20162539180156147,12,2.363300883064257
5,2020,-1.047259418142889,0.9843010393582138,0.035950644879349104,12,2.0315604575011026
5,2021,-1.4447790552614574,1.1090844530100532,0.04844314738814881,12,2.553863508271511
6,2011,-1.3357614711108818,1.1399289646079476,0.02427381168159728,13,2.475690435718829
6,2012,-1.3772869033829278,1.3554717375780698,0.025151742083653127,11,2.7327586409609976
6,2013,-1.3674428882120155,2.2502590182646736,0.07336353407181512,11,3.617701906476689
6,2014,-0.7482524984782531,1.5260455257971794,-0.022650665169465612,11,2.2742980242754327
6,2015,-1.1279445983848662,1.3043024649488701,0.18473523280381784,11,2.4322470633337363
6,2016,-0.9399799040345465,1.5865778245499293,0.06408907412144256,12,2.526557728584476
6,2017,-1.0909503843732762,1.0146759109638592,-0.03596519384081361,12,2.105626295337135
6,2018,-0.8322362877233827,1.9021034064853213,-0.049694918807684986,12,2.734339694208704
6,2019,-1.0626780776051217,1.408861799163371,0.13321054029300478,10,2.4715398767684924
6,2020,-0.6366163188743924,1.0515078917257925,0.0739616825264199,11,1.688124210600185
6,2021,-2.3538055842706553,1.8565328521085465,0.10146195690500479,9,4.210338436379201
8,2011,-0.5194634118802514,2.812711550099759,0.39324834965695304,13,3.33217496198001
8,2012,-1.4759802698240516,4.793366294139865,0.5894820340806736,12,6.269346563963917
8,2013,-1.3883496679456724,2.097629008627933,0.3029701546391858,13,3.4859786765736054
8,2014,-0.8361175180123122,1.1233642673419824,0.26688503063863356,14,1.9594817853542945
8,2015,-1.2158436576052134,2.1967790055620657,0.1295094337885902,13,3.412622663167279
8,2016,-0.9944038461836521,1.9748491701761728,0.16851803588238148,10,2.9692530163598247
8,2017,-1.7078882316046107,1.7367509673199202,0.13368867899313908,12,3.4446391989245306
8,2018,-1.0947908570761147,1.7326276683139128,0.16115659124458406,11,2.8274185253900272
8,2019,-0.7885195603963435,1.8608298858054741,0.09185431744911102,11,2.6493494462018177
8,2020,-1.1990171820057154,2.424228985190877,0.060109227860743936,9,3.6232461671965925
8,2021,-0.9307658724944382,1.8790852613372722,0.3814763642991819,11,2.8098511338317103
9,2011,-1.487335041010283,1.0607073099289395,-0.12184195532806809,13,2.5480423509392223
9,2012,-2.117932027697634,0.968639462764838,-0.10437149620648571,10,3.086571490462472
9,2013,-1.4164754553545071,1.562073492272282,-0.04743630888561098,10,2.9785489476267895
9,2014,-0.8241443949899085,1.4204163842125828,0.11712740436375253,13,2.2445607792024913
9,2015,-0.426023917541772,1.6233052764271854,0.31393827875259045,13,2.0493291939689575
9,2016,-1.6734926598506763,0.9405383720238985,0.12323989428815055,9,2.6140310318745748
9,2017,-1.6705286565676887,1.4526013027197398,-0.16143652941057393,11,3.1231299592874286
9,2018,-0.9852917317668196,1.3499925200202931,0.28955042172051143,10,2.3352842517871126
9,2019,-1.3969766656976705,1.3121839186562585,0.03680878810847857,11,2.709160584353929
9,2020,-1.391991902133032,1.8222887048332723,-0.018158048530118362,12,3.2142806069663044
9,2021,-1.8568710817456273,1.9001084451264731,-0.09078872377730704,13,3.7569795268721005
11,2014,-2.0633626278086785,2.699882454588469,0.18394660687617606,4,4.763245082397148
11,2018,-0.6796404696380344,0.9156794467087905,0.049648634977657105,5,1.595319916346825
12,2011,-1.5422292528116879,2.68024698992459,0.047365712032891895,13,4.222476242736278
12,2012,-1.5795789958350845,0.9695619913353513,-0.03801563825913626,11,2.5491409871704356
12,2013,-0.5450803933329084,1.7027224627379582,0.39362892682359024,10,2.2478028560708667
12,2014,-2.0633626278086785,2.5070674362605487,0.1116933339191488,13,4.570430064069227
12,2015,-2.135567960179089,1.3500538531987154,0.18680454884432068,13,3.4856218133778043
12,2016,-1.490005521373005,2.5906121614505753,0.4349229295876957,12,4.08061768282358
12,2017,-2.1935627070845976,1.4722237687121722,-0.10874983558854674,11,3.6657864757967697
12,2018,-1.0076501720644844,1.9191756813718257,0.12841595515208348,11,2.92682585343631
12,2019,-0.8623756263184874,0.832195458048886,0.12138562304614356,11,1.6945710843673734
12,2020,-0.3862328762568049,1.5259167913780711,0.33883589455410457,11,1.9121496676348761
12,2021,-0.7081134005838737,1.219436614632298,0.2575606417679196,11,1.9275500152161715
13,2011,-2.091171370825736,1.720826681481653,-0.4210738629221779,13,3.811998052307389
13,2012,-1.06817183113337,1.3049155175568097,0.03473998157747907,12,2.37308734869018
13,2013,-0.8444170293069563,1.3520441702776957,0.03958783960723422,11,2.196461199584652
13,2014,-1.1923692413132,1.1969528109729668,-0.05876010734426376,13,2.389322052286167
13,2015,-1.8353801669778933,1.1886385456646817,-0.31130847411257323,11,3.024018712642575
13,2016,-2.2391392177783933,1.0020123026905579,-0.037537249181364335,12,3.241151520468951
13,2017,-1.302900889431203,1.0041524235092978,-0.23316835983030224,14,2.307053312940501
13,2018,-1.3050331667091344,1.1488351599936328,-0.15418488192504531,12,2.453868326702767
13,2019,-0.8877722973166895,1.2696006045905466,-0.1509371927024015,11,2.157372901907236
13,2020,-0.8896483668325346,1.262893697414741,-0.019017411941983805,14,2.1525420642472755
13,2021,-0.9331575358755748,2.055613240951426,-0.13474583812754012,12,2.9887707768270007
16,2011,-1.3941659659345043,1.202138783674768,-0.17969715432211747,11,2.5963047496092724
16,2012,-1.663828296596047,1.7724378148263529,0.04078489988702749,11,3.4362661114224
16,2013,-1.5988444652522917,1.233197111463792,-0.0392475856308209,11,2.832041576716084
16,2014,-2.0633626278086785,1.250199168641511,-0.09040126110815971,14,3.3135617964501893
16,2015,-0.7082599623168007,1.5976212313475289,0.09949764269063893,11,2.3058811936643293
16,2016,-1.5640126808969246,1.1689108159990418,-0.0681444130687593,12,2.7329234968959666
16,2017,-1.1206723470499127,1.070455459008843,-0.013228046261688739,12,2.1911278060587556
