team_id,season,T_j_hat,roster_n,draftees
1,2011,0.27572704895417727,5,0
1,2012,0.458723155815626,5,0
1,2013,0.7831896523799026,6,0
1,2014,0.1641472444129834,8,0
1,2015,-0.5156019641773024,10,0
1,2016,0.11263213072117939,8,0
1,2017,-0.07453565964857,8,0
1,2018,-0.672249629235634,9,0
1,2019,0.23192938834214932,4,0
2,2011,-0.11927342317417554,13,0
2,2012,-0.2697658859186929,12,0
2,2013,0.022276465807112105,12,0
2,2014,-0.15332556295175379,12,0
2,2015,-0.290101361541578,13,0
2,2016,-0.4631296686234394,13,0
2,2017,0.26161790522961786,12,0
2,2018,0.3558843506948374,10,2
2,2019,0.2561477994998563,13,1
2,2020,0.11576746261748894,12,1
2,2021,0.3259736478751491,13,2
3,2020,0.02843937102803488,3,0
5,2011,-0.15326754309259477,10,0
5,2012,-0.334086008943272,11,0
5,2013,0.30757981575310683,11,0
5,2014,0.05889527150526685,11,0
5,2015,0.09935330891243488,12,0
5,2016,0.5385969439592219,12,0
5,2017,0.11962358642116558,11,0
5,2018,0.14207044313008713,10,0
5,2019,-0.20162539180156147,12,0
5,2020,0.035950644879349104,12,0
5,2021,0.04844314738814881,12,0
6,2011,0.02427381168159728,13,0
6,2012,0.025151742083653127,11,0
6,2013,0.07336353407181512,11,0
6,2014,-0.022650665169465612,11,0
6,2015,0.18473523280381784,11,0
6,2016,0.06408907412144256,12,0
6,2017,-0.03596519384081361,12,0
6,2018,-0.049694918807684986,12,0
6,2019,0.13321054029300478,10,0
6,2020,0.0739616825264199,11,0
6,2021,0.10146195690500479,9,0
8,2011,0.39324834965695304,13,0
8,2012,0.5894820340806736,12,0
8,2013,0.3029701546391858,13,0
8,2014,0.26688503063863356,14,1
8,2015,0.1295094337885902,13,1
8,2016,0.16851803588238148,10,0
8,2017,0.13368867899313908,12,0
8,2018,0.16115659124458406,11,1
8,2019,0.09185431744911102,11,2
8,2020,0.060109227860743936,9,1
8,2021,0.3814763642991819,11,1
9,2011,-0.12184195532806809,13,1
9,2012,-0.10437149620648571,10,1
9,2013,-0.04743630888561098,10,1
9,2014,0.11712740436375253,13,0
9,2015,0.31393827875259045,13,0
9,2016,0.12323989428815055,9,0
9,2017,-0.16143652941057393,11,0
9,2018,0.28955042172051143,10,0
9,2019,0.03680878810847857,11,0
9,2020,-0.018158048530118362,12,0
9,2021,-0.09078872377730704,13,1
