gamma,label,n_team_seasons,L_C_mean,L_C_std,L_C_min,L_C_max,frac_L_C_below_0.05,frac_L_C_above_0.5
10.0,gamma_10,6492,0.028555770456722585,0.07177966002172859,2.0416330355817324e-20,0.7261710621240047,0.835335797905114,0.0015403573629081946
5.0,gamma_5,6492,0.031579084781787406,0.06915158276678024,1.4288572479426668e-10,0.7212980789364671,0.8222427603203943,0.0013863216266173752
1.0,gamma_1,6492,0.13000436710858104,0.05297829978608136,0.010625720412314838,0.5927754274970821,0.016789895255699322,0.0007701786814540973
0.5,gamma_0p5,6492,0.2540366597810298,0.03868574775408655,0.09390184595398701,0.5543710199139684,0.0,0.0007701786814540973
0.001,gamma_approx_0,6492,0.4994292111290765,0.00010015778797606749,0.4988665531449121,0.5001151319640247,0.0,0.0007701786814540973
