team_id,season,A_hat_min,A_hat_max,T_j_hat,roster_n,perf_span
Air Force|2016,2016,-0.9651022780185331,2.1394587024933744,0.4867026857794505,7,3.1045609805119074
Air Force|2017,2017,-1.0560302831039465,1.1852750637149505,-0.2455777649072499,3,2.241305346818897
Air Force|2018,2018,-1.0305420147219702,0.11088363746377647,-0.501984113283684,4,1.1414256521857467
Air Force|2019,2019,-0.9977545530047534,1.6181356431224507,0.4519904181498864,6,2.615890196127204
Air Force|2020,2020,-0.8352366080557183,1.154550815846011,0.025127451021287255,3,1.9897874239017292
Air Force|2021,2021,-0.9113063557014472,1.648526625205604,0.1030701268659869,5,2.5598329809070512
Air Force|2022,2022,-0.9307113056275544,0.13944291005987605,-0.5670441803831245,3,1.0701542156874304
Air Force|2023,2023,-0.937932804206803,2.3703721637247805,0.028394022913436328,9,3.3083049679315835
Air Force|2024,2024,-0.9910442786893701,1.6146762581114182,-0.19763578190707876,16,2.6057205368007885
Akron|2016,2016,-0.9960859205386121,0.8443424451540756,0.02017755411997642,6,1.8404283656926879
Akron|2017,2017,-1.0822443807275592,-0.4203384157313355,-0.8004428312737214,3,0.6619059649962238
Akron|2018,2018,-1.0305420147219702,1.21988242453061,-0.030868087198901408,7,2.25042443925258
Akron|2019,2019,-0.934262072516229,1.4403566977545825,-0.2028286972884282,5,2.3746187702708115
Akron|2021,2021,-1.0000472323728917,-0.29694644028375494,-0.7597642432317497,5,0.7031007920891368
Akron|2022,2022,-0.9098641455816953,-0.062079637050094554,-0.6348801773577452,7,0.8477845085316007
Akron|2023,2023,-0.9090393110370949,0.6801028132968535,-0.20114872837924513,4,1.5891421243339483
Akron|2024,2024,-0.9836205734563195,2.0897933930266612,-0.15478571861336718,17,3.0734139664829807
Alabama|2016,2016,0.1627023097123394,0.6398504045215548,0.4012763571169471,2,0.47714809480921544
Alabama|2017,2017,0.05151534149369543,1.8144134066816582,1.1568764579560364,6,1.7628980651879627
Alabama|2018,2018,-1.0305420147219702,1.531180329672177,0.02787086275935855,5,2.5617223443941475
Alabama|2019,2019,-1.0295007932490157,2.302838552710698,0.5248374574303867,6,3.3323393459597135
Alabama|2021,2021,0.11262683666137323,0.6587245392548775,0.444836272405755,3,0.5460977025935043
Alabama|2022,2022,-0.48597189131589497,2.4161612586681405,1.3976732546276978,4,2.9021331499840355
Alabama|2023,2023,0.5934223337877291,2.6159668556673,1.4818972487562547,3,2.0225445218795706
Alabama|2024,2024,-0.9910442786893701,2.1863015610563203,0.04530497184450467,15,3.1773458397456906
App State|2016,2016,0.36099762184084444,0.5345060199532865,0.44775182089706544,2,0.17350839811244206
App State|2017,2017,-1.0887979051334624,1.4343089911392723,0.17275554300290497,2,2.5231068962727345
App State|2018,2018,-0.881378435174969,1.0512627259122609,0.3946187072542675,4,1.93264116108723
App State|2019,2019,-1.0041038010536056,1.5546431626339263,0.013045736372554639,5,2.5587469636875317
App State|2020,2020,-0.8446223977911038,1.9992718920307078,0.16904289363053196,3,2.8438942898218116
App State|2021,2021,-0.9727423472432164,0.9385996118340484,-0.01365825706337459,6,1.911341959077265
App State|2022,2022,-0.9307113056275544,1.501457366389333,0.09601132663100301,4,2.4321686720168874
App State|2023,2023,-0.7067848588491378,2.6159668556673,0.7270547396976292,6,3.322751714516438
App State|2024,2024,-0.7237908902995457,0.8129160929419449,-0.20070519849382082,13,1.5367069832414906
Arizona State|2016,2016,-0.971299006522549,0.9187031872022651,-0.17439972090611916,5,1.890002193724814
Arizona State|2017,2017,-1.0298161854803338,1.4539695643569819,0.2006080217279934,4,2.483785749837316
Arizona State|2018,2018,-1.0046005226268393,1.239338543601958,-0.12777808981142497,5,2.2439390662287972
Arizona State|2019,2019,-1.0231515452001632,1.2371807601913045,-0.07838343553092046,5,2.2603323053914677
Arizona State|2021,2021,-1.0000472323728917,1.4915235357099719,0.03558805361693255,7,2.4915707680828634
Arizona State|2022,2022,-0.9376603589761741,2.21026080794854,-0.12759928290850878,7,3.1479211669247142
Arizona State|2023,2023,-0.937932804206803,1.4818972487562545,0.014520559923219307,7,2.4198300529630576
Arizona State|2024,2024,-0.9910442786893701,2.639147580272412,0.24447237795406432,14,3.6301918589617816
Arizona|2016,2016,-1.051856477074754,-0.05418318792821306,-0.5778067465175467,4,0.997673289146541
Arizona|2017,2017,-0.9904950390449146,1.617807674504562,-0.4019885473948065,5,2.6083027135494765
Arizona|2019,2019,-1.0168022971513107,1.3260702328752387,-0.37462120878166416,7,2.3428725300265496
Arizona|2020,2020,-0.863393977261875,0.244129211513616,-0.4222618596987557,3,1.1075231887754908
Arizona|2021,2021,-1.0068734536553103,-0.9249587982662847,-0.9681915330549371,3,0.08191465538902565
Arizona|2022,2022,-0.9307113056275544,1.7794195003341198,0.42435409735328267,2,2.710130805961674
Arizona|2023,2023,-0.8151354582355433,0.3983912548921991,-0.3311694476429317,3,1.2135267131277425
Arizona|2024,2024,-0.9613494577571672,1.85223482556904,0.2097400427565773,12,2.813584283326207
Arkansas State|2016,2016,-0.971299006522549,1.581753137131954,0.5047617231340107,5,2.553052143654503
Arkansas State|2017,2017,-1.0298161854803338,1.172168014903144,-0.02319483673360112,5,2.2019842003834778
Arkansas State|2018,2018,-1.0046005226268393,1.9332734571467018,-0.29028300815020736,7,2.937873979773541
Arkansas State|2019,2019,-0.9088650803208193,2.302838552710698,0.9611517364446226,7,3.2117036330315174
Arkansas State|2020,2020,-0.863393977261875,-0.49734817758183975,-0.7413787107018632,3,0.3660457996800352
Arkansas State|2021,2021,-1.0000472323728917,1.983011468044125,-0.02116710047403534,5,2.9830587004170166
Arkansas State|2022,2022,-0.9098641455816953,-0.6596982250313869,-0.8403736120954985,5,0.2501659205503084
Arkansas State|2023,2023,-0.937932804206803,2.016426872395856,0.5103535409248183,4,2.954359676602659
Arkansas State|2024,2024,-0.9910442786893701,2.819766328592534,0.1444273446455163,14,3.810810607281904
Arkansas|2016,2016,-0.971299006522549,0.7080144180657285,-0.21529812903262333,3,1.6793134245882775
Arkansas|2017,2017,-1.0560302831039465,0.9952228559437575,-0.1857222420000006,5,2.051253139047704
Arkansas|2018,2018,-1.0110858956506221,1.4857827185056984,-0.14961217899149334,6,2.4968686141563206
Arkansas|2019,2019,-1.0041038010536056,1.6244848911713032,-0.16441574659287092,4,2.628588692224909
Arkansas|2021,2021,-1.0000472323728917,1.5051759782748093,-0.1262909082232848,3,2.505223210647701
Arkansas|2022,2022,-0.527666211407613,0.9733293118942372,0.22283155024331214,3,1.5009955233018504
Arkansas|2023,2023,-0.8656990712825325,1.5469076083880982,0.3785269783380248,4,2.4126066796706307
Arkansas|2024,2024,-0.9910442786893701,2.215996381988523,0.2237920562334232,14,3.207040660677893
Army|2016,2016,-1.0332662915627069,0.9372933727143125,-0.3441900819161517,5,1.9705596642770193
Army|2017,2017,-1.0822443807275592,0.3595309885711461,-0.39412431810772264,4,1.4417753692987054
Army|2018,2018,-1.0046005226268393,0.27301796305834275,-0.15339531325536648,4,1.277618485685182
Army|2019,2019,-0.8961665842231143,2.21496495971458,0.41177851384048775,5,3.1111315439376943
Army|2020,2020,-0.6099776544064659,0.262900790984387,-0.2501890478833545,3,0.8728784453908529
Army|2021,2021,-1.0068734536553103,1.1024289226120998,-0.20479245297110105,4,2.10930237626741
Army|2022,2022,-0.9376603589761741,1.6404384333617266,-0.29000858688482,5,2.578098792337901
Army|2023,2023,-0.7212316054339919,1.5469076083880982,0.5269672994974004,5,2.26813921382209
Army|2024,2024,-0.9836205734563195,1.406812511585999,-0.27589400790548807,18,2.3904330850423188
Auburn|2016,2016,-1.05805320557877,0.6460471330255707,-0.6738560383297912,6,1.7041003386043405
Auburn|2017,2017,-1.0887979051334624,0.6478860624308873,-0.3220355496427873,6,1.7366839675643497
Auburn|2019,2019,-0.9723575608093434,1.9609950377604821,0.7406695627710439,5,2.9333525985698254
Auburn|2020,2020,0.6007892214582656,2.6468913837723083,1.5331110018398935,3,2.0461021623140425
Auburn|2021,2021,-0.9659161259607978,1.8328345998309115,0.28100696162770367,6,2.7987507257917095
Auburn|2023,2023,-0.9307094309143761,1.2001856903516004,0.06921181485159549,7,2.1308951212659766
Auburn|2024,2024,-0.9836205734563195,1.8670822360351411,-0.26537709215866623,16,2.8507028094914606
BYU|2016,2016,-1.051856477074754,1.036441028778565,-0.30948840229366326,5,2.088297505853319
BYU|2017,2017,-1.0363697098862368,0.6609931112426938,-0.550098198968219,5,1.6973628211289307
BYU|2018,2018,-1.0370273877457528,0.14979587560647242,-0.6868172444614895,5,1.186823263352225
BYU|2019,2019,-0.9914053049559008,1.3451179770217958,-0.10976686160096251,7,2.336523281977697
BYU|2020,2020,-0.18761711631411773,0.7040329085475062,0.1408855244243753,3,0.8916500248616239
BYU|2021,2021,-1.0068734536553103,-0.45394952977938735,-0.9061866897396331,8,0.5529239238759229
BYU|2022,2022,-0.9307113056275544,0.4590993640963812,-0.5693605314993311,7,1.3898106697239356
BYU|2023,2023,-0.937932804206803,1.843065913377607,-0.1481773242347801,6,2.78099871758441
BYU|2024,2024,-0.9836205734563195,1.2657621121580365,-0.20020132709791244,17,2.249382685614356
Ball State|2016,2016,-0.9836924635305805,1.4578185670516381,0.19833349861043031,4,2.4415110305822187
Ball State|2017,2017,-0.9904950390449146,0.2415675492648884,-0.5055342330080772,4,1.232062588309803
