stage,n_teams,roster_size,target_mean_dist,target_mean_low,target_mean_high,assignment_kernel,assignment_temperature,preferential_alpha,ability_draw,n_selected,score_mode,loo_gap_weight,winner_selection,n_bins,bin_mode,loo_pool_l_mode,n_runs,seed,peak_bin,peak_y,first_bin_y,final_y,tail_drop_frac,left_lift_frac,tail_slope_last3,interior_peak,moderate_downturn,n_individuals,viability_theta,curve_bin_l_col,coverage_peak,median_pool_sd,curve_x,curve_y,curve_n
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,loo_gap_plus_ability,0.5,C,12,equal_width,quality,40,538001,11,0.33073938119158086,0.03889482984858095,0.33073938119158086,0.0,0.8824003669945457,0.034396618711934224,False,False,750,0.7546158731868137,poolq_loo,43.0,0.6980979259885264,"[-1.25774992, -1.01551246, -0.79469877, -0.56959959, -0.33205597, -0.10047689, 0.12983882, 0.36002498, 0.5974778, 0.82407569, 1.03870263, 1.28797695]","[0.03889483, 0.04270671, 0.05469017, 0.07189915, 0.10801504, 0.13166028, 0.17943648, 0.20469386, 0.27906843, 0.29634276, 0.27664033, 0.33073938]","[1324.0, 2114.0, 2844.0, 2783.0, 3020.0, 3079.0, 2901.0, 3006.0, 2861.0, 2944.0, 1943.0, 1181.0]"
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,loo_gap_plus_ability,0.5,C,12,equal_width,crowding,40,538001,10,0.41874938243319637,0.03838263915484065,0.11276143790849673,0.7307185571157572,0.9083398310182251,-0.2073808563427143,True,True,750,0.7546158731868137,pool_c_loo,43.0,0.6980979259885264,"[0.01540855, 0.12321429, 0.19464286, 0.26607143, 0.32142857, 0.39051536, 0.48534799, 0.55357143, 0.61278195, 0.65601504, 0.74807198, 0.83915266]","[0.03838264, 0.10392885, 0.1890798, 0.21327343, 0.26862217, 0.29480839, 0.31603744, 0.30329965, 0.35954057, 0.32014229, 0.41874938, 0.11276144]","[12041.0, 3383.0, 2362.0, 2156.0, 862.0, 2899.0, 1667.0, 1536.0, 450.0, 1063.0, 1245.0, 336.0]"
stage1,50,15,empirical_530,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,loo_gap_plus_ability,0.5,C,12,quantile,quality,40,538001,11,0.5310483870967743,0.023809523809523808,0.5310483870967743,0.0,0.9551650576707524,0.272983870967742,False,False,750,0.7546158731868137,poolq_loo,35.0,0.49139764858797186,"[-1.5160366, -0.97145493, -0.69890703, -0.46996464, -0.25672813, -0.07173556, 0.09414525, 0.27128527, 0.47202987, 0.69390573, 0.98890903, 1.54187019]","[0.02380952, 0.03104839, 0.03769841, 0.05201613, 0.08174603, 0.10120968, 0.1202381, 0.14959677, 0.2031746, 0.25806452, 0.33293651, 0.53104839]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
stage1,50,15,empirical_530,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,loo_gap_plus_ability,0.5,C,12,quantile,crowding,40,538001,11,0.6532258064516129,0.0246031746031746,0.6532258064516129,0.0,0.9623358808543994,0.37419354838709684,False,False,750,0.7546158731868137,pool_c_loo,35.0,0.49139764858797186,"[0.0, 0.0, 0.0, 0.00457949, 0.02174036, 0.05996544, 0.10660431, 0.18228687, 0.29237528, 0.45276498, 0.68098073, 0.93173963]","[0.02460317, 0.02016129, 0.01785714, 0.02016129, 0.03333333, 0.0608871, 0.10873016, 0.1266129, 0.19722222, 0.27903226, 0.38134921, 0.65322581]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
stage1,50,15,empirical_530,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,loo_gap_plus_ability,0.5,C,12,equal_width,quality,40,538001,11,0.7178274088149852,0.02111572099004041,0.7178274088149852,0.0,0.9705838468540802,0.29915155243870784,False,False,750,0.7546158731868137,poolq_loo,35.0,0.49139764858797186,"[-1.81330772, -1.40315334, -1.08413538, -0.77360111, -0.4474685, -0.11436441, 0.20982499, 0.54202587, 0.8618539, 1.19049213, 1.48351539, 1.94603141]","[0.02111572, 0.02155326, 0.03115945, 0.0341212, 0.05926779, 0.09494582, 0.13457225, 0.2169777, 0.30542432, 0.41867586, 0.46113907, 0.71782741]","[1116.0, 992.0, 2016.0, 3017.0, 3822.0, 4516.0, 4800.0, 3601.0, 2513.0, 1821.0, 996.0, 790.0]"
stage1,50,15,empirical_530,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,loo_gap_plus_ability,0.5,C,12,equal_width,crowding,40,538001,11,0.7180141866254341,0.03028312047980919,0.7180141866254341,0.0,0.9578237853180372,0.38310690640565387,False,False,750,0.7546158731868137,pool_c_loo,35.0,0.49139764858797186,"[0.01700403, 0.14285714, 0.21428571, 0.28571429, 0.35714286, 0.46107698, 0.57142857, 0.64285714, 0.71428571, 0.78571429, 0.85714286, 0.97215822]","[0.03028312, 0.1865572, 0.20127308, 0.24552858, 0.21746456, 0.28461953, 0.37741539, 0.30846495, 0.37036404, 0.33490728, 0.40400235, 0.71801419]","[16356.0, 2130.0, 1776.0, 1598.0, 1198.0, 1741.0, 707.0, 694.0, 695.0, 612.0, 680.0, 1813.0]"
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,loo_gap_plus_ability,1.0,C,12,quantile,quality,40,538001,0,0.22222222222222218,0.22222222222222218,0.10887096774193543,0.5100806451612905,0.0,-0.04838709677419363,False,False,750,0.7546158731868137,poolq_loo,43.0,0.6980979259885264,"[-1.1411788, -0.8778279, -0.6792524, -0.48272964, -0.2780338, -0.08318608, 0.1071788, 0.3041163, 0.503851, 0.68429633, 0.87052481, 1.14472632]","[0.22222222, 0.15766129, 0.1547619, 0.15040323, 0.15912698, 0.17459677, 0.14246032, 0.18024194, 0.16190476, 0.15725806, 0.15, 0.10887097]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,loo_gap_plus_ability,1.0,C,12,quantile,crowding,40,538001,11,0.2899193548387097,0.04880952380952381,0.2899193548387097,0.0,0.831644479766872,0.009677419354838734,False,False,750,0.7546158731868137,pool_c_loo,43.0,0.6980979259885264,"[0.0, 0.0, 0.00110544, 0.02721774, 0.0723356, 0.11751152, 0.17956349, 0.2671659, 0.35209751, 0.44553571, 0.55654762, 0.71298963]","[0.04880952, 0.03508065, 0.0452381, 0.05887097, 0.1, 0.11491935, 0.18849206, 0.22258065, 0.25555556, 0.28024194, 0.28095238, 0.28991935]","[2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0, 2520.0, 2480.0]"
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,loo_gap_plus_ability,1.0,C,12,equal_width,quality,40,538001,0,0.2249167456215489,0.2249167456215489,0.12188548870026054,0.45808619823555324,0.0,-0.03507381770668293,False,False,750,0.7546158731868137,poolq_loo,43.0,0.6980979259885264,"[-1.25774992, -1.01551246, -0.79469877, -0.56959959, -0.33205597, -0.10047689, 0.12983882, 0.36002498, 0.5974778, 0.82407569, 1.03870263, 1.28797695]","[0.22491675, 0.1930641, 0.1565737, 0.15150813, 0.16972628, 0.16029266, 0.17122414, 0.1678354, 0.18791036, 0.15695931, 0.12950273, 0.12188549]","[1324.0, 2114.0, 2844.0, 2783.0, 3020.0, 3079.0, 2901.0, 3006.0, 2861.0, 2944.0, 1943.0, 1181.0]"
stage1,50,15,uniform,-0.5,0.5,gaussian,0.45,0.0,normal_clipped,120,loo_gap_plus_ability,1.0,C,12,equal_width,crowding,40,538001,10,0.3297654754387019,0.05454610628770904,0.06354575163398693,0.8073001682500293,0.8345912160296831,-0.2117112752580458,True,True,750,0.7546158731868137,pool_c_loo,43.0,0.6980979259885264,"[0.01540855, 0.12321429, 0.19464286, 0.26607143, 0.32142857, 0.39051536, 0.48534799, 0.55357143, 0.61278195, 0.65601504, 0.74807198, 0.83915266]","[0.05454611, 0.13447056, 0.21779028, 0.23314993, 0.27072638, 0.28487853, 0.28573074, 0.25666298, 0.3041757, 0.27525703, 0.32976548, 0.06354575]","[12041.0, 3383.0, 2362.0, 2156.0, 862.0, 2899.0, 1667.0, 1536.0, 450.0, 1063.0, 1245.0, 336.0]"
