vent,n,drafts,draft_rate,t_j_mean,t_j_median,t_j_min,t_j_max,edge_lo,edge_hi,x_center,bin_display
0,461,1,0.0021691973969631237,-1.0876126148653007,-1.1225176278308462,-1.1244060824033693,-0.9784635654872126,-1.1244060824033693,-0.9747577825189296,-1.0495819324611495,1
1,477,2,0.0041928721174004195,-0.9002980816978,-0.9014419375169063,-0.9723978002127127,-0.8255454885332191,-0.9747577825189296,-0.82510948263449,-0.8999336325767098,2
2,556,2,0.0035971223021582736,-0.7473616456548922,-0.7418067258277597,-0.8248025826322303,-0.6755215318921638,-0.82510948263449,-0.6754611827500505,-0.7502853326922703,3
3,1046,5,0.004780114722753346,-0.5983370031911779,-0.5974189324766568,-0.6752361356386567,-0.5262394705317077,-0.6754611827500505,-0.5258128828656109,-0.6006370328078308,4
4,1795,7,0.0038997214484679664,-0.44141132414659584,-0.4325115341130552,-0.5257283833284551,-0.37630726248547625,-0.5258128828656109,-0.3761645829811713,-0.4509887329233911,5
5,2526,12,0.004750593824228029,-0.2975162435963267,-0.29439306790096126,-0.37459474609001864,-0.22682921189234462,-0.3761645829811713,-0.22651628309673177,-0.3013404330389515,6
6,2963,24,0.00809989875126561,-0.14473311024080657,-0.1409088846098283,-0.22632849529519833,-0.0770859232954324,-0.22651628309673177,-0.07686798321229205,-0.1516921331545119,7
7,3109,40,0.012865873271148279,-0.0015021985006441003,-0.00021832920624418963,-0.07682200761607905,0.07271446292888513,-0.07686798321229205,0.07278031667214746,-0.0020438332700722928,8
8,2912,70,0.02403846153846154,0.14117847960520039,0.1371266967635869,0.07292766279788017,0.22191205597098262,0.07278031667214746,0.22242861655658697,0.1476044666143672,9
9,2274,81,0.03562005277044855,0.2908037740199678,0.2851329756022828,0.2228744589149562,0.3719715771378549,0.22242861655658697,0.3720769164410267,0.29725276649880683,10
10,1752,65,0.037100456621004564,0.44025365224983637,0.43820289003072055,0.37221128530008496,0.519135130557356,0.3720769164410267,0.5217252163254662,0.44690106638324645,11
11,1041,78,0.07492795389048991,0.58653135897698,0.5790525795452532,0.5221286016032184,0.6708798669249614,0.5217252163254662,0.6713735162099057,0.596549366267686,12
12,741,65,0.08771929824561403,0.7418696827118504,0.7450348402426397,0.6715602471855676,0.8206608305208623,0.6713735162099057,0.8210218160943454,0.7461976661521256,13
13,486,49,0.10082304526748971,0.8847619867461936,0.8808077674160562,0.8214085544972405,0.9690687176298685,0.8210218160943454,0.9706701159787852,0.8958459660365653,14
14,253,43,0.16996047430830039,1.0437664353417124,1.0442522451982417,0.9721578387204259,1.1193551976946168,0.9706701159787852,1.1203184158632247,1.045494265921005,15
15,403,71,0.1761786600496278,1.2359853890069759,1.2699667157476642,1.1236824119666873,1.2699667157476642,1.1203184158632247,1.2699667157476642,1.1951425658054444,16
