team_id,season,games_n
2,2009,36
5,2009,34
6,2009,33
8,2009,30
9,2009,35
12,2009,35
13,2009,28
16,2009,29
21,2009,35
23,2009,29
24,2009,34
25,2009,33
26,2009,35
27,2009,29
30,2009,35
36,2009,29
38,2009,30
41,2009,35
42,2009,33
43,2009,28
44,2009,32
45,2009,28
46,2009,31
47,2009,31
48,2009,32
50,2009,31
52,2009,35
55,2009,28
56,2009,28
57,2009,36
58,2009,31
59,2009,31
61,2009,32
62,2009,28
66,2009,31
68,2009,32
70,2009,32
71,2009,36
77,2009,31
79,2009,30
82,2009,31
84,2009,31
85,2009,28
87,2009,36
93,2009,29
96,2009,36
97,2009,37
98,2009,34
99,2009,35
103,2009,34
104,2009,30
107,2009,32
108,2009,28
111,2009,32
113,2009,30
116,2009,33
119,2009,33
120,2009,35
127,2009,38
130,2009,35
135,2009,32
139,2009,31
140,2009,31
142,2009,38
145,2009,31
147,2009,30
149,2009,29
150,2009,37
151,2009,30
152,2009,30
153,2009,38
154,2009,31
156,2009,35
158,2009,31
159,2009,28
160,2009,30
161,2009,30
163,2009,27
164,2009,32
166,2009,32
167,2009,34
171,2009,28
172,2009,31
179,2009,30
183,2009,38
189,2009,31
193,2009,30
194,2009,33
195,2009,31
197,2009,35
198,2009,31
201,2009,36
202,2009,36
204,2009,35
213,2009,38
218,2009,34
219,2009,28
221,2009,35
222,2009,38
225,2009,28
227,2009,34
228,2009,32
231,2009,29
232,2009,36
235,2009,37
236,2009,33
238,2009,31
239,2009,39
242,2009,32
245,2009,34
248,2009,33
249,2009,32
250,2009,27
251,2009,35
252,2009,32
253,2009,29
254,2009,34
256,2009,35
257,2009,36
258,2009,28
259,2009,34
261,2009,33
264,2009,35
265,2009,33
269,2009,35
270,2009,31
275,2009,33
276,2009,32
277,2009,35
278,2009,34
279,2009,34
282,2009,32
288,2009,31
290,2009,30
292,2009,24
294,2009,32
295,2009,35
299,2009,30
300,2009,31
301,2009,32
302,2009,32
304,2009,31
305,2009,33
309,2009,30
311,2009,29
314,2009,31
315,2009,35
322,2009,30
324,2009,27
325,2009,35
326,2009,26
328,2009,34
331,2009,29
333,2009,31
338,2009,29
339,2009,30
344,2009,36
349,2009,30
350,2009,32
356,2009,34
357,2009,32
399,2009,31
526,2009,30
2005,2009,31
2006,2009,36
2010,2009,24
2011,2009,30
2016,2009,28
2026,2009,31
2029,2009,31
2031,2009,31
2032,2009,30
2046,2009,33
2050,2009,31
2057,2009,33
2065,2009,30
2066,2009,32
2083,2009,30
2084,2009,31
2086,2009,32
2097,2009,28
2099,2009,31
2110,2009,25
2113,2009,31
2115,2009,30
2116,2009,31
2117,2009,31
2127,2009,28
2130,2009,30
2132,2009,32
2142,2009,30
2154,2009,30
2166,2009,35
2168,2009,35
2169,2009,30
2172,2009,31
2174,2009,29
2181,2009,33
2182,2009,28
2184,2009,34
2193,2009,33
2197,2009,30
2198,2009,31
2199,2009,32
2210,2009,31
2217,2009,32
2226,2009,32
2229,2009,32
2230,2009,28
2239,2009,32
2241,2009,30
2244,2009,33
2247,2009,31
2250,2009,34
2261,2009,32
2272,2009,27
2275,2009,32
2277,2009,29
2287,2009,34
2294,2009,32
2296,2009,33
2305,2009,35
2306,2009,34
2309,2009,34
2320,2009,26
2325,2009,31
2329,2009,29
2335,2009,35
2344,2009,30
2348,2009,32
2350,2009,31
2351,2009,31
2352,2009,32
2363,2009,30
2368,2009,33
2377,2009,27
2378,2009,31
2379,2009,30
2382,2009,31
2390,2009,32
2393,2009,32
2400,2009,31
2405,2009,31
2413,2009,35
2415,2009,34
2426,2009,30
2427,2009,28
2428,2009,29
2429,2009,31
2430,2009,30
2433,2009,30
2439,2009,32
2440,2009,33
2443,2009,29
2447,2009,31
2448,2009,29
2449,2009,33
2450,2009,31
2454,2009,29
2458,2009,31
2459,2009,30
2460,2009,34
2463,2009,30
2464,2009,26
2466,2009,31
2473,2009,36
2483,2009,31
2492,2009,28
2501,2009,32
2502,2009,32
2504,2009,28
2506,2009,29
2507,2009,33
2509,2009,37
