season,h_sort_empirical,n_players
2009,0.06634608774779116,4093
2010,0.06472137111433673,4183
2011,0.06577921612267346,4086
2012,0.07086169191529623,4097
2013,0.061979619345465475,4135
2014,0.05656051514004312,4248
2015,0.0611334345493344,4270
2016,0.05902178795819357,4234
2017,0.06502926442473633,4292
2018,0.0627630266884458,4246
2019,0.06709506867992587,4204
2020,0.06329600214701192,4219
2021,0.07274563431553693,4275
