dataset,student_id,unit_id,school_id,unit_definition,cohort,own_performance_raw,own_performance_z,peer_mean_loo,peer_sd_loo,relative_performance_raw,relative_performance_z,within_unit_percentile_loo,n_peers_above,share_peers_above,n_top_decile_peers_loo,share_top_decile_peers_loo,unit_n,peer_n,cell_at_least_5,cell_at_least_10,cell_at_least_15,bachelors_or_higher_by_2000,associate_or_higher_by_2000,any_postsecondary_by_2000,high_school_diploma_by_2000,outcome_observed,analytic_sample_min5,analytic_sample_min10,followup_weight_2000,base_reading_std_score,base_history_std_score,degree_code_2000,hs_completion_code_2000,study_entry_code,base_year_ses,race_code,sex_code,base_year_eligible,sex_label,race_label,global_top_decile_cutoff,own_global_top_decile,unit_mean_including_self,unit_sd_including_self,n_peers_equal,unit_top_score_including_self,gap_to_unit_top,peer_mean_z_loo
NELS:88,124974,NELS_F1_24724,24724,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,64.36,1.216159,51.43923128568209,6.469240881392119,12.920769324669472,1.267694326547476,1.0,0,0.0,0,0.0,14,13,1,1,0,0,0,1,1,1,1,1,83.3559,64.89,69.75,1,1,1,0.136,4,1,1,Male,White,66.70999908447266,0,52.36214338030134,7.1103115,0,64.36,0.0,-0.051535340455862194
NELS:88,124983,NELS_F1_93503,93503,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,47.39,-0.44881722,,,,,,0,,0,,1,0,0,0,0,1,1,1,1,1,0,0,514.2395,41.53,40.89,4,1,1,-0.101,4,2,1,Female,White,66.70999908447266,0,47.38999938964844,,0,47.39,0.0,
NELS:88,124985,NELS_F1_24724,24724,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,45.47,-0.6371938,52.89230816180889,7.106797696848829,-7.4223069411057665,-0.7282240574176495,0.07692307692307693,12,0.9230769230769231,0,0.0,14,13,1,1,0,1,1,1,1,1,1,1,83.3549,46.72,60.2,4,1,1,0.11,4,2,1,Female,White,66.70999908447266,0,52.36214338030134,7.1103115,0,64.36,18.889999389648438,0.09103025839878963
NELS:88,124990,NELS_F1_24724,24724,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,57.34,0.5274063,51.979231320894684,7.248846673804926,5.360768831693207,0.525960637972905,0.6923076923076923,4,0.3076923076923077,0,0.0,14,13,1,1,0,1,1,1,1,1,1,1,83.3549,54.98,56.68,4,1,1,-0.182,4,2,1,Female,White,66.70999908447266,0,52.36214338030134,7.1103115,0,64.36,7.020000457763672,0.0014456372994642991
NELS:88,124998,NELS_F1_24724,24724,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,38.64,-1.3073051,53.41769291804387,6.153947501340923,-14.777693528395432,-1.449882378944984,0.0,13,1.0,0,0.0,14,13,1,1,0,0,0,0,1,1,1,1,83.3549,34.66,38.26,-3,1,1,-0.323,4,2,1,Female,White,66.70999908447266,0,52.36214338030134,7.1103115,0,64.36,25.720001220703125,0.14257728136502779
NELS:88,175551,NELS_F1_13444,13444,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,44.46,-0.7362881,49.80500411987305,15.77552647515152,-5.345005035400391,-0.5244136452674866,0.5,1,0.5,0,0.0,3,2,0,0,0,0,0,1,0,1,0,0,1596.4426,56.26,46.76,2,2,1,0.205,3,2,1,Female,Black,66.70999908447266,0,48.023335774739586,11.57398,0,60.96,16.5,-0.21187442541122437
NELS:88,175560,NELS_F1_13444,13444,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,38.65,-1.3063238,52.71000289916992,11.667227421680499,-14.060001373291016,-1.3794671893119812,0.0,2,1.0,0,0.0,3,2,0,0,0,1,1,1,1,1,0,0,345.8853,52.38,34.38,4,1,1,0.21,5,2,1,Female,American Indian/Alaska Native,66.70999908447266,0,48.023335774739586,11.57398,0,60.96,22.30999755859375,0.07314342260360718
NELS:88,175585,NELS_F1_13444,13444,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,60.96,0.8825749,41.55500411987305,4.108211500935585,19.40499496459961,1.9038808345794678,1.0,0,0.0,0,0.0,3,2,0,0,0,0,1,1,1,1,0,0,435.6946,59.78,56.76,3,1,1,0.749,4,2,1,Female,White,66.70999908447266,0,48.023335774739586,11.57398,0,60.96,0.0,-1.0213059186935425
NELS:88,180607,NELS_F1_95212,95212,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,60.61,0.84823555,55.146249771118164,9.545241648555512,5.463750839233398,0.5360644161701202,0.75,2,0.25,1,0.125,9,8,1,0,0,0,0,1,1,1,1,0,155.2251,60.16,64.74,1,1,1,-0.273,4,1,1,Male,White,66.70999908447266,0,55.753333197699654,9.112603,0,72.94,12.330001831054688,0.3121711313724518
NELS:88,180608,NELS_F1_38063,38063,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,60.12,0.80016005,63.130003929138184,3.244486683984394,-3.010004997253418,-0.2953200340270996,0.25,3,0.75,1,0.25,5,4,1,0,0,1,1,1,1,1,1,0,482.9225,70.55,65.31,4,1,1,0.66,4,1,1,Male,White,66.70999908447266,0,62.5280029296875,3.11569,0,67.14,7.020000457763672,1.0954800844192505
NELS:88,180610,NELS_F1_38063,38063,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,63.9,1.1710271,62.18500328063965,3.486890229106235,1.7149982452392578,0.16826379299163818,0.75,1,0.25,1,0.25,5,4,1,0,0,1,1,1,1,1,1,0,482.9225,63.67,66.72,5,1,1,0.009,4,1,1,Male,White,66.70999908447266,0,62.5280029296875,3.11569,0,67.14,3.2399978637695312,1.002763271331787
NELS:88,180611,NELS_F1_5460,5460,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,40.4,-1.1346263,44.41999816894531,,-4.019996643066406,-0.3944135904312134,0.0,1,1.0,0,0.0,2,1,0,0,0,0,0,1,1,1,0,0,637.7651,42.52,52.92,2,1,1,-0.374,4,2,1,Female,White,66.70999908447266,0,42.40999984741211,2.842567,0,44.42,4.019996643066406,-0.7402126789093018
NELS:88,180625,NELS_F1_95212,95212,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,41.31,-1.0453435,57.55874967575073,7.834274732529629,-16.248748302459717,-1.5942120552062988,0.0,8,1.0,1,0.125,9,8,1,0,0,0,0,1,1,1,1,0,155.2251,43.4,50.65,1,1,1,-0.094,4,1,1,Male,White,66.70999908447266,0,55.753333197699654,9.112603,0,72.94,31.630001068115234,0.5488685369491577
NELS:88,180657,NELS_F1_5460,5460,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,44.42,-0.7402127,40.400001525878906,,4.019996643066406,0.3944135904312134,1.0,0,0.0,0,0.0,2,1,0,0,0,0,1,1,1,1,0,0,637.7651,49.08,47.14,3,1,1,-0.427,4,2,1,Female,White,66.70999908447266,0,42.40999984741211,2.842567,0,44.42,0.0,-1.1346262693405151
NELS:88,180665,NELS_F1_95212,95212,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,61.04,0.89042413,55.09249973297119,9.508452067603734,5.947501182556152,0.5835265517234802,0.875,1,0.125,1,0.125,9,8,1,0,0,1,1,1,1,1,1,0,155.2251,57.12,59.56,4,1,1,1.369,4,1,1,Male,White,66.70999908447266,0,55.753333197699654,9.112603,0,72.94,11.900001525878906,0.3068975806236267
NELS:88,180667,NELS_F1_95212,95212,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,48.13,-0.3762135,56.706249713897705,9.249999966828488,-8.57624864578247,-0.8414407670497894,0.125,7,0.875,1,0.125,9,8,1,0,0,0,1,1,1,1,1,0,155.2232,51.74,61.04,3,1,1,-1.306,4,2,1,Female,White,66.70999908447266,0,55.753333197699654,9.112603,0,72.94,24.810001373291016,0.46522727608680725
NELS:88,180672,NELS_F1_95212,95212,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,52.31,0.033898477,56.18374967575073,9.643491415363888,-3.873748302459717,-0.38006478175520897,0.375,5,0.625,1,0.125,9,8,1,0,0,0,0,1,1,1,1,0,155.2232,62.65,52.71,1,1,1,0.611,4,2,1,Female,White,66.70999908447266,0,55.753333197699654,9.112603,0,72.94,20.630001068115234,0.413963258266449
NELS:88,180673,NELS_F1_95212,95212,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,54.49,0.24778464,55.91124963760376,9.728614496962514,-1.421247959136963,-0.13944286108016968,0.5,4,0.5,1,0.125,9,8,1,0,0,1,1,1,1,1,1,0,155.2232,53.86,60.99,4,1,1,0.392,4,2,1,Female,White,66.70999908447266,0,55.753333197699654,9.112603,0,72.94,18.450000762939453,0.38722750544548035
NELS:88,180676,NELS_F1_95212,95212,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,51.17,-0.07795055,56.326250076293945,9.56693903557569,-5.156251907348633,-0.5058949440717697,0.25,6,0.75,1,0.125,9,8,1,0,0,0,0,1,1,1,1,0,155.2232,64.17,52.23,1,1,1,-0.371,4,2,1,Female,White,66.70999908447266,0,55.753333197699654,9.112603,0,72.94,21.770004272460938,0.4279443919658661
NELS:88,180681,NELS_F1_95212,95212,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,72.94,2.057968,53.60499954223633,6.886973084878064,19.335002899169922,1.8970133066177368,1.0,0,0.0,0,0.0,9,8,1,0,0,1,1,1,1,1,1,0,155.2251,63.9,73.36,4,1,1,1.059,4,1,1,Male,White,66.70999908447266,1,55.753333197699654,9.112603,0,72.94,0.0,0.16095459461212158
NELS:88,180690,NELS_F1_95212,95212,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,59.78,0.76680166,55.25,9.607112673042328,4.529998779296875,0.4444512724876404,0.625,3,0.375,1,0.125,9,8,1,0,0,1,1,1,1,1,1,0,155.2251,70.55,66.93,5,1,1,1.308,4,1,1,Male,White,66.70999908447266,0,55.753333197699654,9.112603,0,72.94,13.160003662109375,0.3223503828048706
NELS:88,184619,NELS_F1_46743,46743,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,50.06,-0.18685557,54.05499839782715,4.377039812387375,-3.994997024536133,-0.3919609636068344,0.0,2,1.0,0,0.0,3,2,0,0,0,0,0,1,1,1,0,0,93.651,52.18,51.82,1,1,1,-1.741,4,1,1,Male,White,66.70999908447266,0,52.72333272298177,3.8599272,0,57.15,7.090000152587891,0.20510539412498474
NELS:88,184626,NELS_F1_46743,46743,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,50.96,-0.09855417,53.60499954223633,5.013427974504649,-2.645000457763672,-0.2595088705420494,0.5,1,0.5,0,0.0,3,2,0,0,0,0,0,1,1,1,0,0,93.651,44.28,54.44,1,1,1,-0.169,4,1,1,Male,White,66.70999908447266,0,52.72333272298177,3.8599272,0,57.15,6.19000244140625,0.16095469892024994
NELS:88,184670,NELS_F1_51049,51049,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,39.35,-1.237645,,,,,,0,,0,,1,0,0,0,0,0,1,1,1,1,0,0,439.5158,38.27,43.85,3,1,1,0.13,4,2,1,Female,White,66.70999908447266,0,39.349998474121094,,0,39.35,0.0,
NELS:88,184690,NELS_F1_46743,46743,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,57.15,0.508765,50.5099983215332,0.6366971813808662,6.640003204345703,0.6514698565006256,1.0,0,0.0,0,0.0,3,2,0,0,0,0,0,1,1,1,0,0,93.651,60.7,51.83,1,1,1,-0.698,4,1,1,Male,White,66.70999908447266,0,52.72333272298177,3.8599272,0,57.15,0.0,-0.14270487427711487
NELS:88,211432,NELS_F1_46182,46182,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,65.35,1.3132905,54.453330993652344,13.87254883379517,10.89666748046875,1.0691035588582356,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,4,3,0,0,0,0,0,1,1,1,0,0,35.762,54.23,,1,1,1,0.385,4,1,1,Male,White,66.70999908447266,0,57.17749786376953,12.569113,0,68.17,2.8199996948242188,0.24418691794077554
NELS:88,211450,NELS_F1_46182,46182,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,54.76,0.2742748,57.983331044514976,15.266889639751573,-3.223332722981773,-0.3162506719430288,0.3333333333333333,2,0.6666666666666666,1,0.3333333333333333,4,3,0,0,0,0,0,1,1,1,0,0,35.762,54.65,,1,1,1,-0.067,4,1,1,Male,White,66.70999908447266,0,57.17749786376953,12.569113,0,68.17,13.40999984741211,0.5905254681905111
NELS:88,211462,NELS_F1_46182,46182,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,40.43,-1.131683,62.759997049967446,7.070243205158747,-22.329996744791664,-2.190861026446025,0.0,3,1.0,1,0.3333333333333333,4,3,0,0,0,0,0,0,,1,0,0,36.127,42.23,,-3,-9,1,-0.386,4,1,1,Male,White,66.70999908447266,0,57.17749786376953,12.569113,0,68.17,27.73999786376953,1.0591780344645183
NELS:88,211486,NELS_F1_46182,46182,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,68.17,1.5899689,53.5133310953776,12.506694740176934,14.65666707356771,1.438008149464925,1.0,0,0.0,0,0.0,4,3,0,0,0,0,0,1,1,1,0,0,35.762,64.91,,1,1,1,0.813,4,1,1,Male,White,66.70999908447266,1,57.17749786376953,12.569113,0,68.17,0.0,0.15196077028910318
NELS:88,211499,NELS_F1_83947,83947,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,44.33,-0.74904245,,,,,,0,,0,,1,0,0,0,0,1,1,1,1,1,0,0,127.1971,60.34,,6,1,1,0.997,4,1,1,Male,White,66.70999908447266,0,44.33000183105469,,0,44.33,0.0,
NELS:88,232150,NELS_F1_65338,65338,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,58.26,0.61767,70.57000350952148,,-12.310005187988281,-1.2077699303627014,0.0,1,1.0,1,1.0,2,1,0,0,0,1,1,1,1,1,0,0,97.6482,63.47,62.43,4,1,1,1.46,4,2,1,Female,White,66.70999908447266,0,64.41500091552734,8.704486,0,70.57,12.310001373291016,1.8254399299621582
NELS:88,232157,NELS_F1_65338,65338,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,70.57,1.8254399,58.26000213623047,,12.30999755859375,1.2077698707580566,1.0,0,0.0,0,0.0,2,1,0,0,0,1,1,1,1,1,0,0,97.6482,67.63,64.43,4,1,1,1.594,4,2,1,Female,White,66.70999908447266,1,64.41500091552734,8.704486,0,70.57,0.0,0.6176700592041016
NELS:88,232179,NELS_F1_16183,16183,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,60.09,0.7972168,59.44500160217285,7.394414858826402,0.6449985504150391,0.06328284740447998,0.5,3,0.5,0,0.0,7,6,1,0,0,1,1,1,1,1,1,0,86.9589,70.55,67.18,4,1,1,0.882,4,1,1,Male,White,66.70999908447266,0,59.537144252232146,6.7545586,0,66.45,6.359996795654297,0.7339339256286621
NELS:88,232196,NELS_F1_16183,16183,tenth-grade high school (F1SCH_ID),1988 eighth-grade cohort,65.72,1.3495926,58.50666809082031,6.769703682857658,7.2133331298828125,0.7077212731043497,0.8333333333333334,1,0.16666666666666666,0,0.0,7,6,1,0,0,1,1,1,1,1,1,0,86.9589,63.19,73.91,6,1,1,0.871,4,1,1,Male,White,66.70999908447266,0,59.537144252232146,6.7545586,0,66.45,0.7299957275390625,0.6418712933858236
