vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,poolq_binning
0,495,2,0.00404040404040404,-0.8158147140705222,-0.8387481806475697,-0.8441605307175811,-0.7393424127612268,1,-0.8441605307175811,-0.7391228895736662,-0.7916417101456237,equal_width
1,404,5,0.012376237623762377,-0.6808147940392234,-0.6780655107380432,-0.7386354768694453,-0.6344780721530056,2,-0.7391228895736662,-0.6340852484297513,-0.6866040690017088,equal_width
2,698,12,0.017191977077363897,-0.5788452580194327,-0.5761652070218515,-0.6340757992206358,-0.5290643227339202,3,-0.6340852484297513,-0.5290476072858364,-0.5815664278577939,equal_width
3,1059,11,0.010387157695939566,-0.47252798761767156,-0.47026384418888445,-0.5290402298736603,-0.424112691606039,4,-0.5290476072858364,-0.42400996614192155,-0.476528786713879,equal_width
4,1496,28,0.01871657754010695,-0.3683723682354356,-0.3680732970665974,-0.42386341948910444,-0.319004593203124,5,-0.42400996614192155,-0.31897232499800665,-0.3714911455699641,equal_width
5,1974,34,0.017223910840932118,-0.26414431580193404,-0.2624307355783577,-0.3188564821244673,-0.2139571207426141,6,-0.31897232499800665,-0.21393468385409176,-0.2664535044260492,equal_width
6,2328,50,0.02147766323024055,-0.16032102704448628,-0.1591826493489324,-0.2139303764540933,-0.10889912023125614,7,-0.21393468385409176,-0.10889704271017686,-0.1614158632821343,equal_width
7,2646,48,0.018140589569160998,-0.05676615475698278,-0.057040147826211085,-0.10888895395268558,-0.0038717142714383467,8,-0.10889704271017686,-0.0038594015662619663,-0.056378222138219414,equal_width
8,2710,67,0.024723247232472326,0.04935415221026891,0.05011731820726942,-0.0038422639682373174,0.10116081312386456,9,-0.0038594015662619663,0.10117823957765293,0.04865941900569548,equal_width
9,2436,90,0.03694581280788178,0.1530643715866514,0.15251646977412614,0.10130445092842298,0.20618458516879365,10,0.10117823957765293,0.20621588072156782,0.15369706014961038,equal_width
10,1973,67,0.03395843892549417,0.25863653395973757,0.25964488518440415,0.20628075965671702,0.31114759079784193,11,0.20621588072156782,0.3112535218654827,0.25873470129352527,equal_width
11,1498,69,0.04606141522029372,0.3593423542208095,0.35785638174786594,0.31129572267552746,0.4162165098977365,12,0.3112535218654827,0.4162911630093976,0.36377234243744017,equal_width
12,1013,36,0.035538005923000986,0.46354939301313475,0.4610799073823041,0.4163252199030929,0.5212687421133272,13,0.4162911630093976,0.5213288041533125,0.46880998358135506,equal_width
13,633,31,0.04897314375987362,0.5708543400758068,0.5691225414974949,0.5216094108098234,0.6263423878311395,14,0.5213288041533125,0.6263664452972274,0.57384762472527,equal_width
14,390,13,0.03333333333333333,0.6725046234664044,0.669910055785887,0.6267490588784137,0.7312798467313983,15,0.6263664452972274,0.7314040864411423,0.6788852658691849,equal_width
15,429,40,0.09324009324009325,0.8045973739244107,0.8250764995349424,0.7314248965062121,0.8364417275850573,16,0.7314040864411423,0.8364417275850573,0.7839229070130997,equal_width
