slide,output_tag,loo,poolq,ever,season-Y,all-ps,last-ps,ALLT,+DFT,q16,q20,ew16,ew20,peak_vent,peak_rate_pct,bin0_rate_pct,beta_sq,bin0_peak,PICK
53,perm_poolq_seasony_allps_ew20,,X,,X,X,,X,,,,,X,20,3.664,0,+0.06174,,
54,perm_poolq_seasony_allps_q16_dft,,X,,X,X,,,X,X,,,,16,5.684,0.998,+0.07317,,
55,perm_poolq_seasony_allps_q20_dft,,X,,X,X,,,X,,X,,,20,5.854,1.055,+0.07317,,
56,perm_poolq_seasony_allps_ew16_dft,,X,,X,X,,,X,,,X,,15,6.971,0.546,+0.07317,,
57,perm_poolq_seasony_allps_ew20_dft,,X,,X,X,,,X,,,,X,19,7.143,0.602,+0.07317,,
58,perm_poolq_seasony_lastps_q16,,X,,X,,X,X,,X,,,,16,13.06,0.281,+0.1254,,
59,perm_poolq_seasony_lastps_q20,,X,,X,,X,X,,,X,,,20,13.96,0.351,+0.1254,,
60,perm_poolq_seasony_lastps_ew16,,X,,X,,X,X,,,,X,,15,17.44,0.239,+0.1254,,
61,perm_poolq_seasony_lastps_ew20,,X,,X,,X,X,,,,,X,20,17.56,0.268,+0.1254,,
62,perm_poolq_seasony_lastps_q16_dft,,X,,X,,X,,X,X,,,,16,22.46,0.89,+0.1558,,
63,perm_poolq_seasony_lastps_q20_dft,,X,,X,,X,,X,,X,,,20,23.66,0.891,+0.1558,,
64,perm_poolq_seasony_lastps_ew16_dft,,X,,X,,X,,X,,,X,,16,26.85,0.752,+0.1558,,
65,perm_poolq_seasony_lastps_ew20_dft,,X,,X,,X,,X,,,,X,19,30.93,0.806,+0.1558,,
