vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,14,2,0.142857,0.0400931,0.399419,-0.31901,-0.1873,"[-0.319, -0.1873)",-0.237139,-0.237092,coarse,False,True
1,2,51,7,0.137255,0.0681102,0.25722,-0.1873,-0.0555897,"[-0.1873, -0.05559)",-0.107703,-0.100761,coarse,False,False
2,3,187,31,0.165775,0.119314,0.225692,-0.0555897,0.0761207,"[-0.05559, 0.07612)",0.017676,0.0216383,coarse,False,False
3,4,325,62,0.190769,0.151761,0.237002,0.0761207,0.207831,"[0.07612, 0.2078)",0.148581,0.152852,coarse,False,False
4,5,187,41,0.219251,0.16593,0.283875,0.207831,0.277985,"[0.2078, 0.278)",0.241705,0.244925,fine_tail,True,False
5,6,153,29,0.189542,0.135337,0.258956,0.277985,0.348138,"[0.278, 0.3481)",0.314354,0.315652,fine_tail,True,False
6,7,126,23,0.18254,0.124827,0.259038,0.348138,0.418292,"[0.3481, 0.4183)",0.386511,0.385166,fine_tail,True,False
7,8,64,15,0.234375,0.147498,0.351335,0.418292,0.488446,"[0.4183, 0.4884)",0.458168,0.458435,fine_tail,True,False
8,9,37,5,0.135135,0.0591321,0.279777,0.488446,0.5586,"[0.4884, 0.5586)",0.522022,0.524675,fine_tail,True,False
9,10,4,1,0.25,0.0455861,0.699364,0.5586,0.628753,"[0.5586, 0.6288)",0.565111,0.565111,fine_tail,True,True
10,11,6,0,0,0,0.390343,0.628753,0.698907,"[0.6288, 0.6989)",0.678717,0.698907,fine_tail,True,True
