band,slide_label,top_lo,top_hi,pct_floor,pct_ceil,perf_z_cut_outer,perf_z_cut_inner,band_n,total_drafts,draft_rate_band,min_bin_n,plateau_rate,tail_rate,downturn_visible,knee_tj_peak,knee_rate_peak,knee_bin_peak,knee_tj_tail_rule,ok_for_overlay
top 4.95961%,"$\hat{A}_i \in (95.0404\%, \infty)$",0,4.95961,95.0404,100,1.8285,,835,127,0.152096,3,0.0517765,0.186147,True,1.17428,0.296296,7,2.55374,True
top 4.95961–13.5008%,"$\hat{A}_i \in (86.4992\%, 95.0404\%]$",4.95961,13.5008,86.4992,95.0404,1.21594,1.8285,1438,127,0.0883171,1,0.0331592,0.526316,False,1.19057,0.277778,8,,True
top 13.5008–32.0563%,"$\hat{A}_i \in (67.9437\%, 86.4992\%]$",13.5008,32.0563,67.9437,86.4992,0.486109,1.21594,3124,127,0.040653,7,0.033199,0.112135,False,1.17097,0.193548,9,,True
