vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,poolq_loo_mean,poolq_loo_median,bin_region,high_tj_tail,thin_cell
0,1,95,12,0.126316,0.0737558,0.207923,-0.614019,-0.477987,"[-0.614, -0.478)",-0.556661,-0.555038,coarse,False,False
1,2,154,19,0.123377,0.0804246,0.184661,-0.477987,-0.341955,"[-0.478, -0.342)",-0.397154,-0.394383,coarse,False,False
2,3,255,25,0.0980392,0.06729,0.14072,-0.341955,-0.205923,"[-0.342, -0.2059)",-0.270079,-0.266668,coarse,False,False
3,4,294,49,0.166667,0.128423,0.213509,-0.205923,-0.0698904,"[-0.2059, -0.06989)",-0.140042,-0.141051,coarse,False,False
4,5,232,38,0.163793,0.12172,0.21682,-0.0698904,0.0321904,"[-0.06989, 0.03219)",-0.0223441,-0.026384,fine_tail,True,False
5,6,187,30,0.160428,0.114746,0.21978,0.0321904,0.134271,"[0.03219, 0.1343)",0.0817251,0.0813419,fine_tail,True,False
6,7,135,29,0.214815,0.153937,0.291475,0.134271,0.236352,"[0.1343, 0.2364)",0.1791,0.175566,fine_tail,True,False
7,8,103,19,0.184466,0.121394,0.270228,0.236352,0.338433,"[0.2364, 0.3384)",0.28569,0.282169,fine_tail,True,False
8,9,71,15,0.211268,0.132424,0.319752,0.338433,0.440513,"[0.3384, 0.4405)",0.388309,0.383118,fine_tail,True,False
9,10,39,7,0.179487,0.0897715,0.326684,0.440513,0.542594,"[0.4405, 0.5426)",0.480927,0.479144,fine_tail,True,False
10,11,31,3,0.0967742,0.033464,0.249003,0.542594,0.644675,"[0.5426, 0.6447)",0.614758,0.632113,fine_tail,True,False
