RELDPTH	PARENTUIC	UIC	EDATE	SHORTDSCR	LONGDSCR	ORGTYPENAME	OFF	WO	ENL	CIV	AUTHTOT	CATCODE	SERVICE	GFMCOMPO	UTCAT	UTARMYCAT	UTSIZE	UTGFMSIZE	ID	PARENTID	FYDATE
1				World	WORLD	WORLD													72060755133860839	72060755133860839	20160930
2				US Govt	Federal Government	Federal Government													72060755133858488	72060755133860839	20160930
3				Exec Br	"Executive Component, Federal Government"	"Executive Component, Federal Government"													72060755133863255	72060755133858488	20160930
4				EOP	"Headquarters, Executive Component"	"Headquarters, Executive Component"													72060755133860798	72060755133863255	20160930
5				POTUS	Head of State	Head of State													72060755133858484	72060755133860798	20160930
5				WHO	Head of State Staff	Head of State Staff													72060755133860735	72060755133860798	20160930
5				ONDCP	"Independent Office, Executive Component"	"Independent Office, Executive Component"													72060755133860696	72060755133860798	20160930
4				ODNI	Ministry of Intelligence	Ministry of Intelligence													72060755133860688	72060755133863255	20160930
5				CIA	National Intelligence Organization	National Intelligence Organization													72060755133860600	72060755133860688	20160930
4				DOD	"Federal Ministry, Military"	"Federal Ministry, Military"						EXCMIL	JOINT	WSOC	MILSVC		DEPT		72060755133863247	72060755133863255	20160930
5				OSD	"Headquarters, Federal Ministry, Military"	"Headquarters, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060755133858478	72060755133863247	20160930
6				IMMED OFC	"Office of the Chief Executive, Federal Ministry, Military"	"Office of the Chief Executive, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745778878	72060755133858478	20160930
6				ODSD	"Office of the Deputy Executive, Federal Ministry, Military"	"Office of the Deputy Executive, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060755133884638	72060755133858478	20160930
6				OUSD(AT&L)	"Principle Acquisition Staff Element, Federal Ministry, Military"	"Principle Acquisition Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231397	72060755133858478	20160930
7		DDAAUE		OASD(NCB)	"Nuclear/Chemical/Biological Defense Staff Element, Federal Ministry, Military"	"Nuclear/Chemical/Biological Defense Staff Element, Federal Ministry, Military"						EXCMIL	CVLSVC	WSOC			OFC		72060574745231387	72060574745231397	20160930
