RELDPTH	PARENTUIC	UIC	EDATE	SHORTDSCR	LONGDSCR	ORGTYPENAME	OFF	WO	ENL	CIV	AUTHTOT	CATCODE	SERVICE	GFMCOMPO	UTCAT	UTARMYCAT	UTSIZE	UTGFMSIZE	ID	PARENTID	FYDATE
7	W8AJFF	WQKRAA	09/01/15	135 Band	Generating Force Army Band (Small) (ARNG)	Generating Force Army Band (Small) (ARNG)	0	1	7	0	8	UNIT	ARMY	NG_FED	COMSER		ACT		72060793789253446	72060772313750093	20150930
7	W8AJFF	WVMAAA	09/01/15	135 MHD	Military History Team B (ARNG)	Military History Team B (ARNG)	1	0	1	0	2	UNIT	ARMY	NG_FED	COMSER	ADMIN	TEAM		72060793789253424	72060772313750093	20150930
7	W8AJFF	W8GGAA	09/03/15	140 Rgt MO	Regional Training Institute (ARNG)	Regional Training Institute (ARNG)	0	0	0	0	0	UNIT	ARMY	NG_FED	COMSER	ADMIN	BN		72060793789253419	72060772313750093	20150930
8	W8GGAA	W7XSAA	09/03/15	RTS MO	Regional Training Site (ARNG)	Regional Training Site (ARNG)	0	0	0	0	0	EXCMIL	ARMY	NG_FED	MILSVC		ACT		72060793789253425	72060793789253419	20150930
7	W8AJFF	WPA3AA	09/01/15	429 JAG Det	Trial Defense Team (ARNG)	Trial Defense Team (ARNG)	1	0	0	0	1	UNIT	ARMY	NG_FED	COMSER	LAWENF	TEAM		72060793789259400	72060772313750093	20150930
7	W8AJFF	WY3VFF		1107 AV Grp	Theater Aviation Sustainment Maintenance Group (ARNG)	Theater Aviation Sustainment Maintenance Group (ARNG)						UNIT	ARMY	NG_FED	COMSER	LOG	GROUP		72060793789253447	72060772313750093	20150930
8	WY3VFF	WY3VAA	09/03/15	HQ 1107 AV Grp	Headquarters Theater Aviation Sustainment Maintenance Group (ARNG)	Headquarters Theater Aviation Sustainment Maintenance Group (ARNG)	23	13	65	0	101	UNIT	ARMY	NG_FED	COMSER	AV	GROUP		72060794140225774	72060793789253447	20150930
9	WY3VAA	WY3VT0		HHC TASMG	"HHC, THEATER AVIATION SUSTAINMENT MAINTENANCE GROUP"	"HHC, THEATER AVIATION SUSTAINMENT MAINTENANCE GROUP"						UNIT	ARMY	NG_FED	COMBAT	AV	CO		72060793956607528	72060794140225774	20150930
9	WY3VAA	WY3VA0		AMC TASMG	AVIATION MAINTENANCE COMPANY (THEATER AVIATION SUPPORT MAINTENANCE GROUP)	AVIATION MAINTENANCE COMPANY (THEATER AVIATION SUPPORT MAINTENANCE GROUP)						UNIT	ARMY	NG_FED	COMSPT	MAINT	CO		72060793956607656	72060794140225774	20150930
9	WY3VAA	WY3VB0		NKN	NKN	NKN						UNIT	ARMY	NG_FED					72060793956608010	72060794140225774	20150930
9	WY3VAA	WY3V99	09/01/15	Aug 1107 AV Grp	Augmentation Table of Distribution and Allowances (TDA) (ARNG)	Augmentation Table of Distribution and Allowances (TDA) (ARNG)	0	0	0	0	0	UNIT	ARMY	NG_FED	COMSPT	LOG	AUG		72060793882823179	72060794140225774	20150930
7	W8AJFF	W8NRAA	09/02/15	AASF 2 MO	Army Aviation Support Facility (ARNG)	Army Aviation Support Facility (ARNG)	0	0	0	0	0	UNIT	ARMY	NG_FED	COMSPT	AV	FAC		72060793789253444	72060772313750093	20150930
7	W8AJFF	W8NQAA	09/01/15	AASF 1 MO	Army Aviation Support Facility (ARNG)	Army Aviation Support Facility (ARNG)	0	0	0	0	0	UNIT	ARMY	NG_FED	COMSPT	AV	FAC		72060793789253409	72060772313750093	20150930
7	W8AJFF	W8NPAA	09/01/15	AAFA 1 MO	Army Aviation Flight Activities (ARNG)	Army Aviation Flight Activities (ARNG)	0	0	0	0	0	UNIT	ARMY	NG_FED	COMSER	AV	ACT		72060793789253445	72060772313750093	20150930
7	W8AJFF	W8V8AA	09/02/15	CSMS 1 MO	Combined Support Maintenance Shop (ARNG)	Combined Support Maintenance Shop (ARNG)	0	0	0	0	0	EXCMIL	ARMY	NG_FED	MILSVC		UN		72060793789253418	72060772313750093	20150930
7	W8AJFF	W8SGAA	09/02/15	FMS MO	Field Maintenance Shop (ARNG)	Field Maintenance Shop (ARNG)	0	0	0	0	0	UNIT	ARMY	NG_FED	COMSER	MAINT	SHOP		72060793789253451	72060772313750093	20150930
7	W8AJFF	W8ZEAA	09/02/15	MD Det MO	Medical Detachment (ARNG)	Medical Detachment (ARNG)	8	0	0	0	8	UNIT	ARMY	NG_FED	COMSER	MEDCL	DET		72060793789253422	72060772313750093	20150930
7	W8AJFF	W902AA	09/01/15	Rec & Ret Bn MO	Recruiting and Retention Battalion (ARNG)	Recruiting and Retention Battalion (ARNG)	0	0	0	0	0	EXCMIL	ARMY	NG_FED	MILSVC		BN		72060793801814329	72060772313750093	20150930
7	W8AJFF	W916AA	09/01/15	Tng Ctr MO	Training Center (ARNG)	Training Center (ARNG)	0	0	0	0	0	EXCMIL	ARMY	NG_FED	MILSVC		UN		72060793801814331	72060772313750093	20150930
2				MS St Govt	State Government	State Government													72060755133860670	72060755133860839	20150930
3				MS Exec Br	"Executive Component, State Government"	"Executive Component, State Government"													72060755133862831	72060755133860670	20150930
4				MS Ofc Govrnr	Governor's Staff	Governor's Staff													72060755133860768	72060755133862831	20150930
5				MS Govrnr	Governor	Governor													72060755133860720	72060755133860768	20150930
4				MS Mil Dep/NG	"State Ministry, Military / National Guard"	"State Ministry, Military / National Guard"						EXCMIL	JOINT	NG_FED	HQ				72060755133860665	72060755133862831	20150930
5				JFHQ-MS	Joint Force Headquarters-State	Joint Force Headquarters-State						EXCMIL	JOINT	NG_FED	HQ		ELEMT		72060772313750252	72060755133860665	20150930
5				MS ANG	State Air National Guard Component	State Air National Guard Component						EXCMIL	AIRFRC	NG_FED	MILSVC		ELEMT		72060561982251954	72060755133860665	20150930
5		W8AGFF		MS ARNG	State Army National Guard Component	State Army National Guard Component						EXCMIL	ARMY	NG_FED	MILSVC		ELEMT		72060772313750090	72060755133860665	20150930
6	W8AGFF	W8AGAA	09/01/15	Army JFHQ MS	Staff Element Joint Force Headquarters (ARNG)	Staff Element Joint Force Headquarters (ARNG)	0	0	0	0	0	EXCMIL	ARMY	NG_FED	MILSVC		ELEMT		72060793789254995	72060772313750090	20150930
6	W8AGFF	W934AA	09/01/15	JFHQ Joint MS	Joint Element Joint Force Headquarters (ARNG)	Joint Element Joint Force Headquarters (ARNG)	0	0	0	0	0	EXCMIL	ARMY	NG_FED	MILSVC		ELEMT		72060793887483189	72060772313750090	20150930
6	W8AGFF	W78NAA	09/02/15	66 Trp Cmd	Troop Command (ARNG)	Troop Command (ARNG)	0	0	0	0	0	UNIT	ARMY	NG_FED	COMSER	ADMIN	CO		72060793789255025	72060772313750090	20150930
7	W78NAA	WVCBAA	09/01/15	1-204 ADA Rgt	Air Defense Artillery Battalion (Avenger)(ARNG)	Air Defense Artillery Battalion (Avenger)(ARNG)	9	0	143	0	152	UNIT	ARMY	NG_FED	COMBAT	AIRDEF	BN		72060793789255030	72060793789255025	20150930
8	WVCBAA	WVCBT0		NKN	"HHB, ADA BATTALION (AVENGER)"	"HHB, ADA BATTALION (AVENGER)"						UNIT	ARMY	NG_FED	COMBAT	AIRDEF	CO		72060793958848157	72060793789255030	20150930
8	WVCBAA	WVCBA0		NKN A	ADA BATTERY (AVENGER)	ADA BATTERY (AVENGER)						UNIT	ARMY	NG_FED	COMBAT	AIRDEF	CO		72060793958848351	72060793789255030	20150930
8	WVCBAA	WVCBB0		NKN B	ADA BATTERY (AVENGER)	ADA BATTERY (AVENGER)						UNIT	ARMY	NG_FED	COMBAT	AIRDEF	CO		72060793958848457	72060793789255030	20150930
8	WVCBAA	WVCBC0		NKN C	ADA BATTERY (AVENGER)	ADA BATTERY (AVENGER)						UNIT	ARMY	NG_FED	COMBAT	AIRDEF	CO		72060793958848563	72060793789255030	20150930
8	WVCBAA	WVCBD0		MNT DET SHORAD	"MAINTENANCE DETACHMENT, SHORAD BN"	"MAINTENANCE DETACHMENT, SHORAD BN"						UNIT	ARMY	NG_FED	COMSER	MAINT	DET		72060793958848669	72060793789255030	20150930
7	W78NAA	WTPDAA	04/01/15	2-20 SFG	Special Forces Battalion Special Forces Group (ABN)(ARNG)	Special Forces Battalion Special Forces Group (ABN)(ARNG)	43	24	318	0	385	UNIT	ARMY	NG_FED	SOF	MANOV	BN		72060793789255026	72060793789255025	20150930
