rho,rep,seed,D_within_team_mse,H_sorting_index,global_wss,centroid_sd,n_teams
0.0,0,5412015,0.932005543090265,0.06744274604172296,5619.993424834298,0.25962058121460746,402
0.0,1,5412016,0.9358940405317866,0.06355194676163978,5643.441064406673,0.25202053239505895,402
0.0,2,5412017,0.9457079330944852,0.053732244757973224,5702.618836559745,0.2317335888169652,402
0.0,3,5412018,0.9277211695536484,0.07172965576008261,5594.1586524085,0.2677446913139961,402
0.0,4,5412019,0.9327115837620886,0.06673628742140658,5624.250850085395,0.2582572467877461,402
0.0,5,5412020,0.9380475454422899,0.06139716706036691,5656.426699017008,0.24771121056219006,402
0.0,6,5412021,0.9227337886016217,0.07671998904677557,5564.084745267779,0.27690178886900285,402
0.0,7,5412022,0.9328472020722061,0.0666005888305482,5625.068628495403,0.25799454879564676,402
0.0,8,5412023,0.9308008127416568,0.06864818954362861,5612.72890083219,0.2619304803546519,402
0.0,9,5412024,0.9320358270833107,0.06741244412173653,5620.176037312363,0.2595622511020523,402
0.0,10,5412025,0.9299197393772856,0.06952978446900804,5607.416028445032,0.26360699896472783,402
0.0,11,5412026,0.9330550276119751,0.0663926402661793,5626.32181650021,0.2575914627244088,402
0.0,12,5412027,0.939303530902431,0.06014043810590475,5664.000291341659,0.24516292211108187,402
0.0,13,5412028,0.9353477601158457,0.06409855055424363,5640.14699349855,0.2531020133555435,402
0.0,14,5412029,0.9334447591447801,0.06600267802753379,5628.671897643024,0.25683385706657796,402
0.0,15,5412030,0.9258838832598262,0.07356802965560783,5583.079816056752,0.27115402637735125,402
0.0,16,5412031,0.9280329416986951,0.07141769905810691,5596.038638443131,0.2671618378095577,402
0.0,17,5412032,0.9309948813804225,0.06845400602381102,5613.899134723948,0.2615597597109559,402
0.0,18,5412033,0.9302666082093972,0.06918271030409984,5609.507647502665,0.2629482478950529,402
0.0,19,5412034,0.930056791897629,0.06939265081892709,5608.242455142703,0.26334691451172637,402
0.0,20,5412035,0.9385266575258726,0.06091777136114973,5659.315744881012,0.24674223747587876,402
0.0,21,5412036,0.9382792238182731,0.06116535153983671,5657.823719624187,0.24724313026290995,402
0.0,22,5412037,0.9395380338984716,0.059905796293252656,5665.414344407784,0.24468419520272228,402
0.0,23,5412038,0.9320541839784197,0.06739407636006278,5620.286729389871,0.25952688743568736,402
0.0,24,5412039,0.9305888545670136,0.06886027318923005,5611.450793039092,0.2623347760276209,402
0.0,25,5412040,0.93484650814257,0.06460009924910359,5637.124444099697,0.2540903011488348,402
0.0,26,5412041,0.9277682088891701,0.07168258857911203,5594.442299601696,0.2676568332609975,402
0.0,27,5412042,0.939861471575563,0.05958216715369313,5667.364673600645,0.2440223713205664,402
0.0,28,5412043,0.9369657040931988,0.062479648817269084,5649.903195681989,0.2498853440825944,402
0.0,29,5412044,0.927731581794017,0.07171923735607444,5594.221438217923,0.26772524626276545,402
0.05,0,5417015,0.9251411844217812,0.07431116814234762,5578.601342063341,0.27252009991685794,402
0.05,1,5417016,0.9352070120562969,0.06423938193114465,5639.29828269947,0.25337990690695755,402
0.05,2,5417017,0.9320647055436654,0.06738354856646167,5620.350174428302,0.25950661597888025,402
0.05,3,5417018,0.9243964367564675,0.07505635666918187,5574.110513641499,0.27388310010661104,402
0.05,4,5417019,0.925669209989651,0.07378283000397168,5581.785336237595,0.2715495890087566,402
0.05,5,5417020,0.9283193715727179,0.0711310996287895,5597.765810583489,0.26662523831730084,402
0.05,6,5417021,0.929652554697444,0.06979712731174115,5605.804904825587,0.264113298762163,402
0.05,7,5417022,0.9299832047723303,0.06946628150492895,5607.798724777152,0.2634865926534882,402
0.05,8,5417023,0.9348900997373853,0.06455648184976726,5637.387301416434,0.2540045069346019,402
0.05,9,5417024,0.9298070037442091,0.06964258683717461,5606.736232577581,0.2638207450832219,402
0.05,10,5417025,0.9275031893489322,0.07194776500056344,5592.844231774061,0.26815144961671056,402
0.05,11,5417026,0.9264476758057577,0.07300390336651652,5586.479485108719,0.2701124089610062,402
0.05,12,5417027,0.9283208668900967,0.0711296034262412,5597.7748273472835,0.26662243414682624,402
0.05,13,5417028,0.9193230788652191,0.08013271779008557,5543.5181655572715,0.2829934812239609,402
0.05,14,5417029,0.9240277401855282,0.07542527149408618,5571.887273318735,0.2745553661740147,402
0.05,15,5417030,0.9244212877445767,0.07503149097025874,5574.260365099797,0.2738377284741801,402
0.05,16,5417031,0.93240151573281,0.06704653899884405,5622.381139868845,0.25885685918604767,402
0.05,17,5417032,0.9269883337512766,0.07246292537261734,5589.739652520198,0.26910974625456957,402
0.05,18,5417033,0.9336050719751656,0.0658422702982161,5629.638584010248,0.25652157278737775,402
0.05,19,5417034,0.9269667230801374,0.07248454883642952,5589.609340173229,0.2691498954120885,402
0.05,20,5417035,0.9326339908203256,0.06681392629515959,5623.782964646563,0.2584074272542295,402
0.05,21,5417036,0.9293574439606181,0.07009241274259315,5604.025387082527,0.26467139120021527,402
0.05,22,5417037,0.9255805873132261,0.07387150514155849,5581.2509414987535,0.27171271955366644,402
0.05,23,5417038,0.9287738203812606,0.07067638180430758,5600.506136899001,0.265771648034953,402
0.05,24,5417039,0.9279467142648725,0.07150397753520144,5595.518687017181,0.2673231658790592,402
0.05,25,5417040,0.928073541673081,0.07137707505012247,5596.283456288678,0.267085843142976,402
0.05,26,5417041,0.9301940362807042,0.0692553251925393,5609.0700387726465,0.2630862083039919,402
0.05,27,5417042,0.9382964712380445,0.061148093910266765,5657.927721565408,0.24720824833008895,402
0.05,28,5417043,0.9363888129400716,0.06305688146741983,5646.424542028632,0.25103700193478223,402
