team_id,T_j_hat,A_hat_min,A_hat_max,L_C,roster_n,perf_span
0,-0.18165434356406845,-1.1958496510275203,1.403488128087637,0.22515539034251816,15,2.5993377791151575
1,-0.048928181436831086,-1.887136683047065,1.2951496764060026,0.23821313483294665,15,3.1822863594530677
2,-0.5115086566492513,-2.135567960179089,1.021463213262698,0.20181429529876563,15,3.157031173441787
3,-0.23369722776931495,-1.6209603146913252,2.8521676807023137,0.22626957185883573,15,4.473127995393639
4,-0.21423007177452594,-2.135567960179089,1.3883756991392935,0.224506117757262,15,3.5239436593183826
5,0.0480522121443226,-1.6387054059150412,1.2182542811032335,0.24457009479046313,15,2.856959687018275
6,-0.7086925237641338,-2.135567960179089,1.0206922654791954,0.18706579963670394,15,3.1562602256582846
7,0.6989623486104996,-0.8927904963261396,2.0270361055441555,0.31060780326740006,15,2.919826601870295
8,0.4100088134666703,-2.135567960179089,1.8393324739332932,0.28606703828925995,15,3.9749004341123824
9,0.5049296094560346,-0.5149737199600475,1.3685315114119785,0.28516272337286175,15,1.883505231372026
10,-0.31255196041853045,-1.6387054059150412,1.1895891337418463,0.21658746277712418,15,2.8282945396568877
11,-0.17723070519117246,-1.613502232872662,0.9897914754191739,0.22791027371909364,15,2.6032937082918357
12,0.25278996268642356,-0.998014217521927,1.6233052764271854,0.26357902480746653,15,2.6213194939491125
13,0.40712711451782824,-1.5224184251298385,2.732342199840298,0.2837755978299067,15,4.254760624970137
14,-0.3381918790231826,-1.6387054059150412,1.4487994930991388,0.21402912306464128,15,3.08750489901418
15,-0.5566577013832188,-1.5090890874113765,0.21809569328685838,0.19063395780006245,15,1.7271847806982348
16,-0.14404427905313189,-1.054891904654785,0.5725091529551004,0.22420642549894582,15,1.6274010576098856
17,0.01530440622261174,-1.6387054059150412,1.9812932037230209,0.24530029875140852,15,3.619998609638062
18,-0.3713132484245964,-1.8080903675959665,1.9494618029712008,0.21033956900714162,15,3.757552170567167
19,0.23136073631333903,-1.0937397367161161,1.7437819827286685,0.26407116132592323,15,2.8375217194447844
20,-0.24891078010975315,-2.135567960179089,1.8165250501601709,0.22073762129494467,15,3.9520930103392597
21,-0.11738888651875685,-1.8473876787059413,1.183362247798174,0.23530986889405317,15,3.0307499265041153
22,-0.2824325985518325,-1.4403962285552678,0.7659539353961029,0.2151760116926441,15,2.2063501639513707
23,0.012693437682865195,-1.9484379072744475,1.4832552616318275,0.2441898254057066,15,3.431693168906275
24,0.05368124498904215,-1.0439759849020143,2.175325594644637,0.248617053830814,15,3.2193015795466513
25,-0.03919489260962242,-1.6631412692395025,1.6001023552135663,0.2414547218245984,15,3.263243624453069
26,-0.21522130459191952,-1.6019007722658525,1.1085667873987433,0.2239548870180588,15,2.710467559664596
27,-0.21919537046590037,-1.4806127750128442,1.8444499721513687,0.22648036209564557,15,3.325062747164213
28,0.10482807723998928,-2.135567960179089,2.367248937838844,0.25674734887460837,15,4.502816898017933
29,-0.04983421020268176,-2.135567960179089,3.9162179507570123,0.24346556588398624,15,6.051785910936101
30,-0.12426578550840471,-1.6471268051398558,1.890480089813416,0.23377369269443468,15,3.5376068949532717
31,-0.6113930942079067,-2.135567960179089,0.8601205327977903,0.19167477548148357,15,2.9956884929768792
32,-0.23712066793524061,-1.4494244328620707,0.7745495110290075,0.21791804064099343,15,2.223973943891078
33,-0.14841574188771275,-1.5813751111922665,1.4402372945170907,0.22746472650906105,15,3.021612405709357
34,1.1593126714120459,-0.49722525209559626,7.870691813194096,0.34852329195543114,15,8.367917065289692
35,0.8881992336354294,-0.12436714301467364,2.7634968248644225,0.32803204783893297,15,2.8878639678790963
36,-0.018640366556677165,-1.7753426083376544,2.2462008572629566,0.24576708199954814,15,4.021543465600611
37,-0.35240936490508745,-1.2350045805755023,0.9718072793476635,0.20938581339529966,15,2.2068118599231656
38,-0.07942130494551745,-1.7753426083376544,1.352328303682421,0.2359066708728166,15,3.1276709120200756
39,-0.005908462526556886,-1.460145425476399,1.593080418530498,0.23941089084114403,15,3.053225844006897
40,-0.2318683984109175,-2.135567960179089,1.8262194986528126,0.22715503854837837,15,3.9617874588319015
41,0.06401467389512419,-1.0135545691975711,1.6034799956433972,0.24945823699439948,15,2.617034564840968
42,0.3472309557708473,-0.9434552850203844,3.5112078254434,0.2769479684163198,15,4.454663110463785
43,0.13329225548019963,-1.5351923737766981,4.139325265445901,0.26157742909899584,15,5.674517639222599
44,-0.3995427562917845,-2.135567960179089,0.8691024164207846,0.20925852479490364,15,3.004670376599874
45,-0.040146508492264754,-2.135567960179089,1.7437819827286685,0.24265815072935795,15,3.8793499429077576
46,-0.6915275352768673,-1.7753426083376544,0.3792127979592282,0.18130815795823133,15,2.1545554062968826
47,-0.481541171640174,-1.6922136809896309,0.5555499297782671,0.19997813876616802,15,2.247763610767898
48,-0.1943983996341478,-1.7513275848815586,1.9812932037230209,0.22492566267762107,15,3.7326207886045797
49,-0.19150325686902364,-2.135567960179089,3.7590287063171144,0.2312584449444485,15,5.894596666496204
50,0.1411124504031786,-1.4046759419500912,2.7634968248644225,0.25946265672523056,15,4.168172766814513
51,-0.12695933270999268,-1.539919740598764,1.992857420475555,0.23591682208702333,15,3.5327771610743186
52,-0.0289144664567496,-1.3042786866988552,1.390041866354101,0.2393236427206561,15,2.694320553052956
53,0.09280574265809194,-2.135567960179089,1.9812932037230209,0.2525078896878784,15,4.11686116390211
54,-0.29237357604343095,-1.464340596499397,1.226535323674301,0.2176145929551158,15,2.6908759201736983
55,-0.25305349707236674,-1.8782641374352071,1.7941631508183795,0.22240185158875406,15,3.6724272882535867
56,-6.754196550472121e-05,-2.135567960179089,1.2706445504303951,0.24444474772703936,15,3.4062125106094845
57,-0.4127322365510529,-2.135567960179089,1.7239893809791391,0.2105474981461782,15,3.8595573411582285
58,0.3570774876843717,-1.1324087525193975,3.8338807274789706,0.2825250553933846,15,4.966289479998368
59,0.42547745608279686,-1.2604922233944718,2.4959008492107855,0.28227496673687724,15,3.756393072605257
60,-0.41381369209771574,-1.4806127750128442,1.042891026657099,0.20559244648028838,15,2.523503801669943
61,-0.018075812400318924,-1.451928606319432,3.1040735211508697,0.24282831486902845,15,4.556002127470302
62,-0.01571220049573109,-1.1531351824297218,1.15895535816971,0.23940910329844584,15,2.312090540599432
63,-0.579719277615573,-2.135567960179089,1.025903482142363,0.19283661148171974,15,3.161471442321452
64,-0.2059935199020227,-1.3350671783092343,1.6353016803738012,0.22173244733784866,15,2.9703688586830355
65,-0.4217724157085756,-1.723881843788878,0.6339065190319407,0.20451159206135366,15,2.357788362820819
66,0.12134760530282813,-1.698931170068259,2.79383159133528,0.2598183765439415,15,4.492762761403538
67,0.47537856128189676,-1.1324087525193975,3.010508494698549,0.28879586697186327,15,4.142917247217946
68,0.6943371014064009,-1.528872630761936,1.9579019471099415,0.311910443561293,15,3.4867745778718775
69,0.23655635752906837,-1.3771987984076477,2.7634968248644225,0.2728389793360889,15,4.14069562327207
70,0.2271468171406043,-2.135567960179089,1.9365447128110413,0.2670159253259839,15,4.07211267299013
71,-0.44634577997456737,-1.4129274367281868,0.7462348545523884,0.20311830456724048,15,2.159162291280575
72,-0.27969289795333396,-2.135567960179089,1.139207965652135,0.2186825221138646,15,3.274775925831224
73,-0.08896313987947918,-1.8223285237952325,1.6119377162358357,0.23679053896506272,15,3.434266240031068
74,-0.2546509158683383,-1.7117734286009305,1.3004277035392109,0.21855309788928606,15,3.0122011321401416
75,-0.25507339737143614,-1.3496217379795954,0.5762408682901379,0.21558719512921973,15,1.9258626062697333
76,-0.2762507677335085,-2.135567960179089,2.2671863401051127,0.22494006828767069,15,4.402754300284202
77,0.16394277924016948,-1.5351923737766981,1.9812932037230209,0.2597725590974862,15,3.516485577499719
78,1.6231169750044911,-0.31821483377185134,4.514746227662782,0.4137267806363851,15,4.8329610614346326
79,0.1321699445813789,-1.7629210444810532,2.1871362619181265,0.25885198491058964,15,3.95005730639918
80,0.3975230232888372,-1.6707610545772378,1.1436573894644058,0.277805199382439,15,2.8144184440416433
81,-0.13409661774776213,-1.660545518190384,2.0124815458737952,0.23667831855659488,15,3.673027064064179
82,-0.7370647954467444,-2.135567960179089,1.580142361964843,0.19033771624883294,15,3.715710322143932
83,-0.4804854144761765,-2.135567960179089,0.6984324381942831,0.20013225176433133,15,2.834000398373372
84,-0.025508945675216436,-1.1749670219352633,2.1337695431268027,0.24018527271543727,15,3.308736565062066
85,0.0838951362948495,-1.8223285237952325,1.6233052764271854,0.2521210841824184,15,3.445633800222418
86,0.4217459509902159,-1.3350671783092343,2.1871362619181265,0.2819721403973319,15,3.5222034402273605
87,0.6966168479701002,-0.3428971951465973,1.4725050308013552,0.30511276297379364,15,1.8154022259479525
88,0.621530740569858,-0.934816787374307,2.024573026215325,0.3030465041768383,15,2.959389813589632
89,0.15595943297172263,-1.5351923737766981,1.798914121073472,0.25770504163228625,15,3.33410649485017
90,0.14224944680572707,-1.460145425476399,2.517342834439442,0.2571183699829806,15,3.977488259915841
