rho,n_realizations,D_mean,D_std,H_mean,H_std,global_wss_mean,global_wss_std,centroid_sd_mean,centroid_sd_std
0.0,30,0.9330990599284739,0.004964653829520187,0.06634858188426958,0.004967592710618008,5626.587331368698,29.936862592006612,0.25732854277398265,0.009721133704649255
0.05,30,0.9290739191106296,0.0041181948059358636,0.07037610542821554,0.004120632616362941,5602.315732237097,24.832714679793572,0.26509567623895397,0.007796060627068406
0.1,30,0.9228189367797369,0.004186404399171914,0.07663479046426575,0.004188882587013224,5564.598188781814,25.2440185270066,0.2766490892672921,0.007524711586851778
0.15000000000000002,30,0.9157176814811259,0.00602210095493482,0.08374024942856727,0.006025665803416374,5521.777619331188,36.31326875825712,0.2891112367209458,0.010441987575119195
0.2,30,0.9114612093837317,0.005238066299317004,0.08799924119114248,0.005241167029914714,5496.111092583902,31.585539784881426,0.29643095710931383,0.008859101923811317
0.25,30,0.9048553577508615,0.007947148875659872,0.09460900323008845,0.007951853277298804,5456.277807237695,47.92130772022903,0.30722686812693534,0.013052270136622688
0.30000000000000004,30,0.895721511360389,0.00707618110699353,0.10374825650076429,0.007080369929742145,5401.200713503145,42.66937207517091,0.3218209558601215,0.011055516146852278
0.35000000000000003,30,0.8858565353778352,0.0063479079949883424,0.11361907216367477,0.006351665708508341,5341.714908328346,38.27788520977985,0.33684910969646703,0.009351260250925341
0.4,30,0.8770482424390884,0.007420622180825869,0.12243257926770075,0.007425014899232871,5288.600901907704,44.74635175037994,0.34964626923927716,0.01055200169481726
0.45,30,0.8656427286234104,0.008268744764814233,0.13384484470194374,0.008273639538654797,5219.825653599166,49.86053093182979,0.36557039110465445,0.011323600834096737
0.5,30,0.8528191842902592,0.009280389131643052,0.14667598007232388,0.009285882759423783,5142.499681270262,55.96074646380766,0.3826860834970599,0.012058756493518492
0.55,30,0.838323592479752,0.008261168318237092,0.16118015270683939,0.008266058607117268,5055.091262652904,49.814844958969644,0.4012267508518892,0.010266678687310403
0.6000000000000001,30,0.8254625761773611,0.009554930687578513,0.1740487822284009,0.00956058683323399,4977.539334349488,57.616232046098496,0.41691578621743824,0.01146390012212894
0.65,30,0.8112118637707403,0.012222742432499214,0.1883079304999905,0.012229977818476172,4891.607538537563,73.70313686797023,0.4335991540714498,0.013956796574148776
0.7000000000000001,30,0.7935636653745953,0.010224762977368882,0.20596657594007003,0.010230815637569548,4785.18890220881,61.65532075353444,0.4535667312416411,0.011231615629155972
0.75,30,0.7736304227875054,0.009303081606740827,0.2259116182279789,0.009308588667580216,4664.991449408657,56.097582088647265,0.4750639782681868,0.009765335153623073
0.8,30,0.7566321196434439,0.012228104864906674,0.24291998370337714,0.012235343425234094,4562.4916814499675,73.73547233538713,0.49257169560979847,0.012431647092562852
0.8500000000000001,30,0.7372293480091204,0.013686189481051455,0.2623342410204411,0.013694291170504214,4445.492968494996,82.52772257074014,0.5118639159907304,0.013430771846883845
0.9,30,0.7138861784010851,0.015102282399628192,0.2856912288728656,0.015111222360761959,4304.733655758543,91.066762869758,0.5341615728847443,0.014152796702527226
0.9500000000000001,30,0.6944017021191081,0.012692147990886048,0.3051872392035423,0.012699661246613876,4187.242263778221,76.53365238504286,0.5521587983276592,0.011477801245765307
1.0,30,0.6775185898143997,0.010190129406435041,0.32208034565111104,0.01019616156491485,4085.4370965808307,61.446480320803445,0.5672847285603846,0.008973305713469775
