perf_metric,n_panel_rows,n_binned_rows,lpm_beta1,lpm_beta2,lpm_shape,bin_shape,strictly_monotone_increasing,tail_drop,peak_bin,peak_rate,left_rate,right_rate,ability_loo_corr,H_sort_pooled,promotion_verdict,promotion_reason,bins_csv,png
ppm,22795,22795,0.01452124681112128,0.001719997755486927,flat,inverted_u_like,False,True,13,0.04043545878693624,0.013725490196078431,0.02832244008714597,-0.06280537103911168,0.064390629137858,marginal,flat LPM β₂ (+0.00172); bin=inverted_u_like (non-monotone but not concave),bins_ew16.csv,
fg_pct,22785,22785,0.04600912456500074,0.03895285819120559,convex,other,False,False,15,0.08872901678657075,0.0078125,0.08872901678657075,0.06034109693820463,0.094773226932469,fail,convex LPM β₂ (+0.03895),bins_ew16.csv,
efg_pct,22785,22785,0.03936347670397818,0.026509140662657,convex,other,False,False,15,0.08430913348946135,0.004008016032064128,0.08430913348946135,0.12939855973872091,0.1215412876285895,fail,convex LPM β₂ (+0.02651),bins_ew16.csv,
ts_pct_box,22789,22789,0.0371225981508302,0.021029371189480155,convex,other,False,False,15,0.09174311926605505,0.0,0.09174311926605505,0.13401513075396368,0.1242780658220622,fail,convex LPM β₂ (+0.02103),bins_ew16.csv,
per,20705,20705,0.04822540738916587,0.038067166967397495,convex,other,False,False,15,0.07957559681697612,0.004048582995951417,0.07957559681697612,0.11623283503747166,0.1112517824093783,fail,convex LPM β₂ (+0.03807),bins_ew16.csv,
bpm,19294,19294,0.06026202814030258,0.06879599324706774,convex,other,False,False,15,0.23809523809523808,0.0,0.23809523809523808,0.4734020793245654,0.3366347448754935,fail,convex LPM β₂ (+0.06880),bins_ew16.csv,
tspct,22182,22182,0.035441385126571155,0.023181105800300743,convex,other,False,False,15,0.09324009324009325,0.00404040404040404,0.09324009324009325,0.12692066760542967,0.124714296733897,fail,convex LPM β₂ (+0.02318),bins_ew16.csv,
ws,22052,22052,0.06409608051286947,0.04823438334214169,convex,other,False,False,15,0.13746630727762804,0.0,0.13746630727762804,0.26445270178002867,0.1626553754957689,fail,convex LPM β₂ (+0.04823),bins_ew16.csv,
minutes,22795,22795,0.04445173223786504,-0.009720199277053974,concave,inverted_u_like,False,True,14,0.07017543859649122,0.004777070063694267,0.05012531328320802,-0.08905514528632047,0.0534446086139268,pass,concave LPM β₂; bin=inverted_u_like + tail drop,bins_ew16.csv,
