gamma,loglik_best,lambda_best,t_best,grid_lambda,grid_t,grid_loglik,bfgs_success,mean_topk_recall
20.0,-8868.60556531507,2.0,1.0,2.0,1.0,-8868.60556531507,,0.13600181240368472
10.0,-8868.679929959848,2.0,1.0,2.0,1.0,-8868.679929959848,,0.13124640114827346
5.0,-8869.884270940463,2.0,1.0,2.0,1.0,-8869.884270940463,,0.1328827647846371
