lambda,t,loglik,neg_loglik,mean_topk_overlap,mean_topk_recall,mean_sum_p_on_drafted,per_season_overlap,gamma
2.0,1.0,-8868.602924135652,8868.602924135652,14.727272727272727,0.13600181240368472,0.06590545728430103,"[31, 22, 19, 14, 10, 12, 12, 12, 17, 11, 2]",19.572332081866243
2.5,1.0,-8868.867040863528,8868.867040863528,14.454545454545455,0.13561593684133857,0.0652549146816438,"[29, 21, 19, 14, 10, 11, 12, 12, 16, 11, 4]",19.572332081866243
1.5,1.0,-8869.023583098711,8869.023583098711,14.181818181818182,0.13124640114827346,0.06656504083975844,"[29, 19, 19, 14, 10, 12, 12, 12, 17, 10, 2]",19.572332081866243
3.0,1.0,-8869.794921717677,8869.794921717677,14.181818181818182,0.13288093811782464,0.06461400871790007,"[29, 21, 19, 13, 9, 11, 14, 10, 15, 11, 4]",19.572332081866243
1.0,1.0,-8870.150431782171,8870.150431782171,14.545454545454545,0.13435148929683988,0.06723300448184966,"[30, 20, 19, 14, 11, 12, 13, 12, 17, 10, 2]",19.572332081866243
0.5,1.0,-8872.005271765682,8872.005271765682,14.545454545454545,0.13398664135652025,0.06790861969374203,"[31, 22, 18, 13, 11, 11, 13, 12, 17, 10, 2]",19.572332081866243
0.5,3.0,-9124.429656417753,9124.429656417753,14.181818181818182,0.13124640114827346,0.03464270870678842,"[29, 19, 19, 14, 10, 12, 12, 12, 17, 10, 2]",19.572332081866243
1.0,3.0,-9129.448569510003,9129.448569510003,14.181818181818182,0.13288093811782464,0.03441391573930846,"[29, 21, 19, 13, 9, 11, 14, 10, 15, 11, 4]",19.572332081866243
1.5,3.0,-9134.99405684932,9134.99405684932,14.272727272727273,0.13444421828856995,0.034192373823928854,"[24, 21, 20, 15, 11, 13, 13, 10, 15, 11, 4]",19.572332081866243
2.0,3.0,-9141.047796519544,9141.047796519544,13.636363636363637,0.12935475496120669,0.033977972325283365,"[20, 21, 17, 13, 11, 14, 11, 14, 13, 12, 4]",19.572332081866243
2.5,3.0,-9147.592015828053,9147.592015828053,12.636363636363637,0.12036845439943446,0.03377058997478755,"[19, 19, 16, 12, 9, 12, 11, 12, 13, 12, 4]",19.572332081866243
3.0,3.0,-9154.609483403015,9154.609483403015,12.363636363636363,0.1190174898092912,0.033570096345107034,"[21, 15, 17, 10, 10, 10, 11, 11, 14, 12, 5]",19.572332081866243
0.5,10.0,-9352.203207306677,9352.203207306677,13.909090909090908,0.1308708384887751,0.027153676745189224,"[24, 21, 20, 12, 10, 13, 13, 12, 13, 11, 4]",19.572332081866243
1.0,10.0,-9358.124561878183,9358.124561878183,12.0,0.11576736048369018,0.027013667726487434,"[19, 14, 16, 9, 11, 11, 11, 11, 14, 11, 5]",19.572332081866243
1.5,10.0,-9364.539997054511,9364.539997054511,10.818181818181818,0.10249594750769773,0.026878688113565505,"[16, 12, 13, 10, 12, 10, 12, 12, 11, 8, 3]",19.572332081866243
2.0,10.0,-9371.432274616356,9371.432274616356,10.272727272727273,0.098298997342741,0.026748617616467397,"[11, 12, 12, 11, 13, 10, 11, 12, 9, 9, 3]",19.572332081866243
2.5,10.0,-9378.784681590114,9378.784681590114,10.272727272727273,0.09883386987761354,0.026623332347603775,"[12, 9, 13, 11, 14, 10, 11, 11, 9, 10, 3]",19.572332081866243
3.0,10.0,-9386.581021696784,9386.581021696784,10.363636363636363,0.09959694715217564,0.02650270566626094,"[12, 10, 13, 10, 14, 10, 13, 11, 7, 11, 3]",19.572332081866243
3.0,0.3,-14562.047313250452,14562.047313250452,14.545454545454545,0.13426130170665226,0.24212002225424073,"[30, 21, 18, 14, 11, 12, 13, 12, 17, 10, 2]",19.572332081866243
2.5,0.3,-14600.226121185751,14600.226121185751,14.545454545454545,0.13412277356812413,0.24191634290652228,"[31, 21, 18, 14, 11, 11, 13, 12, 17, 10, 2]",19.572332081866243
2.0,0.3,-14638.622981263528,14638.622981263528,14.545454545454545,0.13398664135652025,0.24169903311471305,"[31, 22, 18, 13, 11, 11, 13, 12, 17, 10, 2]",19.572332081866243
1.5,0.3,-14677.240865863507,14677.240865863507,14.545454545454545,0.13384234121222008,0.24146785849136299,"[31, 23, 18, 13, 10, 11, 13, 12, 17, 10, 2]",19.572332081866243
1.0,0.3,-14716.082986939033,14716.082986939033,14.545454545454545,0.13384234121222008,0.2412225660672939,"[31, 23, 18, 13, 10, 11, 13, 12, 17, 10, 2]",19.572332081866243
0.5,0.3,-14755.152786644156,14755.152786644156,14.636363636363637,0.13469997414532472,0.24096288469056198,"[31, 23, 18, 14, 10, 11, 13, 12, 17, 10, 2]",19.572332081866243
3.0,0.1,-35449.1168572529,35449.1168572529,14.545454545454545,0.13384234121222008,0.27459258640726164,"[31, 23, 18, 13, 10, 11, 13, 12, 17, 10, 2]",19.572332081866243
2.5,0.1,-35460.67031227587,35460.67031227587,14.545454545454545,0.13384234121222008,0.2745782214291308,"[31, 23, 18, 13, 10, 11, 13, 12, 17, 10, 2]",19.572332081866243
2.0,0.1,-35472.14702109014,35472.14702109014,14.545454545454545,0.13384234121222008,0.2745638700176933,"[31, 23, 18, 13, 10, 11, 13, 12, 17, 10, 2]",19.572332081866243
1.5,0.1,-35483.60261423809,35483.60261423809,14.636363636363637,0.13469997414532472,0.2745495294707667,"[31, 23, 18, 14, 10, 11, 13, 12, 17, 10, 2]",19.572332081866243
1.0,0.1,-35495.0721658727,35495.0721658727,14.636363636363637,0.13469997414532472,0.27453519697620987,"[31, 23, 18, 14, 10, 11, 13, 12, 17, 10, 2]",19.572332081866243
0.5,0.1,-35506.5328247956,35506.5328247956,14.545454545454545,0.1337908832362338,0.2745208696004834,"[31, 23, 18, 14, 10, 11, 13, 12, 16, 10, 2]",19.572332081866243
3.0,0.01,-39217.27636081923,39217.27636081923,14.545454545454545,0.1337908832362338,0.2727272727272727,"[31, 23, 18, 14, 10, 11, 13, 12, 16, 10, 2]",19.572332081866243
2.5,0.01,-39217.288982587925,39217.288982587925,14.545454545454545,0.1337908832362338,0.2727272727272727,"[31, 23, 18, 14, 10, 11, 13, 12, 16, 10, 2]",19.572332081866243
2.0,0.01,-39217.30160704741,39217.30160704741,14.454545454545455,0.1330636105089611,0.2727272727272727,"[30, 23, 18, 14, 10, 11, 13, 12, 16, 10, 2]",19.572332081866243
1.5,0.01,-39217.31423421047,39217.31423421047,14.454545454545455,0.1330636105089611,0.2727272727272727,"[30, 23, 18, 14, 10, 11, 13, 12, 16, 10, 2]",19.572332081866243
1.0,0.01,-39217.326864089875,39217.326864089875,14.454545454545455,0.1330636105089611,0.2727272727272727,"[30, 23, 18, 14, 10, 11, 13, 12, 16, 10, 2]",19.572332081866243
