band,slide_label,top_lo,top_hi,pct_floor,pct_ceil,perf_z_cut_outer,perf_z_cut_inner,band_n,total_drafts,draft_rate_band,min_bin_n,plateau_rate,tail_rate,downturn_visible,knee_tj_peak,knee_rate_peak,knee_bin_peak,knee_tj_tail_rule,ok_for_overlay
top 7%,"$\hat{A}_i \in (93\%, \infty)$",0,7,93,100,1.63421,,1179,159,0.13486,0,0.0541363,0.195175,True,1.3548,0.214286,8,2.49633,True
top 7–15%,"$\hat{A}_i \in (85\%, 93\%]$",7,15,85,93,1.15044,1.63421,1347,113,0.0838901,0,0.0337077,0.181818,False,0.969601,0.18018,7,,True
top 15–25%,"$\hat{A}_i \in (75\%, 85\%]$",15,25,75,85,0.728166,1.15044,1683,77,0.0457516,0,0.043782,0.166667,False,0.969601,0.11,7,,True
top 25–40%,"$\hat{A}_i \in (60\%, 75\%]$",25,40,60,75,0.251944,0.728166,2526,55,0.0217736,0,0.00741959,0,True,0.969601,0.0666667,7,,True
