gamma,lambda_hat,t_hat,loglik,neg_loglik,bfgs_success,mean_topk_recall,delta_loglik
5.0,2.5322497895259906,1.0673243194722093,-6920.292978371595,6920.292978371595,True,0.12144717833051247,-1.3325098963723576
8.0,2.666335605669514,1.0640531006473546,-6919.359886803967,6919.359886803967,True,0.12144717833051247,-0.39941832874410466
10.0,2.6486265074315836,1.0642609242688965,-6919.217650753914,6919.217650753914,True,0.12144717833051247,-0.25718227869128896
15.0,2.5951453751570543,1.065157194539852,-6919.126245608435,6919.126245608435,True,0.12256762650978417,-0.1657771332120319
18.0,2.571500648851351,1.065561586816066,-6919.114353510542,6919.114353510542,True,0.12042770881431092,-0.15388503531903552
20.0,2.5587989603387866,1.065773595516324,-6919.111179333276,6919.111179333276,True,0.12036508580482802,-0.15071085805266193
30.0,2.519949386921041,1.0663771628148886,-6919.105726428192,6919.105726428192,True,0.11771691378421956,-0.14525795296867727
40.0,2.5051424287176935,1.066540115888978,-6919.085916182329,6919.085916182329,True,0.11989556302169234,-0.12544770710610464
60.0,2.502366861067842,1.0664100480548797,-6919.020580329918,6919.020580329918,True,0.1199484730746024,-0.060111854694696376
80.0,2.5044483180205015,1.066251432997725,-6918.976041326605,6918.976041326605,True,0.11898228949972317,-0.015572851381875807
100.0,2.5032243706001873,1.0662026592480724,-6918.960468475223,6918.960468475223,True,0.12004049055792423,0.0
150.0,2.4923965259156757,1.0663400572255965,-6918.978733249808,6918.978733249808,True,0.12004049055792423,-0.018264774585077248
200.0,2.481105120161217,1.066542390324746,-6919.011222904394,6919.011222904394,True,0.12106929714228637,-0.050754429171320226
