lambda,t,loglik,neg_loglik,mean_topk_overlap,mean_topk_recall,mean_sum_p_on_drafted,per_season_overlap,gamma
3.0,1.0,-6921.216570450473,6921.216570450473,11.88888888888889,0.1193168677754779,0.06076086893908508,"[19, 13, 10, 11, 13, 10, 16, 11, 4]",18.0
2.5,1.0,-6921.751869399985,6921.751869399985,12.222222222222221,0.12256762650978417,0.06128696484737469,"[19, 14, 10, 11, 12, 12, 17, 11, 4]",18.0
2.0,1.0,-6922.77326018312,6922.77326018312,12.11111111111111,0.1192685290930397,0.06182046126397635,"[19, 14, 10, 12, 12, 12, 17, 11, 2]",18.0
1.5,1.0,-6924.296491586914,6924.296491586914,12.0,0.11787964020415082,0.062360842755923386,"[19, 14, 10, 12, 12, 12, 17, 10, 2]",18.0
1.0,1.0,-6926.3377000533455,6926.3377000533455,12.222222222222221,0.11990402483723112,0.06290753614350925,"[19, 14, 11, 12, 13, 12, 17, 10, 2]",18.0
0.5,1.0,-6928.9134087974635,6928.9134087974635,11.88888888888889,0.11680554225761644,0.06345990748440118,"[18, 13, 11, 11, 13, 12, 17, 10, 2]",18.0
0.5,3.0,-7113.540924736985,7113.540924736985,12.0,0.11787964020415082,0.03255559827094752,"[19, 14, 10, 12, 12, 12, 17, 10, 2]",18.0
1.0,3.0,-7116.168611625343,7116.168611625343,11.88888888888889,0.1193168677754779,0.03239222005374575,"[19, 13, 10, 11, 13, 10, 16, 11, 4]",18.0
1.5,3.0,-7119.179943343375,7119.179943343375,12.444444444444445,0.12446885938973368,0.03223360735093742,"[20, 15, 11, 13, 13, 10, 15, 11, 4]",18.0
2.0,3.0,-7122.561378045108,7122.561378045108,11.88888888888889,0.11971695212483763,0.03207970085347702,"[17, 13, 10, 14, 11, 13, 13, 12, 4]",18.0
2.5,3.0,-7126.299821871531,7126.299821871531,11.222222222222221,0.1134732608444587,0.03193043356003103,"[16, 12, 9, 12, 11, 12, 13, 12, 4]",18.0
