season,n_rows,H_sort
2010,3939,0.11934465101365654
2011,3975,0.11903091007551214
2012,3963,0.117009952893525
2013,4012,0.1144944758091394
2014,4139,0.09597619559882709
2015,4163,0.1089447701230506
2016,4157,0.11125298647374482
2017,4156,0.10963029275250358
2018,4158,0.09825997712754675
2019,4124,0.1124010892783881
2020,4131,0.11182804801493917
2021,4169,0.11792849296162211
