season,n_rows,H_sort
2009,3957,0.1303767491584218
2010,4077,0.13596909754650832
2011,3973,0.12840055144943974
2012,3963,0.130954622706006
2013,4013,0.14217645384691313
2014,4144,0.105819021234269
2015,4174,0.12414449597046573
2016,4156,0.12355520305479784
2017,4160,0.12810560495576184
2018,4158,0.11290135026728931
2019,4124,0.12309315158676026
2020,4131,0.13348881849728556
2021,4167,0.10388490015937335
