perf_metric,n_panel_rows,n_valid_perf,H_sort_pooled,H_sort_mean_by_season
bpm,45156,45156,0.3366347448754935,0.3367326976020753
ws,52906,52906,0.16265537549576892,0.16265961484233005
tspct,53197,53197,0.124714296733897,0.12483615541794552
ts_pct_box,54568,54568,0.12427806582206224,0.12434512102456893
efg_pct,54552,54552,0.12154128762858951,0.12157700221660908
per,49086,49086,0.11125178240937839,0.11134182017687129
fg_pct,54552,54552,0.09477322693246903,0.09484104432771903
ppm,54582,54582,0.06439062913785809,0.06441020924221469
minutes,54582,54582,0.05344460861392686,0.05342782918551965
