vent,n,draft_rate,ai_x_loo_mean,ai_x_loo_median,perf_mean,poolq_loo_mean
0,1425,0.056842105263157895,-0.6981481194490655,-0.6219716283276084,0.5244125608081773,-0.08359626855521743
1,1425,0.035789473684210524,-0.3545171478560648,-0.34916727383533824,0.0976643832648882,0.0037355255608828475
2,1425,0.028070175438596492,-0.23164441608728462,-0.2301550268972019,0.052609161114973275,0.0038392479922514985
3,1424,0.023174157303370788,-0.15454114974366026,-0.15334569956954058,0.019033314644434595,0.0014914773173736774
4,1425,0.018947368421052633,-0.10120100232152165,-0.10107564373927237,0.016650703714576283,0.004057439082267436
5,1425,0.014736842105263158,-0.06134873944800401,-0.06140061370406284,-0.0030308625982967846,0.008143868821137781
6,1424,0.009831460674157303,-0.032287590928236735,-0.03213395812705741,-0.045555788071392156,0.00714219248451158
7,1425,0.011929824561403509,-0.011343698144823404,-0.010807876372592706,0.003292569640410376,0.001949138271046649
8,1425,0.009824561403508772,0.0019708494867464858,0.001412953310495164,0.0013962736534849478,0.001870222688533113
9,1424,0.009831460674157303,0.017519567668022314,0.01708695737614309,-0.05587203564491967,-0.000401690609879619
10,1425,0.018947368421052633,0.04037056398015784,0.040211267555036685,-0.07219711433622672,-0.006375124090004047
11,1425,0.023157894736842106,0.07273657772212597,0.07181185961519304,-0.04296108804828175,-0.003932112141036946
12,1424,0.025280898876404494,0.11739884407957965,0.11603204289796434,-0.09228233783179218,-0.015184960267864336
13,1425,0.0343859649122807,0.1839872529227722,0.18228167081424662,-0.0804635475675497,-0.014730503646941144
14,1425,0.041403508771929824,0.2960961931148767,0.2912365872805411,-0.13359716044078188,-0.02236457899437433
15,1424,0.06952247191011236,0.625208769593411,0.5469997409553273,-0.006687917567417547,-0.015207368951165534
