season,n_rows,H_sort
2009,4093,0.06634608774779116
2010,4183,0.06472137111433673
2011,4086,0.06577921612267346
2012,4097,0.07086169191529623
2013,4135,0.061979619345465475
2014,4248,0.05656051514004312
2015,4270,0.0611334345493344
2016,4234,0.05902178795819357
2017,4292,0.06502926442473633
2018,4246,0.0627630266884458
2019,4204,0.06709506867992587
2020,4219,0.06329600214701192
2021,4275,0.07274563431553693
