vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,9,0,0,0,0.299153,-0.95098,-0.622354,"[-0.951, -0.6224)",-0.797248,-0.802619,coarse,False,True
1,2,55,1,0.0181818,0.0032167,0.09606,-0.622354,-0.293729,"[-0.6224, -0.2937)",-0.413813,-0.408638,coarse,False,False
2,3,295,24,0.0813559,0.055278,0.118197,-0.293729,0.034897,"[-0.2937, 0.0349)",-0.10607,-0.0918456,coarse,False,False
3,4,439,54,0.123007,0.0955118,0.157043,0.034897,0.363523,"[0.0349, 0.3635)",0.209394,0.222874,coarse,False,False
4,5,353,63,0.17847,0.142052,0.221812,0.363523,0.697734,"[0.3635, 0.6977)",0.514888,0.508216,fine_tail,True,False
5,6,258,49,0.189922,0.146744,0.242199,0.697734,1.03195,"[0.6977, 1.032)",0.83659,0.829326,fine_tail,True,False
6,7,110,36,0.327273,0.24671,0.419493,1.03195,1.36616,"[1.032, 1.366)",1.17212,1.15945,fine_tail,True,False
7,8,39,5,0.128205,0.0560273,0.26706,1.36616,1.70037,"[1.366, 1.7)",1.49669,1.44869,fine_tail,True,False
8,9,22,6,0.272727,0.131506,0.481521,1.70037,2.03458,"[1.7, 2.035)",1.79863,1.76244,fine_tail,True,True
9,10,13,8,0.615385,0.355225,0.822906,2.03458,2.36879,"[2.035, 2.369)",2.19912,2.18952,fine_tail,True,True
10,11,3,0,0,0,0.561506,2.36879,2.703,"[2.369, 2.703)",2.55374,2.47911,fine_tail,True,True
