vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display,edge_lo,edge_hi,x_center,poolq_binning
0,628,3,0.004777070063694267,-0.521871501931708,-0.5395719040814327,-0.5423926566766346,-0.46858235903298284,1,-0.5423926566766346,-0.4682204182847646,-0.5053065374806995,equal_width
1,653,5,0.007656967840735069,-0.42698671436303515,-0.42407013057915566,-0.4674049465298068,-0.3941764300128322,2,-0.4682204182847646,-0.3940481798928946,-0.4311342990888296,equal_width
2,1112,11,0.009892086330935251,-0.35551499271487885,-0.35472467520304907,-0.39396384164420317,-0.31990897913463173,3,-0.3940481798928946,-0.3198759415010246,-0.35696206069695957,equal_width
3,1503,18,0.011976047904191617,-0.2799948848872937,-0.2781496154850222,-0.3197621459200183,-0.24578388225458797,4,-0.3198759415010246,-0.24570370310915457,-0.2827898223050896,equal_width
4,2161,37,0.017121702915316984,-0.20731204972991568,-0.20736007035394763,-0.24566904331578188,-0.17153205494048573,5,-0.24570370310915457,-0.17153146471728453,-0.20861758391321955,equal_width
5,2531,59,0.023310944290794153,-0.13359724941013665,-0.1331701843853935,-0.1715124382807007,-0.09737529927174988,6,-0.17153146471728453,-0.09735922632541455,-0.13444534552134954,equal_width
6,2720,67,0.02463235294117647,-0.059816594656507,-0.05962012410264027,-0.09734806767318022,-0.02320598521106896,7,-0.09735922632541455,-0.023186987933544567,-0.06027310712947956,equal_width
7,2742,91,0.033187454412837346,0.012804366502889526,0.012314380840214752,-0.023181213074924916,0.050932577450068774,8,-0.023186987933544567,0.05098525045832547,0.013899131262390452,equal_width
8,2469,74,0.029971648440664238,0.08753507880278166,0.08786769585342946,0.05099853140507473,0.12510226912775396,9,0.05098525045832547,0.1251574888501955,0.08807136965426049,equal_width
9,2006,71,0.0353938185443669,0.16093326307068764,0.16053184495763329,0.1251688546336666,0.1992667388160218,10,0.1251574888501955,0.19932972724206555,0.16224360804613053,equal_width
10,1407,48,0.03411513859275053,0.2334981179352242,0.23163554079760093,0.19933164276868115,0.27345734166654806,11,0.19932972724206555,0.2735019656339355,0.2364158464380005,equal_width
11,1016,45,0.04429133858267716,0.30795420463750356,0.30684192853755765,0.2735029838197253,0.34759986323107295,12,0.2735019656339355,0.3476742040258055,0.3105880848298705,equal_width
12,691,31,0.04486251808972504,0.3814393653277223,0.3805143580422756,0.34771553290920065,0.42162737322787336,13,0.3476742040258055,0.42184644241767555,0.38476032322174053,equal_width
13,472,15,0.03177966101694915,0.45564850659243794,0.4544253678525773,0.4218652818064542,0.4957184810681695,14,0.42184644241767555,0.4960186808095455,0.4589325616136105,equal_width
14,285,20,0.07017543859649122,0.529574427515914,0.5290627780122846,0.49606635294410784,0.5701301597750517,15,0.4960186808095455,0.5701909192014156,0.5331048000054806,equal_width
15,399,20,0.05012531328320802,0.6278761102907697,0.6443631575932856,0.5703369984569491,0.6443631575932856,16,0.5701909192014156,0.6443631575932856,0.6072770383973506,equal_width
