bin,n_all,n_tenure,n_attrition,n_censored,n_resolved,tenure_rate,tenure_ci_lo,tenure_ci_hi,attrition_rate,attr_ci_lo,attr_ci_hi,loo_min,loo_median,loo_max,loo_log_median,loo_z_median
1,122,19,29,74,48,0.395833,0.270206,0.536898,0.604167,0.463102,0.729794,0.0,1.0,1.6818,,
2,281,53,69,159,122,0.434426,0.349799,0.523057,0.565574,0.476943,0.650201,1.68845,2.4534,3.367775,,
3,149,32,51,66,83,0.385542,0.28811,0.493101,0.614458,0.506899,0.71189,3.388986,4.1111,5.05115,,
4,99,29,36,34,65,0.446154,0.331693,0.566624,0.553846,0.433376,0.668307,5.0909,5.819,6.714275,,
5,78,21,10,47,31,0.677419,0.501407,0.814308,0.322581,0.185692,0.498593,6.76818,7.6322,8.42775,,
6,34,12,2,20,14,0.857143,0.600581,0.959907,0.142857,0.040093,0.399419,8.46875,9.214085,10.119325,,
7,7,2,1,4,3,0.666667,0.207655,0.93851,0.333333,0.06149,0.792345,10.35415,11.1,11.809517,,
8,10,4,1,5,5,0.8,0.375528,0.963777,0.2,0.036223,0.624472,11.85316,12.124996,13.2513,,
9,5,1,1,3,2,0.5,0.094529,0.905471,0.5,0.094529,0.905471,13.54078,14.4737,14.70835,,
10,8,0,0,8,0,,,,,,,15.2632,15.8947,15.8947,,
13,2,0,2,0,2,0.0,0.0,0.657628,1.0,0.342372,1.0,21.0,21.0,21.0,,
16,1,1,0,0,1,1.0,0.206543,1.0,0.0,0.0,0.793457,27.0,27.0,27.0,,
