bin,n_all,n_tenure,n_attrition,n_censored,n_resolved,tenure_rate,tenure_ci_lo,tenure_ci_hi,attrition_rate,attr_ci_lo,attr_ci_hi,loo_min,loo_median,loo_max,loo_log_median,loo_z_median
1,22,9,13,0,22,0.409091,0.232556,0.612655,0.590909,0.387345,0.767444,0.0,0.394444,0.611111,,
2,74,30,44,0,74,0.405405,0.300904,0.519244,0.594595,0.480756,0.699096,0.652778,0.99032,1.277778,,
3,71,37,34,0,71,0.521127,0.406858,0.633227,0.478873,0.366773,0.593142,1.303371,1.551724,1.901235,,
4,58,30,28,0,58,0.517241,0.39162,0.64072,0.482759,0.35928,0.60838,1.938272,2.221579,2.566929,,
5,81,39,42,0,81,0.481481,0.375995,0.588645,0.518519,0.411355,0.624005,2.574074,2.878049,3.20339,,
6,28,18,10,0,28,0.642857,0.4583,0.792944,0.357143,0.207056,0.5417,3.219355,3.382964,3.783333,,
7,21,17,4,0,21,0.809524,0.59999,0.923326,0.190476,0.076674,0.40001,3.866667,4.056701,4.495935,,
8,8,1,7,0,8,0.125,0.022417,0.470895,0.875,0.529105,0.977583,4.517857,4.884615,5.019231,,
9,8,5,3,0,8,0.625,0.305738,0.863158,0.375,0.136842,0.694262,5.212766,5.472549,5.75,,
10,15,1,14,0,15,0.066667,0.011867,0.298171,0.933333,0.701829,0.988133,5.833333,5.958333,6.204545,,
11,2,2,0,0,2,1.0,0.342372,1.0,0.0,0.0,0.657628,6.736842,6.763158,6.789474,,
13,2,2,0,0,2,1.0,0.342372,1.0,0.0,0.0,0.657628,7.848485,7.924242,8.0,,
16,1,0,1,0,1,0.0,0.0,0.793457,1.0,0.206543,1.0,10.288136,10.288136,10.288136,,
