band,slide_label,top_lo,top_hi,pct_floor,pct_ceil,perf_z_cut_outer,perf_z_cut_inner,band_n,total_drafts,draft_rate_band,min_bin_n,plateau_rate,tail_rate,downturn_visible,knee_tj_peak,knee_rate_peak,knee_bin_peak,knee_tj_tail_rule,ok_for_overlay
top 4.95961%,"$\hat{A}_i \in (95.0404\%, \infty)$",0,4.95961,95.0404,100,1.8285,,835,127,0.152096,0,0.0624813,0.154062,True,1.3548,0.219512,8,2.49633,True
top 4.95961–13.5008%,"$\hat{A}_i \in (86.4992\%, 95.0404\%]$",4.95961,13.5008,86.4992,95.0404,1.21594,1.8285,1438,127,0.0883171,0,0.0364107,0.615385,False,0.969601,0.169492,7,,True
top 13.5008–32.0563%,"$\hat{A}_i \in (67.9437\%, 86.4992\%]$",13.5008,32.0563,67.9437,86.4992,0.486109,1.21594,3124,127,0.040653,0,0.029919,0.142857,False,1.3548,0.12,8,,True
