band,slide_label,top_lo,top_hi,pct_floor,pct_ceil,perf_z_cut_outer,perf_z_cut_inner,band_n,total_drafts,draft_rate_band,min_bin_n,plateau_rate,tail_rate,downturn_visible,knee_tj_peak,knee_rate_peak,knee_bin_peak,knee_tj_tail_rule,ok_for_overlay
top 10%,"$\hat{A}_i \in (90\%, \infty)$",0,10,90,100,1.42586,,1684,206,0.122328,0,0.0471144,0.178333,True,1.3548,0.214286,8,2.49633,True
top 10–20%,"$\hat{A}_i \in (80\%, 90\%]$",10,20,80,90,0.916466,1.42586,1684,105,0.0623515,0,0.0368688,0.333333,False,0.969601,0.142857,7,,True
top 20–30%,"$\hat{A}_i \in (70\%, 80\%]$",20,30,70,80,0.55727,0.916466,1683,64,0.0380273,0,0.0327719,0,True,0.969601,0.1125,7,,True
