vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,poolq_loo_mean,poolq_loo_median,bin_region,high_tj_tail,thin_cell
0,1,123,34,0.276423,0.205069,0.36132,-0.599265,-0.469409,"[-0.5993, -0.4694)",-0.549063,-0.554246,coarse,False,False
1,2,164,40,0.243902,0.184532,0.314997,-0.469409,-0.339552,"[-0.4694, -0.3396)",-0.393096,-0.389194,coarse,False,False
2,3,218,54,0.247706,0.195101,0.309049,-0.339552,-0.209696,"[-0.3396, -0.2097)",-0.272485,-0.268929,coarse,False,False
3,4,268,72,0.268657,0.219131,0.324721,-0.209696,-0.0798398,"[-0.2097, -0.07984)",-0.141929,-0.137417,coarse,False,False
4,5,223,63,0.282511,0.227489,0.3449,-0.0798398,0.0180017,"[-0.07984, 0.018)",-0.0331985,-0.035019,fine_tail,True,False
5,6,166,51,0.307229,0.242068,0.38111,0.0180017,0.115843,"[0.018, 0.1158)",0.0688934,0.0696258,fine_tail,True,False
6,7,150,48,0.32,0.250644,0.398345,0.115843,0.213685,"[0.1158, 0.2137)",0.162731,0.157938,fine_tail,True,False
7,8,102,33,0.323529,0.240578,0.419291,0.213685,0.311526,"[0.2137, 0.3115)",0.26429,0.258411,fine_tail,True,False
8,9,68,11,0.161765,0.0928,0.266902,0.311526,0.409368,"[0.3115, 0.4094)",0.35053,0.342865,fine_tail,True,False
9,10,52,10,0.192308,0.107959,0.318991,0.409368,0.507209,"[0.4094, 0.5072)",0.444204,0.442473,fine_tail,True,False
10,11,12,2,0.166667,0.0469641,0.448036,0.507209,0.605051,"[0.5072, 0.6051)",0.558167,0.569919,fine_tail,True,True
