athlete_id,team_id,points,minutes,missing_minutes_rows,missing_points_rows,distinct_games,game_rows,ppm
51143,94,242.0,750.0,1,0,30,30,0.32266666666666666
51289,2545,336.0,763.0,3,2,32,32,0.44036697247706424
51517,8,266.0,734.0,2,1,36,36,0.36239782016348776
52465,2545,273.0,713.0,1,0,32,32,0.38288920056100983
54909,2710,170.0,715.0,2,1,28,28,0.23776223776223776
56231,325,555.0,1176.0,1,0,34,34,0.4719387755102041
56297,338,123.0,497.0,6,5,32,32,0.24748490945674045
56407,2567,493.0,1147.0,1,0,34,34,0.42981691368788144
56458,2545,386.0,880.0,8,7,32,32,0.43863636363636366
56476,107,290.0,779.0,1,0,30,30,0.3722721437740693
56477,107,434.0,913.0,1,0,30,30,0.47535596933187296
56478,107,93.0,443.0,1,0,30,30,0.20993227990970656
56577,325,123.0,430.0,1,0,34,34,0.28604651162790695
56724,2567,214.0,530.0,1,0,34,34,0.4037735849056604
56727,2567,222.0,963.0,1,0,34,34,0.23052959501557632
56763,8,6.0,47.0,21,20,36,36,0.1276595744680851
56903,325,486.0,982.0,1,0,34,34,0.49490835030549896
56904,325,257.0,787.0,4,3,34,34,0.32655654383735705
57084,2545,226.0,730.0,3,2,32,32,0.3095890410958904
57091,8,346.0,957.0,1,0,36,36,0.361546499477534
57143,338,13.0,129.0,12,11,32,32,0.10077519379844961
57198,338,227.0,871.0,1,0,32,32,0.2606199770378875
57460,94,74.0,350.0,3,2,30,30,0.21142857142857144
61167,104,248.0,713.0,1,0,30,30,0.34782608695652173
61168,104,282.0,845.0,2,1,30,30,0.3337278106508876
61169,104,277.0,1068.0,1,0,30,30,0.25936329588014984
61194,338,389.0,880.0,1,0,32,32,0.4420454545454545
61195,338,486.0,1144.0,1,0,32,32,0.42482517482517484
61330,338,234.0,598.0,11,10,32,32,0.391304347826087
61456,325,200.0,709.0,2,1,34,34,0.2820874471086037
61534,104,368.0,622.0,1,0,30,30,0.5916398713826366
61558,8,284.0,634.0,1,0,36,36,0.4479495268138801
61560,8,573.0,1057.0,1,0,36,36,0.5421002838221382
61562,8,171.0,555.0,1,0,36,36,0.3081081081081081
61820,325,25.0,126.0,11,10,34,34,0.1984126984126984
61847,104,65.0,290.0,3,2,30,30,0.22413793103448276
62390,107,199.0,597.0,1,0,30,30,0.3333333333333333
62391,107,73.0,279.0,4,3,30,30,0.2616487455197133
62392,107,195.0,665.0,1,0,30,30,0.2932330827067669
62626,2443,308.0,684.0,1,0,29,29,0.4502923976608187
62630,2443,10.0,33.0,16,15,29,29,0.30303030303030304
62650,94,305.0,805.0,1,0,30,30,0.37888198757763975
62653,94,334.0,619.0,1,0,30,30,0.5395799676898223
62654,94,178.0,542.0,2,1,30,30,0.3284132841328413
62657,94,99.0,403.0,9,8,30,30,0.2456575682382134
62709,325,148.0,709.0,1,0,34,34,0.20874471086036672
64890,8,66.0,350.0,1,0,36,36,0.18857142857142858
66116,2567,177.0,796.0,1,0,34,34,0.22236180904522612
66117,2567,179.0,445.0,18,17,34,34,0.40224719101123596
66118,2567,241.0,725.0,1,0,34,34,0.33241379310344826
66119,2567,377.0,804.0,1,0,34,34,0.4689054726368159
66293,2567,94.0,492.0,1,0,34,34,0.1910569105691057
66332,8,629.0,1046.0,1,0,36,36,0.6013384321223709
66333,8,93.0,485.0,1,0,36,36,0.19175257731958764
66334,8,131.0,382.0,1,0,36,36,0.34293193717277487
66513,338,44.0,235.0,7,6,32,32,0.18723404255319148
66526,94,83.0,209.0,13,12,30,30,0.39712918660287083
66527,94,109.0,376.0,4,3,30,30,0.2898936170212766
66528,94,31.0,113.0,12,11,30,30,0.2743362831858407
66529,94,110.0,374.0,2,1,30,30,0.29411764705882354
66791,325,24.0,116.0,13,12,34,34,0.20689655172413793
66793,325,60.0,211.0,5,4,34,34,0.2843601895734597
67092,104,9.0,113.0,10,9,30,30,0.07964601769911504
67094,104,460.0,945.0,2,1,30,30,0.48677248677248675
67197,107,117.0,441.0,11,10,30,30,0.2653061224489796
67198,107,251.0,731.0,1,0,30,30,0.3433652530779754
67199,107,139.0,386.0,2,1,30,30,0.3601036269430052
67331,2443,253.0,669.0,1,0,29,29,0.3781763826606876
67333,2443,299.0,749.0,1,0,29,29,0.3991989319092123
67334,2443,356.0,893.0,1,0,29,29,0.3986562150055991
67335,2443,212.0,638.0,2,1,29,29,0.3322884012539185
67386,2545,345.0,1013.0,1,0,32,32,0.3405725567620928
67387,2545,256.0,687.0,12,11,32,32,0.3726346433770015
67389,2545,145.0,455.0,15,14,32,32,0.31868131868131866
67444,2710,206.0,793.0,1,0,28,28,0.2597730138713745
67445,2710,97.0,290.0,14,13,28,28,0.33448275862068966
67446,2710,434.0,890.0,1,0,28,28,0.48764044943820223
67447,2710,85.0,403.0,9,8,28,28,0.2109181141439206
3058797,338,201.0,760.0,1,0,32,32,0.2644736842105263
3062804,325,348.0,932.0,8,7,34,34,0.37339055793991416
3130525,94,392.0,829.0,1,0,30,30,0.47285886610373945
3130550,104,250.0,673.0,2,1,30,30,0.37147102526002973
3130560,107,108.0,301.0,8,7,30,30,0.3588039867109635
3130710,2443,26.0,144.0,7,6,29,29,0.18055555555555555
3130711,2443,61.0,285.0,2,1,29,29,0.21403508771929824
3130712,2443,162.0,405.0,7,6,29,29,0.4
3130713,2443,105.0,515.0,1,0,29,29,0.20388349514563106
3136173,8,19.0,122.0,11,10,36,36,0.1557377049180328
3136174,8,198.0,648.0,2,1,36,36,0.3055555555555556
3136463,2710,172.0,673.0,2,1,28,28,0.2555720653789004
3136465,2710,335.0,736.0,1,0,28,28,0.45516304347826086
3136466,2710,89.0,286.0,4,3,28,28,0.3111888111888112
3136468,2710,128.0,432.0,3,2,28,28,0.2962962962962963
3138212,325,27.0,151.0,12,11,34,34,0.17880794701986755
3138214,325,39.0,316.0,3,2,34,34,0.12341772151898735
3155899,104,43.0,229.0,3,2,30,30,0.18777292576419213
3155929,2545,0.0,43.0,21,20,32,32,0.0
3155930,2545,28.0,140.0,4,3,32,32,0.2
3155932,2545,52.0,242.0,7,6,32,32,0.21487603305785125
3159512,2443,1.0,20.0,20,19,29,29,0.05
