athlete_id,team_id,distinct_games,total_minutes,game_rows,canonical_team_id,kept
51649,43,32,418.0,32,43,True
51650,77,32,155.0,32,77,True
51654,2754,32,919.0,32,2754,True
51660,2031,31,485.0,31,2031,True
51665,2065,32,943.0,32,2065,True
51670,252,35,1019.0,35,252,True
51671,252,35,739.0,35,252,True
51690,2142,33,921.0,33,2142,True
51691,236,32,159.0,32,236,True
51692,155,30,212.0,30,155,True
51693,2458,30,161.0,30,2458,True
51694,2565,28,442.0,28,2565,True
51696,171,28,573.0,28,171,True
51697,242,32,452.0,32,242,True
51699,2803,31,1183.0,31,2803,True
51708,2198,33,354.0,33,2198,True
51714,333,12,0.0,12,333,True
51719,120,35,919.0,35,120,True
51722,290,30,510.0,30,290,True
51723,290,31,1087.0,31,290,True
51729,161,29,933.0,29,161,True
51741,2459,30,741.0,30,2459,True
51743,282,31,739.0,31,282,True
51744,270,30,1051.0,30,270,True
51758,154,32,557.0,32,154,True
51759,183,31,4.0,31,183,True
51761,2046,30,322.0,30,2046,True
51762,2352,30,772.0,30,2352,True
51765,2649,33,969.0,33,2649,True
51771,2382,35,1040.0,35,2382,True
51781,270,30,53.0,30,270,True
51786,36,34,995.0,34,36,True
51793,2463,33,882.0,33,2463,True
51798,44,33,509.0,33,44,True
51805,166,34,584.0,34,166,True
51807,2239,31,898.0,31,2239,True
51808,2193,30,286.0,30,2193,True
51809,261,34,267.0,34,261,True
51810,2464,38,888.0,38,2464,True
51813,2168,36,76.0,36,2168,True
51814,56,31,507.0,31,56,True
51815,2473,33,1190.0,33,2473,True
51816,103,32,819.0,32,103,True
51817,295,35,883.0,35,295,True
51829,261,34,694.0,34,261,True
51844,27,31,261.0,31,27,True
51850,2547,34,1097.0,34,2547,True
51853,2565,28,597.0,28,2565,True
51857,2127,31,829.0,31,2127,True
51880,111,35,1054.0,35,111,True
51895,145,34,755.0,34,145,True
51901,145,34,540.0,34,145,True
51926,2458,30,774.0,30,2458,True
51927,302,32,460.0,32,302,True
51928,21,36,1183.0,36,21,True
51930,82,34,974.0,34,82,True
51940,2754,32,307.0,32,2754,True
51948,44,1,0.0,1,44,True
51961,2428,32,0.0,32,2428,True
51962,2050,30,466.0,30,2050,True
51999,2934,33,222.0,33,2934,True
52004,2463,33,1072.0,33,2463,True
52005,301,31,668.0,31,301,True
52013,2097,32,1071.0,32,2097,True
52019,2603,1,0.0,1,2603,True
52020,2099,1,0.0,1,2099,True
52036,225,31,274.0,31,225,True
52044,2154,31,414.0,31,2154,True
52046,47,32,980.0,32,47,True
52049,290,31,899.0,31,290,True
52060,2142,33,337.0,33,2142,True
52064,25,33,620.0,33,25,True
52066,2166,32,66.0,32,2166,True
52069,2506,32,1007.0,32,2506,True
52074,2169,36,1095.0,36,2169,True
52078,2612,34,827.0,34,2612,True
52084,2181,31,595.0,31,2181,True
52087,356,33,721.0,33,356,True
52092,2739,33,713.0,33,2739,True
52094,2379,33,341.0,33,2379,True
52103,2612,34,543.0,34,2612,True
