vent,n,drafts,draft_rate,poolq_mean,poolq_median,poolq_min,poolq_max,bin_display
0,2730,48,0.017582417582417582,-0.5219193018188655,-0.5101224409435652,-0.6140188028352481,-0.4292796475941429,1
1,2729,59,0.021619640894100404,-0.3782549703878344,-0.37649907907826163,-0.42920762189251954,-0.3365879081404016,2
2,2729,64,0.023451813851227556,-0.30442871804299926,-0.3037676801656655,-0.33657291729743927,-0.2734935080151907,3
3,2729,57,0.02088677171124954,-0.24742919748747538,-0.24686617558584206,-0.27347152564971866,-0.22323818404484136,4
4,2729,56,0.020520337119824112,-0.20156699297833253,-0.20170129580891186,-0.22323136605246532,-0.17984814450831885,5
5,2729,74,0.027116159765481863,-0.16087936902745528,-0.1604941187891769,-0.1798470319209338,-0.14233059455497182,6
6,2729,60,0.021986075485525832,-0.12471854453948195,-0.12472819000745773,-0.1423287413560589,-0.10681528504962759,7
7,2729,53,0.01942103334554782,-0.09000690254858829,-0.09000880100872988,-0.10681311330108943,-0.07338143468594166,8
8,2729,66,0.024184683034078416,-0.05688052607669241,-0.057013675983581716,-0.0733808244925043,-0.04025681283054007,9
9,2729,57,0.02088677171124954,-0.023559135932941754,-0.023441068479311024,-0.04025415262848997,-0.0072098168581214055,10
10,2730,64,0.023443223443223443,0.009553302028502316,0.009742145274290799,-0.007199890697583348,0.026285573778289703,11
11,2729,73,0.02674972517405643,0.04294986100755588,0.042730422683166736,0.02628734991166343,0.06022479636988931,12
12,2729,69,0.025283986808354707,0.07777672390908077,0.07760132959455844,0.06024614170056617,0.09502878012812738,13
13,2729,66,0.024184683034078416,0.1137745642714419,0.11350698555509477,0.09503344347786628,0.133571067872089,14
14,2729,84,0.030780505679736166,0.15407872800279024,0.1537437247665824,0.13358760585731425,0.1758539263870023,15
15,2729,75,0.02748259435690729,0.19825219194393495,0.19736710008393676,0.17586216342521221,0.22233335978678467,16
16,2729,88,0.03224624404543789,0.2504017683569405,0.2504218887705668,0.22235269895590337,0.2799429153168683,17
17,2729,98,0.035910589959692193,0.31219269799137295,0.3114230448457317,0.2799634574905777,0.34808796487018345,18
18,2729,90,0.03297911322828875,0.39499117274368367,0.39245612927601103,0.3481158697122767,0.45059567009474893,19
19,2729,99,0.03627702455111763,0.5523014187060882,0.5439221142614732,0.4505992732588098,0.6446750109667025,20
