# IPEDS Fall Enrollment Part A (ef{year}a), EFTOTLT where EFALEVEL=1 — total fall headcount.
# Generated by build_school_enrollment_from_ipeds.py — years 2004-2023.
# university must match r1_cs_departments.csv exactly.
university,year,total_enrollment
University of Mississippi,2017,23136
University of Mississippi,2018,22456
University of Mississippi,2019,21617
University of Mississippi,2020,21014
University of Mississippi,2021,21203
University of Mississippi,2022,22300
University of Mississippi,2023,24043
University of Missouri,2004,108012
University of Missouri,2005,111720
University of Missouri,2006,112736
University of Missouri,2007,113620
University of Missouri,2008,30130
University of Missouri,2009,31237
University of Missouri,2010,32341
University of Missouri,2011,33762
University of Missouri,2012,34704
University of Missouri,2013,34616
University of Missouri,2014,35425
University of Missouri,2015,35424
University of Missouri,2016,33239
University of Missouri,2017,30844
University of Missouri,2018,29843
University of Missouri,2019,30014
University of Missouri,2020,31089
University of Missouri,2021,31401
University of Missouri,2022,31304
University of Missouri,2023,31013
University of Missouri Kansas City,2004,57024
University of Missouri Kansas City,2005,57240
University of Missouri Kansas City,2006,56852
University of Missouri Kansas City,2007,57768
University of Missouri Kansas City,2008,14481
University of Missouri Kansas City,2009,14799
University of Missouri Kansas City,2010,15259
University of Missouri Kansas City,2011,15473
University of Missouri Kansas City,2012,15990
University of Missouri Kansas City,2013,15718
University of Missouri Kansas City,2014,16146
University of Missouri Kansas City,2015,16685
University of Missouri Kansas City,2016,16936
University of Missouri Kansas City,2017,16372
University of Missouri Kansas City,2018,16375
University of Missouri Kansas City,2019,16388
University of Missouri Kansas City,2020,16147
University of Missouri Kansas City,2021,16003
University of Missouri Kansas City,2022,15703
University of Missouri Kansas City,2023,15277
University of Nebraska-Lincoln,2004,87168
University of Nebraska-Lincoln,2005,86700
University of Nebraska-Lincoln,2006,88424
University of Nebraska-Lincoln,2007,91892
University of Nebraska-Lincoln,2008,23573
University of Nebraska-Lincoln,2009,24100
University of Nebraska-Lincoln,2010,24610
University of Nebraska-Lincoln,2011,24593
University of Nebraska-Lincoln,2012,24207
University of Nebraska-Lincoln,2013,24445
University of Nebraska-Lincoln,2014,25006
University of Nebraska-Lincoln,2015,25260
University of Nebraska-Lincoln,2016,25897
University of Nebraska-Lincoln,2017,26079
University of Nebraska-Lincoln,2018,25820
University of Nebraska-Lincoln,2019,25390
University of Nebraska-Lincoln,2020,25108
University of Nebraska-Lincoln,2021,24431
University of Nebraska-Lincoln,2022,23805
University of Nebraska-Lincoln,2023,23986
University of Nevada Las Vegas,2004,109356
University of Nevada Las Vegas,2005,112536
University of Nevada Las Vegas,2006,111648
University of Nevada Las Vegas,2007,111840
University of Nevada Las Vegas,2008,28600
University of Nevada Las Vegas,2009,29080
University of Nevada Las Vegas,2010,28203
University of Nevada Las Vegas,2011,27364
University of Nevada Las Vegas,2012,27389
University of Nevada Las Vegas,2013,27848
University of Nevada Las Vegas,2014,28515
University of Nevada Las Vegas,2015,28600
University of Nevada Las Vegas,2016,29702
University of Nevada Las Vegas,2017,30471
University of Nevada Las Vegas,2018,30457
University of Nevada Las Vegas,2019,31171
University of Nevada Las Vegas,2020,31142
University of Nevada Las Vegas,2021,30679
University of Nevada Las Vegas,2022,30660
University of Nevada Las Vegas,2023,31094
University of Nevada Reno,2004,63800
University of Nevada Reno,2005,65344
University of Nevada Reno,2006,66652
University of Nevada Reno,2007,66724
University of Nevada Reno,2008,16867
University of Nevada Reno,2009,16875
University of Nevada Reno,2010,17680
University of Nevada Reno,2011,18004
University of Nevada Reno,2012,18227
University of Nevada Reno,2013,18776
University of Nevada Reno,2014,19934
University of Nevada Reno,2015,20898
University of Nevada Reno,2016,21353
University of Nevada Reno,2017,21657
University of Nevada Reno,2018,21463
University of Nevada Reno,2019,20993
University of Nevada Reno,2020,20722
University of Nevada Reno,2021,21034
University of Nevada Reno,2022,20945
University of Nevada Reno,2023,21778
University of New Hampshire,2004,57480
University of New Hampshire,2005,58044
University of New Hampshire,2006,59244
University of New Hampshire,2007,60020
University of New Hampshire,2008,14898
University of New Hampshire,2009,15253
University of New Hampshire,2010,15095
University of New Hampshire,2011,15128
University of New Hampshire,2012,15267
University of New Hampshire,2013,14913
University of New Hampshire,2014,15117
University of New Hampshire,2015,15351
University of New Hampshire,2016,15188
University of New Hampshire,2017,15363
University of New Hampshire,2018,15298
University of New Hampshire,2019,14788
University of New Hampshire,2020,14348
University of New Hampshire,2021,14001
University of New Hampshire,2022,13953
University of New Hampshire,2023,13626
University of New Mexico,2004,104968
University of New Mexico,2005,104688
University of New Mexico,2006,102884
University of New Mexico,2007,102688
University of New Mexico,2008,25754
University of New Mexico,2009,27241
University of New Mexico,2010,28688
University of New Mexico,2011,28977
University of New Mexico,2012,29033
University of New Mexico,2013,28592
University of New Mexico,2014,27844
University of New Mexico,2015,27285
University of New Mexico,2016,26999
University of New Mexico,2017,26221
University of New Mexico,2018,24319
University of New Mexico,2019,22729
University of New Mexico,2020,22311
University of New Mexico,2021,22139
University of New Mexico,2022,21953
University of New Mexico,2023,22700
University of North Carolina Chapel Hill,2004,107512
University of North Carolina Chapel Hill,2005,109104
University of North Carolina Chapel Hill,2006,110868
University of North Carolina Chapel Hill,2007,112544
University of North Carolina Chapel Hill,2008,28567
University of North Carolina Chapel Hill,2009,28916
University of North Carolina Chapel Hill,2010,29390
University of North Carolina Chapel Hill,2011,29137
University of North Carolina Chapel Hill,2012,29278
University of North Carolina Chapel Hill,2013,29127
University of North Carolina Chapel Hill,2014,29135
University of North Carolina Chapel Hill,2015,29084
University of North Carolina Chapel Hill,2016,29468
University of North Carolina Chapel Hill,2017,29911
University of North Carolina Chapel Hill,2018,30011
University of North Carolina Chapel Hill,2019,29877
University of North Carolina Chapel Hill,2020,30092
University of North Carolina Chapel Hill,2021,31641
University of North Carolina Chapel Hill,2022,31705
University of North Carolina Chapel Hill,2023,32234
University of North Carolina Charlotte,2004,79384
University of North Carolina Charlotte,2005,83088
University of North Carolina Charlotte,2006,86076
University of North Carolina Charlotte,2007,89552
University of North Carolina Charlotte,2008,23300
University of North Carolina Charlotte,2009,24701
University of North Carolina Charlotte,2010,25063
University of North Carolina Charlotte,2011,25277
University of North Carolina Charlotte,2012,26232
University of North Carolina Charlotte,2013,26571
University of North Carolina Charlotte,2014,27238
University of North Carolina Charlotte,2015,27983
University of North Carolina Charlotte,2016,28721
University of North Carolina Charlotte,2017,29317
University of North Carolina Charlotte,2018,29710
University of North Carolina Charlotte,2019,29615
University of North Carolina Charlotte,2020,30146
University of North Carolina Charlotte,2021,30448
University of North Carolina Charlotte,2022,29551
University of North Carolina Charlotte,2023,30298
University of North Dakota,2004,52748
University of North Dakota,2005,51816
University of North Dakota,2006,51336
University of North Dakota,2007,50236
University of North Dakota,2008,12748
University of North Dakota,2009,13172
University of North Dakota,2010,14194
University of North Dakota,2011,14697
University of North Dakota,2012,15250
University of North Dakota,2013,15143
University of North Dakota,2014,14906
University of North Dakota,2015,14951
University of North Dakota,2016,14648
University of North Dakota,2017,14406
University of North Dakota,2018,13847
University of North Dakota,2019,13581
University of North Dakota,2020,13615
University of North Dakota,2021,13772
University of North Dakota,2022,13876
University of North Dakota,2023,14172
University of North Texas,2004,124620
University of North Texas,2005,127832
University of North Texas,2006,133580
University of North Texas,2007,138840
University of North Texas,2008,34830
University of North Texas,2009,35003
University of North Texas,2010,36305
University of North Texas,2011,37818
University of North Texas,2012,37950
University of North Texas,2013,38315
University of North Texas,2014,36486
University of North Texas,2015,37299
University of North Texas,2016,38145
University of North Texas,2017,38276
University of North Texas,2018,38241
University of North Texas,2019,39336
University of North Texas,2020,40953
University of North Texas,2021,42441
University of North Texas,2022,44767
University of North Texas,2023,47507
University of Notre Dame,2004,45916
University of Notre Dame,2005,45668
University of Notre Dame,2006,46412
University of Notre Dame,2007,46932
University of Notre Dame,2008,11731
University of Notre Dame,2009,11816
University of Notre Dame,2010,11992
University of Notre Dame,2011,12004
University of Notre Dame,2012,12126
University of Notre Dame,2013,12124
University of Notre Dame,2014,12179
University of Notre Dame,2015,12292
University of Notre Dame,2016,12393
University of Notre Dame,2017,12467
University of Notre Dame,2018,12607
University of Notre Dame,2019,12683
University of Notre Dame,2020,12809
University of Notre Dame,2021,13139
University of Notre Dame,2022,13105
University of Notre Dame,2023,13174
University of Oklahoma,2004,109932
University of Oklahoma,2005,106024
University of Oklahoma,2006,103692
University of Oklahoma,2007,104272
University of Oklahoma,2008,26140
University of Oklahoma,2009,25881
University of Oklahoma,2010,26476
University of Oklahoma,2011,27138
University of Oklahoma,2012,27507
University of Oklahoma,2013,27292
University of Oklahoma,2014,27261
University of Oklahoma,2015,27428
University of Oklahoma,2016,27918
University of Oklahoma,2017,28527
University of Oklahoma,2018,28564
University of Oklahoma,2019,28079
University of Oklahoma,2020,27772
University of Oklahoma,2021,28042
University of Oklahoma,2022,28308
University of Oklahoma,2023,29145
University of Oregon,2004,81184
University of Oregon,2005,81388
University of Oregon,2006,81392
University of Oregon,2007,81328
University of Oregon,2008,21452
University of Oregon,2009,22335
University of Oregon,2010,23342
University of Oregon,2011,24396
University of Oregon,2012,24518
University of Oregon,2013,24473
University of Oregon,2014,24096
University of Oregon,2015,24032
University of Oregon,2016,23546
University of Oregon,2017,22887
University of Oregon,2018,22644
University of Oregon,2019,22517
University of Oregon,2020,21752
University of Oregon,2021,22257
University of Oregon,2022,23163
University of Oregon,2023,23786
University of Pennsylvania,2004,93220
University of Pennsylvania,2005,94816
University of Pennsylvania,2006,94972
University of Pennsylvania,2007,95920
University of Pennsylvania,2008,24107
University of Pennsylvania,2009,24599
University of Pennsylvania,2010,25007
University of Pennsylvania,2011,24832
University of Pennsylvania,2012,24725
University of Pennsylvania,2013,24630
University of Pennsylvania,2014,24806
University of Pennsylvania,2015,24876
University of Pennsylvania,2016,24960
University of Pennsylvania,2017,25367
University of Pennsylvania,2018,25860
University of Pennsylvania,2019,26675
University of Pennsylvania,2020,26552
University of Pennsylvania,2021,28038
University of Pennsylvania,2022,28201
University of Pennsylvania,2023,28711
University of Pittsburgh,2004,106924
University of Pittsburgh,2005,106236
University of Pittsburgh,2006,107440
University of Pittsburgh,2007,108080
University of Pittsburgh,2008,27562
University of Pittsburgh,2009,28328
University of Pittsburgh,2010,28823
University of Pittsburgh,2011,28766
University of Pittsburgh,2012,28769
University of Pittsburgh,2013,28649
University of Pittsburgh,2014,28617
University of Pittsburgh,2015,28649
University of Pittsburgh,2016,28664
University of Pittsburgh,2017,28642
University of Pittsburgh,2018,28673
University of Pittsburgh,2019,32686
University of Pittsburgh,2020,32277
University of Pittsburgh,2021,33230
University of Pittsburgh,2022,33767
University of Pittsburgh,2023,34525
University of Rhode Island,2004,58996
University of Rhode Island,2005,60380
University of Rhode Island,2006,60248
University of Rhode Island,2007,62600
University of Rhode Island,2008,15904
University of Rhode Island,2009,16389
University of Rhode Island,2010,16294
University of Rhode Island,2011,16317
University of Rhode Island,2012,16451
University of Rhode Island,2013,16387
University of Rhode Island,2014,16571
University of Rhode Island,2015,16613
University of Rhode Island,2016,17822
University of Rhode Island,2017,18089
University of Rhode Island,2018,17777
University of Rhode Island,2019,17465
University of Rhode Island,2020,17649
University of Rhode Island,2021,17511
University of Rhode Island,2022,17473
University of Rhode Island,2023,17351
University of Rochester,2004,33316
University of Rochester,2005,34352
University of Rochester,2006,35384
University of Rochester,2007,37336
University of Rochester,2008,9735
University of Rochester,2009,9506
University of Rochester,2010,10111
University of Rochester,2011,10290
University of Rochester,2012,10510
University of Rochester,2013,11020
University of Rochester,2014,11060
University of Rochester,2015,11105
University of Rochester,2016,11209
University of Rochester,2017,11648
University of Rochester,2018,11817
University of Rochester,2019,12233
University of Rochester,2020,11741
University of Rochester,2021,12039
University of Rochester,2022,12197
University of Rochester,2023,12160
University of South Carolina,2004,102384
University of South Carolina,2005,108260
University of South Carolina,2006,109560
University of South Carolina,2007,109088
University of South Carolina,2008,27488
University of South Carolina,2009,28482
University of South Carolina,2010,29599
University of South Carolina,2011,30721
University of South Carolina,2012,31288
University of South Carolina,2013,31964
University of South Carolina,2014,32971
University of South Carolina,2015,33724
University of South Carolina,2016,34099
University of South Carolina,2017,34731
University of South Carolina,2018,34795
University of South Carolina,2019,35364
University of South Carolina,2020,35470
University of South Carolina,2021,35471
University of South Carolina,2022,35653
University of South Carolina,2023,36579
University of South Florida,2004,168952
University of South Florida,2005,170640
University of South Florida,2006,174544
University of South Florida,2007,179480
University of South Florida,2008,46189
University of South Florida,2009,40022
University of South Florida,2010,40431
University of South Florida,2011,39596
University of South Florida,2012,41116
University of South Florida,2013,41428
University of South Florida,2014,41938
University of South Florida,2015,42067
University of South Florida,2016,42861
University of South Florida,2017,43540
University of South Florida,2018,43846
University of South Florida,2019,44246
University of South Florida,2020,50626
University of South Florida,2021,49708
University of South Florida,2022,49600
University of South Florida,2023,48572
University of Southern California,2004,128640
University of Southern California,2005,131344
University of Southern California,2006,133556
University of Southern California,2007,133632
University of Southern California,2008,33747
University of Southern California,2009,34824
University of Southern California,2010,36896
University of Southern California,2011,38010
University of Southern California,2012,39958
University of Southern California,2013,41368
University of Southern California,2014,42453
University of Southern California,2015,43401
University of Southern California,2016,43871
University of Southern California,2017,45687
University of Southern California,2018,47310
University of Southern California,2019,48321
University of Southern California,2020,46287
University of Southern California,2021,49318
University of Southern California,2022,48945
University of Southern California,2023,47147
University of Southern Mississippi,2004,61012
University of Southern Mississippi,2005,60120
University of Southern Mississippi,2006,59108
University of Southern Mississippi,2007,58368
University of Southern Mississippi,2008,14793
University of Southern Mississippi,2009,15300
University of Southern Mississippi,2010,15778
University of Southern Mississippi,2011,16604
University of Southern Mississippi,2012,16468
University of Southern Mississippi,2013,15249
University of Southern Mississippi,2014,14792
University of Southern Mississippi,2015,14551
University of Southern Mississippi,2016,14552
University of Southern Mississippi,2017,14478
University of Southern Mississippi,2018,14509
University of Southern Mississippi,2019,14133
University of Southern Mississippi,2020,14606
University of Southern Mississippi,2021,14146
University of Southern Mississippi,2022,13526
University of Southern Mississippi,2023,13110
University of Tennessee,2004,111168
University of Tennessee,2005,114048
University of Tennessee,2006,115604
University of Tennessee,2007,119748
University of Tennessee,2008,30410
University of Tennessee,2009,29934
University of Tennessee,2010,30300
University of Tennessee,2011,30194
University of Tennessee,2012,29833
University of Tennessee,2013,30030
University of Tennessee,2014,30386
University of Tennessee,2015,27845
University of Tennessee,2016,28052
University of Tennessee,2017,28321
University of Tennessee,2018,28894
University of Tennessee,2019,29460
University of Tennessee,2020,30559
University of Tennessee,2021,31701
University of Tennessee,2022,33805
University of Tennessee,2023,36304
University of Texas El Paso,2004,75672
University of Texas El Paso,2005,77072
University of Texas El Paso,2006,79368
University of Texas El Paso,2007,80616
University of Texas El Paso,2008,20458
University of Texas El Paso,2009,21011
University of Texas El Paso,2010,22106
University of Texas El Paso,2011,22640
University of Texas El Paso,2012,22749
University of Texas El Paso,2013,23003
University of Texas El Paso,2014,23079
University of Texas El Paso,2015,23397
University of Texas El Paso,2016,23922
University of Texas El Paso,2017,25078
University of Texas El Paso,2018,25151
University of Texas El Paso,2019,25177
University of Texas El Paso,2020,24879
University of Texas El Paso,2021,24003
University of Texas El Paso,2022,23880
University of Texas El Paso,2023,24351
University of Texas at Arlington,2004,101188
University of Texas at Arlington,2005,101728
University of Texas at Arlington,2006,99300
University of Texas at Arlington,2007,99556
University of Texas at Arlington,2008,25084
University of Texas at Arlington,2009,28085
University of Texas at Arlington,2010,32975
University of Texas at Arlington,2011,33439
University of Texas at Arlington,2012,33239
University of Texas at Arlington,2013,33329
University of Texas at Arlington,2014,39740
University of Texas at Arlington,2015,41988
University of Texas at Arlington,2016,45282
University of Texas at Arlington,2017,46497
University of Texas at Arlington,2018,47899
University of Texas at Arlington,2019,48635
University of Texas at Arlington,2020,48072
University of Texas at Arlington,2021,45949
University of Texas at Arlington,2022,43946
University of Texas at Arlington,2023,43992
University of Texas at Austin,2004,201508
University of Texas at Austin,2005,198784
University of Texas at Austin,2006,198788
University of Texas at Austin,2007,200680
University of Texas at Austin,2008,49984
University of Texas at Austin,2009,50995
University of Texas at Austin,2010,51195
University of Texas at Austin,2011,51112
University of Texas at Austin,2012,52186
University of Texas at Austin,2013,52059
University of Texas at Austin,2014,51313
University of Texas at Austin,2015,50950
University of Texas at Austin,2016,51331
University of Texas at Austin,2017,51525
University of Texas at Austin,2018,51832
University of Texas at Austin,2019,51090
University of Texas at Austin,2020,50476
University of Texas at Austin,2021,51991
University of Texas at Austin,2022,52384
University of Texas at Austin,2023,53082
University of Texas at Dallas,2004,56368
University of Texas at Dallas,2005,57920
University of Texas at Dallas,2006,58092
University of Texas at Dallas,2007,58224
University of Texas at Dallas,2008,14913
University of Texas at Dallas,2009,15783
University of Texas at Dallas,2010,17128
University of Texas at Dallas,2011,18864
University of Texas at Dallas,2012,19727
University of Texas at Dallas,2013,21193
University of Texas at Dallas,2014,23095
University of Texas at Dallas,2015,24554
University of Texas at Dallas,2016,26793
University of Texas at Dallas,2017,27642
University of Texas at Dallas,2018,28755
University of Texas at Dallas,2019,29543
University of Texas at Dallas,2020,28669
University of Texas at Dallas,2021,29696
University of Texas at Dallas,2022,31570
University of Texas at Dallas,2023,30885
University of Texas at San Antonio,2004,104700
University of Texas at San Antonio,2005,109348
University of Texas at San Antonio,2006,113516
University of Texas at San Antonio,2007,114132
University of Texas at San Antonio,2008,28413
University of Texas at San Antonio,2009,28955
University of Texas at San Antonio,2010,30258
University of Texas at San Antonio,2011,30968
University of Texas at San Antonio,2012,30474
University of Texas at San Antonio,2013,28623
University of Texas at San Antonio,2014,28628
University of Texas at San Antonio,2015,28787
University of Texas at San Antonio,2016,28959
University of Texas at San Antonio,2017,30768
University of Texas at San Antonio,2018,32264
University of Texas at San Antonio,2019,32594
University of Texas at San Antonio,2020,34742
University of Texas at San Antonio,2021,34734
University of Texas at San Antonio,2022,34393
University of Texas at San Antonio,2023,34864
University of Toledo,2004,77920
University of Toledo,2005,76804
University of Toledo,2006,77496
University of Toledo,2007,79068
University of Toledo,2008,22336
University of Toledo,2009,23064
University of Toledo,2010,23085
University of Toledo,2011,22610
University of Toledo,2012,21453
University of Toledo,2013,20743
University of Toledo,2014,20626
University of Toledo,2015,20377
University of Toledo,2016,20615
University of Toledo,2017,20579
University of Toledo,2018,20237
University of Toledo,2019,19694
University of Toledo,2020,18319
University of Toledo,2021,16979
University of Toledo,2022,15545
University of Toledo,2023,14939
University of Utah,2004,115732
University of Utah,2005,122232
University of Utah,2006,122044
University of Utah,2007,112100
University of Utah,2008,28211
University of Utah,2009,29284
University of Utah,2010,30819
University of Utah,2011,31660
University of Utah,2012,32388
University of Utah,2013,32077
University of Utah,2014,31515
University of Utah,2015,31592
University of Utah,2016,31860
University of Utah,2017,32800
University of Utah,2018,33023
University of Utah,2019,32852
University of Utah,2020,33081
University of Utah,2021,34464
University of Utah,2022,34734
University of Utah,2023,35260
University of Vermont,2004,43760
University of Vermont,2005,46388
University of Vermont,2006,47480
University of Vermont,2007,48956
University of Vermont,2008,12800
University of Vermont,2009,13391
University of Vermont,2010,13554
University of Vermont,2011,13478
University of Vermont,2012,13098
University of Vermont,2013,12723
University of Vermont,2014,12856
University of Vermont,2015,12815
University of Vermont,2016,13105
University of Vermont,2017,13340
University of Vermont,2018,13395
University of Vermont,2019,13548
University of Vermont,2020,13292
University of Vermont,2021,13826
University of Vermont,2022,14088
University of Vermont,2023,14320
University of Virginia,2004,93364
University of Virginia,2005,95060
University of Virginia,2006,96272
University of Virginia,2007,97028
University of Virginia,2008,24541
University of Virginia,2009,24355
University of Virginia,2010,24391
University of Virginia,2011,24297
University of Virginia,2012,23907
University of Virginia,2013,23464
University of Virginia,2014,23732
University of Virginia,2015,23883
University of Virginia,2016,23898
University of Virginia,2017,24360
University of Virginia,2018,24639
University of Virginia,2019,25012
University of Virginia,2020,25628
University of Virginia,2021,26005
University of Virginia,2022,26082
University of Virginia,2023,25924
University of Washington,2004,156796
University of Washington,2005,157004
University of Washington,2006,158096
University of Washington,2007,160872
University of Washington,2008,39675
University of Washington,2009,45943
University of Washington,2010,42451
University of Washington,2011,42444
University of Washington,2012,43485
University of Washington,2013,43762
University of Washington,2014,44784
University of Washington,2015,45408
University of Washington,2016,45591
University of Washington,2017,46166
University of Washington,2018,47400
University of Washington,2019,47576
University of Washington,2020,48149
University of Washington,2021,52434
University of Washington,2022,52319
University of Washington,2023,55620
University of Wisconsin Milwaukee,2004,107328
University of Wisconsin Milwaukee,2005,110008
University of Wisconsin Milwaukee,2006,113236
University of Wisconsin Milwaukee,2007,117352
University of Wisconsin Milwaukee,2008,29215
University of Wisconsin Milwaukee,2009,30418
University of Wisconsin Milwaukee,2010,30470
University of Wisconsin Milwaukee,2011,29350
University of Wisconsin Milwaukee,2012,28712
University of Wisconsin Milwaukee,2013,27416
University of Wisconsin Milwaukee,2014,27596
University of Wisconsin Milwaukee,2015,26726
University of Wisconsin Milwaukee,2016,25601
University of Wisconsin Milwaukee,2017,24988
University of Wisconsin Milwaukee,2018,27012
University of Wisconsin Milwaukee,2019,25731
University of Wisconsin Milwaukee,2020,24565
University of Wisconsin Milwaukee,2021,23829
University of Wisconsin Milwaukee,2022,22676
University of Wisconsin Milwaukee,2023,22481
University of Wisconsin-Madison,2004,161820
University of Wisconsin-Madison,2005,163172
University of Wisconsin-Madison,2006,164112
University of Wisconsin-Madison,2007,166252
University of Wisconsin-Madison,2008,41620
University of Wisconsin-Madison,2009,41654
University of Wisconsin-Madison,2010,42180
University of Wisconsin-Madison,2011,41946
University of Wisconsin-Madison,2012,42269
University of Wisconsin-Madison,2013,42677
University of Wisconsin-Madison,2014,42598
University of Wisconsin-Madison,2015,42716
University of Wisconsin-Madison,2016,42582
University of Wisconsin-Madison,2017,42977
University of Wisconsin-Madison,2018,43463
University of Wisconsin-Madison,2019,44257
University of Wisconsin-Madison,2020,44640
University of Wisconsin-Madison,2021,47016
University of Wisconsin-Madison,2022,48956
University of Wisconsin-Madison,2023,49605
University of Wyoming,2004,52828
University of Wyoming,2005,52504
University of Wyoming,2006,52812
University of Wyoming,2007,51500
University of Wyoming,2008,12067
University of Wyoming,2009,12427
University of Wyoming,2010,12911
University of Wyoming,2011,12925
University of Wyoming,2012,12903
University of Wyoming,2013,12778
University of Wyoming,2014,12820
University of Wyoming,2015,12648
University of Wyoming,2016,12366
University of Wyoming,2017,12397
University of Wyoming,2018,12450
University of Wyoming,2019,12249
University of Wyoming,2020,11829
University of Wyoming,2021,11479
University of Wyoming,2022,11100
University of Wyoming,2023,10913
Utah State University,2004,64520
Utah State University,2005,57832
Utah State University,2006,57776
Utah State University,2007,59572
Utah State University,2008,15099
Utah State University,2009,15612
Utah State University,2010,16472
Utah State University,2011,26757
Utah State University,2012,28786
Utah State University,2013,27812
Utah State University,2014,27662
Utah State University,2015,28622
Utah State University,2016,28118
Utah State University,2017,27679
Utah State University,2018,27932
Utah State University,2019,27810
Utah State University,2020,27691
Utah State University,2021,27426
Utah State University,2022,27943
Utah State University,2023,28063
Vanderbilt University,2004,45176
Vanderbilt University,2005,45916
Vanderbilt University,2006,46428
Vanderbilt University,2007,47388
Vanderbilt University,2008,12093
Vanderbilt University,2009,12506
Vanderbilt University,2010,12714
Vanderbilt University,2011,12836
Vanderbilt University,2012,12710
Vanderbilt University,2013,12757
Vanderbilt University,2014,12686
Vanderbilt University,2015,12567
Vanderbilt University,2016,12587
Vanderbilt University,2017,12592
Vanderbilt University,2018,12824
Vanderbilt University,2019,13131
Vanderbilt University,2020,13537
Vanderbilt University,2021,13796
Vanderbilt University,2022,13710
Vanderbilt University,2023,13456
Virginia Commonwealth University,2004,113212
Virginia Commonwealth University,2005,116672
Virginia Commonwealth University,2006,120756
Virginia Commonwealth University,2007,126800
Virginia Commonwealth University,2008,32044
Virginia Commonwealth University,2009,32172
Virginia Commonwealth University,2010,32027
Virginia Commonwealth University,2011,31627
Virginia Commonwealth University,2012,31445
Virginia Commonwealth University,2013,30974
Virginia Commonwealth University,2014,30848
Virginia Commonwealth University,2015,30918
Virginia Commonwealth University,2016,30872
Virginia Commonwealth University,2017,30675
Virginia Commonwealth University,2018,30697
Virginia Commonwealth University,2019,29757
Virginia Commonwealth University,2020,29070
Virginia Commonwealth University,2021,28594
Virginia Commonwealth University,2022,28082
Virginia Commonwealth University,2023,28238
Virginia Tech,2004,110476
Virginia Tech,2005,111916
Virginia Tech,2006,113880
Virginia Tech,2007,119592
Virginia Tech,2008,30739
Virginia Tech,2009,30870
Virginia Tech,2010,31006
Virginia Tech,2011,30936
Virginia Tech,2012,31087
Virginia Tech,2013,31205
Virginia Tech,2014,31224
Virginia Tech,2015,32663
Virginia Tech,2016,33170
Virginia Tech,2017,34440
Virginia Tech,2018,34683
Virginia Tech,2019,36383
Virginia Tech,2020,37024
Virginia Tech,2021,37279
Virginia Tech,2022,38170
Virginia Tech,2023,38294
Washington State University,2004,92964
Washington State University,2005,94176
Washington State University,2006,94620
Washington State University,2007,97584
Washington State University,2008,25352
Washington State University,2009,26101
Washington State University,2010,26308
Washington State University,2011,27329
Washington State University,2012,27679
Washington State University,2013,27642
Washington State University,2014,28686
Washington State University,2015,29686
Washington State University,2016,30142
Washington State University,2017,30614
Washington State University,2018,31478
Washington State University,2019,31607
Washington State University,2020,31159
Washington State University,2021,29843
Washington State University,2022,27539
Washington State University,2023,26490
Washington University in St. Louis,2004,52840
Washington University in St. Louis,2005,53532
Washington University in St. Louis,2006,53420
Washington University in St. Louis,2007,53528
Washington University in St. Louis,2008,13339
Washington University in St. Louis,2009,13575
Washington University in St. Louis,2010,13820
Washington University in St. Louis,2011,13908
Washington University in St. Louis,2012,13952
Washington University in St. Louis,2013,14032
Washington University in St. Louis,2014,14348
Washington University in St. Louis,2015,14688
Washington University in St. Louis,2016,15047
Washington University in St. Louis,2017,15303
Washington University in St. Louis,2018,15852
Washington University in St. Louis,2019,16191
Washington University in St. Louis,2020,15449
Washington University in St. Louis,2021,16973
Washington University in St. Louis,2022,17012
Washington University in St. Louis,2023,16500
Wayne State University,2004,129544
Wayne State University,2005,128640
Wayne State University,2006,128244
Wayne State University,2007,129520
Wayne State University,2008,31024
Wayne State University,2009,31786
Wayne State University,2010,31505
Wayne State University,2011,30765
Wayne State University,2012,28938
Wayne State University,2013,27897
Wayne State University,2014,27578
Wayne State University,2015,27140
Wayne State University,2016,27238
Wayne State University,2017,27064
Wayne State University,2018,27025
Wayne State University,2019,26824
Wayne State University,2020,26241
Wayne State University,2021,24919
Wayne State University,2022,23630
Wayne State University,2023,23553
West Virginia University,2004,101020
West Virginia University,2005,104204
West Virginia University,2006,108460
West Virginia University,2007,112452
West Virginia University,2008,28840
West Virginia University,2009,28898
West Virginia University,2010,29306
West Virginia University,2011,29617
West Virginia University,2012,29707
West Virginia University,2013,29466
West Virginia University,2014,29175
West Virginia University,2015,28776
West Virginia University,2016,28488
West Virginia University,2017,28406
West Virginia University,2018,26864
West Virginia University,2019,26839
West Virginia University,2020,26269
West Virginia University,2021,25474
West Virginia University,2022,24741
West Virginia University,2023,24200
Worcester Polytechnic Institute,2004,15268
Worcester Polytechnic Institute,2005,15668
Worcester Polytechnic Institute,2006,15672
Worcester Polytechnic Institute,2007,16632
Worcester Polytechnic Institute,2008,4556
Worcester Polytechnic Institute,2009,4961
Worcester Polytechnic Institute,2010,5360
Worcester Polytechnic Institute,2011,5778
Worcester Polytechnic Institute,2012,5957
Worcester Polytechnic Institute,2013,6296
Worcester Polytechnic Institute,2014,6381
Worcester Polytechnic Institute,2015,6573
Worcester Polytechnic Institute,2016,6642
Worcester Polytechnic Institute,2017,6642
Worcester Polytechnic Institute,2018,6874
Worcester Polytechnic Institute,2019,6894
Worcester Polytechnic Institute,2020,6920
Worcester Polytechnic Institute,2021,7230
