vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,22,2,0.0909091,0.0252949,0.278154,-0.657502,-0.471941,"[-0.6575, -0.4719)",-0.531033,-0.524044,coarse,False,True
1,2,108,26,0.240741,0.169911,0.329381,-0.471941,-0.28638,"[-0.4719, -0.2864)",-0.35288,-0.346472,coarse,False,False
2,3,287,60,0.209059,0.16601,0.259794,-0.28638,-0.100819,"[-0.2864, -0.1008)",-0.183396,-0.178254,coarse,False,False
3,4,437,93,0.212815,0.177027,0.253607,-0.100819,0.0847416,"[-0.1008, 0.08474)",-0.000605501,0.00374731,coarse,False,False
4,5,158,52,0.329114,0.260662,0.405679,0.0847416,0.152302,"[0.08474, 0.1523)",0.115292,0.113908,fine_tail,True,False
5,6,173,47,0.271676,0.210887,0.342386,0.152302,0.219862,"[0.1523, 0.2199)",0.184858,0.183863,fine_tail,True,False
6,7,134,35,0.261194,0.194213,0.341486,0.219862,0.287423,"[0.2199, 0.2874)",0.257014,0.261515,fine_tail,True,False
7,8,111,31,0.279279,0.204275,0.36905,0.287423,0.354983,"[0.2874, 0.355)",0.318512,0.316349,fine_tail,True,False
8,9,93,21,0.225806,0.1527,0.320666,0.354983,0.422543,"[0.355, 0.4225)",0.386319,0.384387,fine_tail,True,False
9,10,74,14,0.189189,0.116179,0.292878,0.422543,0.490104,"[0.4225, 0.4901)",0.448054,0.445443,fine_tail,True,False
10,11,45,8,0.177778,0.0929428,0.313301,0.490104,0.557664,"[0.4901, 0.5577)",0.523596,0.524477,fine_tail,True,False
11,12,46,18,0.391304,0.26393,0.535434,0.557664,0.625224,"[0.5577, 0.6252)",0.591928,0.594647,fine_tail,True,False
12,13,10,4,0.4,0.168178,0.68733,0.625224,0.692785,"[0.6252, 0.6928)",0.669062,0.673223,fine_tail,True,True
13,14,7,0,0,0,0.354339,0.692785,0.760345,"[0.6928, 0.7603)",0.747958,0.760345,fine_tail,True,True
