vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,4,1,0.25,0.0455861,0.699364,-0.47623,-0.416077,"[-0.4762, -0.4161)",-0.439872,-0.431793,coarse,False,True
1,2,9,4,0.444444,0.188775,0.733353,-0.416077,-0.355924,"[-0.4161, -0.3559)",-0.386202,-0.385412,coarse,False,True
2,3,7,2,0.285714,0.0822172,0.641071,-0.355924,-0.295771,"[-0.3559, -0.2958)",-0.319783,-0.321979,coarse,False,True
3,4,20,6,0.3,0.145475,0.518977,-0.295771,-0.235618,"[-0.2958, -0.2356)",-0.259096,-0.256966,coarse,False,True
4,5,12,4,0.333333,0.138118,0.609382,-0.235618,-0.175465,"[-0.2356, -0.1755)",-0.192357,-0.188189,coarse,False,True
5,6,21,6,0.285714,0.138137,0.499568,-0.175465,-0.115312,"[-0.1755, -0.1153)",-0.139727,-0.141077,coarse,False,True
6,7,28,7,0.25,0.126763,0.43356,-0.115312,-0.0551587,"[-0.1153, -0.05516)",-0.0826779,-0.0782152,coarse,False,True
7,8,38,13,0.342105,0.212122,0.501082,-0.0551587,0.00499428,"[-0.05516, 0.004994)",-0.0240764,-0.0238569,coarse,False,False
8,9,27,12,0.444444,0.275856,0.626873,0.00499428,0.0651473,"[0.004994, 0.06515)",0.0356339,0.0381609,coarse,False,True
9,10,47,15,0.319149,0.203952,0.461676,0.0651473,0.1253,"[0.06515, 0.1253)",0.0975038,0.0926099,coarse,False,False
10,11,34,17,0.5,0.340691,0.659309,0.1253,0.188261,"[0.1253, 0.1883)",0.155806,0.15398,fine_tail,True,False
11,12,45,16,0.355556,0.232189,0.501645,0.188261,0.251221,"[0.1883, 0.2512)",0.213636,0.214947,fine_tail,True,False
12,13,34,12,0.352941,0.214877,0.520863,0.251221,0.314181,"[0.2512, 0.3142)",0.280187,0.276889,fine_tail,True,False
13,14,26,9,0.346154,0.19412,0.537798,0.314181,0.377141,"[0.3142, 0.3771)",0.348739,0.346884,fine_tail,True,True
14,15,25,9,0.36,0.202477,0.554818,0.377141,0.440101,"[0.3771, 0.4401)",0.410885,0.40899,fine_tail,True,True
15,16,16,3,0.1875,0.0659148,0.430094,0.440101,0.503062,"[0.4401, 0.5031)",0.470932,0.467468,fine_tail,True,True
16,17,12,3,0.25,0.08894,0.53231,0.503062,0.566022,"[0.5031, 0.566)",0.538813,0.544839,fine_tail,True,True
17,18,13,3,0.230769,0.0817938,0.502569,0.566022,0.628982,"[0.566, 0.629)",0.589436,0.584658,fine_tail,True,True
18,19,4,1,0.25,0.0455861,0.699364,0.628982,0.691942,"[0.629, 0.6919)",0.652924,0.642598,fine_tail,True,True
19,20,3,0,0,0,0.561506,0.691942,0.754902,"[0.6919, 0.7549)",0.745139,0.754902,fine_tail,True,True
