vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,18,7,0.388889,0.20305,0.613813,-0.486872,-0.33162,"[-0.4869, -0.3316)",-0.390375,-0.395257,coarse,False,True
1,2,36,11,0.305556,0.180043,0.468566,-0.33162,-0.176369,"[-0.3316, -0.1764)",-0.252914,-0.257757,coarse,False,False
2,3,72,20,0.277778,0.187601,0.390467,-0.176369,-0.0211177,"[-0.1764, -0.02112)",-0.0892218,-0.0884221,coarse,False,False
3,4,83,31,0.373494,0.277195,0.480985,-0.0211177,0.134134,"[-0.02112, 0.1341)",0.0632068,0.0700039,coarse,False,False
4,5,46,21,0.456522,0.321545,0.598201,0.134134,0.197261,"[0.1341, 0.1973)",0.171853,0.175414,fine_tail,True,False
5,6,36,11,0.305556,0.180043,0.468566,0.197261,0.260388,"[0.1973, 0.2604)",0.226749,0.219477,fine_tail,True,False
6,7,33,12,0.363636,0.22187,0.533841,0.260388,0.323515,"[0.2604, 0.3235)",0.287201,0.286192,fine_tail,True,False
7,8,22,7,0.318182,0.163604,0.526818,0.323515,0.386642,"[0.3235, 0.3866)",0.347058,0.347571,fine_tail,True,True
8,9,25,7,0.28,0.142837,0.47577,0.386642,0.449769,"[0.3866, 0.4498)",0.414661,0.416413,fine_tail,True,True
9,10,17,3,0.176471,0.0619101,0.410299,0.449769,0.512896,"[0.4498, 0.5129)",0.481832,0.47872,fine_tail,True,True
10,11,9,5,0.555556,0.266647,0.811225,0.512896,0.576023,"[0.5129, 0.576)",0.551335,0.548359,fine_tail,True,True
11,12,14,4,0.285714,0.117212,0.546495,0.576023,0.63915,"[0.576, 0.6391)",0.599234,0.601737,fine_tail,True,True
12,13,3,1,0.333333,0.0614903,0.792345,0.63915,0.702277,"[0.6391, 0.7023)",0.689917,0.693526,fine_tail,True,True
13,14,3,0,0,0,0.561506,0.702277,0.765404,"[0.7023, 0.7654)",0.751075,0.765404,fine_tail,True,True
