vent,bin_display,n,drafts,draft_rate,T_apgms_min,T_apgms_max,x_interval,x_median,x_mean
0,1,1276,105,0.0822884,11.7118,14.1806,"[11.71, 14.18]",13.7284,13.5946
1,2,1275,91,0.0713725,14.1806,14.7302,"[14.18, 14.73]",14.4634,14.4578
2,3,1275,76,0.0596078,14.7302,15.1495,"[14.73, 15.15]",14.9834,14.9651
3,4,1276,71,0.0556426,15.1495,15.4843,"[15.15, 15.48]",15.3085,15.3194
4,5,1275,60,0.0470588,15.4843,15.7775,"[15.48, 15.78]",15.6435,15.6359
5,6,1275,56,0.0439216,15.7775,16.095,"[15.78, 16.09]",15.9402,15.9311
6,7,1276,73,0.05721,16.095,16.362,"[16.09, 16.36]",16.2356,16.2373
7,8,1275,71,0.0556863,16.362,16.6321,"[16.36, 16.63]",16.4968,16.4907
8,9,1275,65,0.0509804,16.6321,16.888,"[16.63, 16.89]",16.7816,16.7736
9,10,1276,77,0.0603448,16.888,17.2725,"[16.89, 17.27]",17.0903,17.0803
10,11,1275,62,0.0486275,17.2725,17.6007,"[17.27, 17.6]",17.4507,17.4455
11,12,1275,64,0.0501961,17.6007,17.9369,"[17.6, 17.94]",17.7465,17.7572
12,13,1276,64,0.0501567,17.9369,18.3589,"[17.94, 18.36]",18.1276,18.1407
13,14,1275,69,0.0541176,18.3654,18.9537,"[18.37, 18.95]",18.616,18.6352
14,15,1275,67,0.052549,18.9537,19.6601,"[18.95, 19.66]",19.267,19.2907
15,16,1275,64,0.0501961,19.6788,23.8168,"[19.68, 23.82]",20.4226,20.6879
