vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,20,7,0.35,0.18119,0.567149,-0.667163,-0.478094,"[-0.6672, -0.4781)",-0.531295,-0.510561,coarse,False,True
1,2,113,21,0.185841,0.124886,0.267454,-0.478094,-0.289024,"[-0.4781, -0.289)",-0.359242,-0.351106,coarse,False,False
2,3,316,70,0.221519,0.17923,0.270498,-0.289024,-0.0999554,"[-0.289, -0.09996)",-0.182385,-0.175298,coarse,False,False
3,4,535,122,0.228037,0.194497,0.265456,-0.0999554,0.0891137,"[-0.09996, 0.08911)",0.00444824,0.00780086,coarse,False,False
4,5,228,44,0.192982,0.147016,0.249123,0.0891137,0.173199,"[0.08911, 0.1732)",0.12769,0.123816,fine_tail,True,False
5,6,246,53,0.215447,0.168654,0.270991,0.173199,0.257284,"[0.1732, 0.2573)",0.216835,0.219843,fine_tail,True,False
6,7,153,27,0.176471,0.124209,0.244581,0.257284,0.341369,"[0.2573, 0.3414)",0.298162,0.298091,fine_tail,True,False
7,8,131,33,0.251908,0.185364,0.332589,0.341369,0.425454,"[0.3414, 0.4255)",0.382359,0.37823,fine_tail,True,False
8,9,126,19,0.150794,0.0987117,0.223539,0.425454,0.509539,"[0.4255, 0.5095)",0.457749,0.45118,fine_tail,True,False
9,10,57,4,0.0701754,0.027626,0.167004,0.509539,0.593624,"[0.5095, 0.5936)",0.547828,0.550552,fine_tail,True,False
10,11,20,1,0.05,0.00888122,0.236136,0.593624,0.677709,"[0.5936, 0.6777)",0.632973,0.633189,fine_tail,True,True
11,12,12,1,0.0833333,0.0148647,0.353886,0.677709,0.761794,"[0.6777, 0.7618)",0.712743,0.717039,fine_tail,True,True
12,13,7,0,0,0,0.354339,0.761794,0.845879,"[0.7618, 0.8459)",0.831578,0.84235,fine_tail,True,True
13,14,3,0,0,0,0.561506,0.845879,0.929964,"[0.8459, 0.93)",0.929964,0.929964,fine_tail,True,True
