vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,13,5,0.384615,0.177094,0.644775,-0.47623,-0.355924,"[-0.4762, -0.3559)",-0.402716,-0.388962,coarse,False,True
1,2,27,8,0.296296,0.158529,0.48481,-0.355924,-0.235618,"[-0.3559, -0.2356)",-0.274829,-0.270748,coarse,False,True
2,3,33,10,0.30303,0.173753,0.473385,-0.235618,-0.115312,"[-0.2356, -0.1153)",-0.158865,-0.153938,coarse,False,False
3,4,66,20,0.30303,0.205539,0.42219,-0.115312,0.00499428,"[-0.1153, 0.004994)",-0.0489376,-0.0455412,coarse,False,False
4,5,74,27,0.364865,0.264384,0.478684,0.00499428,0.1253,"[0.004994, 0.1253)",0.0749297,0.0798738,coarse,False,False
5,6,34,17,0.5,0.340691,0.659309,0.1253,0.188261,"[0.1253, 0.1883)",0.155806,0.15398,fine_tail,True,False
6,7,45,16,0.355556,0.232189,0.501645,0.188261,0.251221,"[0.1883, 0.2512)",0.213636,0.214947,fine_tail,True,False
7,8,34,12,0.352941,0.214877,0.520863,0.251221,0.314181,"[0.2512, 0.3142)",0.280187,0.276889,fine_tail,True,False
8,9,26,9,0.346154,0.19412,0.537798,0.314181,0.377141,"[0.3142, 0.3771)",0.348739,0.346884,fine_tail,True,True
9,10,25,9,0.36,0.202477,0.554818,0.377141,0.440101,"[0.3771, 0.4401)",0.410885,0.40899,fine_tail,True,True
10,11,16,3,0.1875,0.0659148,0.430094,0.440101,0.503062,"[0.4401, 0.5031)",0.470932,0.467468,fine_tail,True,True
11,12,12,3,0.25,0.08894,0.53231,0.503062,0.566022,"[0.5031, 0.566)",0.538813,0.544839,fine_tail,True,True
12,13,13,3,0.230769,0.0817938,0.502569,0.566022,0.628982,"[0.566, 0.629)",0.589436,0.584658,fine_tail,True,True
13,14,4,1,0.25,0.0455861,0.699364,0.628982,0.691942,"[0.629, 0.6919)",0.652924,0.642598,fine_tail,True,True
14,15,3,0,0,0,0.561506,0.691942,0.754902,"[0.6919, 0.7549)",0.745139,0.754902,fine_tail,True,True
