vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,12,1,0.0833333,0.0148647,0.353886,-0.761115,-0.552767,"[-0.7611, -0.5528)",-0.623094,-0.605384,coarse,False,True
1,2,105,19,0.180952,0.119016,0.265411,-0.552767,-0.344419,"[-0.5528, -0.3444)",-0.4088,-0.390331,coarse,False,False
2,3,437,90,0.20595,0.170675,0.246349,-0.344419,-0.136071,"[-0.3444, -0.1361)",-0.223963,-0.213171,coarse,False,False
3,4,774,150,0.193798,0.167491,0.22313,-0.136071,0.0722765,"[-0.1361, 0.07228)",-0.0278171,-0.0270886,coarse,False,False
4,5,292,62,0.212329,0.169313,0.262816,0.0722765,0.140539,"[0.07228, 0.1405)",0.105978,0.10628,fine_tail,True,False
5,6,250,71,0.284,0.231699,0.342839,0.140539,0.208802,"[0.1405, 0.2088)",0.175212,0.174561,fine_tail,True,False
6,7,209,35,0.167464,0.122945,0.223988,0.208802,0.277064,"[0.2088, 0.2771)",0.240304,0.23858,fine_tail,True,False
7,8,171,41,0.239766,0.181941,0.309027,0.277064,0.345327,"[0.2771, 0.3453)",0.312573,0.312799,fine_tail,True,False
8,9,128,28,0.21875,0.155904,0.297986,0.345327,0.413589,"[0.3453, 0.4136)",0.379251,0.378672,fine_tail,True,False
9,10,119,20,0.168067,0.111512,0.245383,0.413589,0.481852,"[0.4136, 0.4819)",0.443253,0.439015,fine_tail,True,False
10,11,80,18,0.225,0.147331,0.32787,0.481852,0.550115,"[0.4819, 0.5501)",0.516751,0.518817,fine_tail,True,False
11,12,49,11,0.22449,0.130248,0.358791,0.550115,0.618377,"[0.5501, 0.6184)",0.577157,0.569727,fine_tail,True,False
12,13,14,4,0.285714,0.117212,0.546495,0.618377,0.68664,"[0.6184, 0.6866)",0.64537,0.640684,fine_tail,True,True
13,14,9,0,0,0,0.299153,0.68664,0.754902,"[0.6866, 0.7549)",0.741885,0.754902,fine_tail,True,True
