vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,15,6,0.4,0.198242,0.642536,-0.47623,-0.325847,"[-0.4762, -0.3258)",-0.393186,-0.388263,coarse,False,True
1,2,37,11,0.297297,0.174893,0.457834,-0.325847,-0.175465,"[-0.3258, -0.1755)",-0.245032,-0.242907,coarse,False,False
2,3,68,20,0.294118,0.199189,0.411065,-0.175465,-0.0250822,"[-0.1755, -0.02508)",-0.0881637,-0.0817123,coarse,False,False
3,4,93,33,0.354839,0.265127,0.456067,-0.0250822,0.1253,"[-0.02508, 0.1253)",0.0578039,0.0689211,coarse,False,False
4,5,34,17,0.5,0.340691,0.659309,0.1253,0.188261,"[0.1253, 0.1883)",0.155806,0.15398,fine_tail,True,False
5,6,45,16,0.355556,0.232189,0.501645,0.188261,0.251221,"[0.1883, 0.2512)",0.213636,0.214947,fine_tail,True,False
6,7,34,12,0.352941,0.214877,0.520863,0.251221,0.314181,"[0.2512, 0.3142)",0.280187,0.276889,fine_tail,True,False
7,8,26,9,0.346154,0.19412,0.537798,0.314181,0.377141,"[0.3142, 0.3771)",0.348739,0.346884,fine_tail,True,True
8,9,25,9,0.36,0.202477,0.554818,0.377141,0.440101,"[0.3771, 0.4401)",0.410885,0.40899,fine_tail,True,True
9,10,16,3,0.1875,0.0659148,0.430094,0.440101,0.503062,"[0.4401, 0.5031)",0.470932,0.467468,fine_tail,True,True
10,11,12,3,0.25,0.08894,0.53231,0.503062,0.566022,"[0.5031, 0.566)",0.538813,0.544839,fine_tail,True,True
11,12,13,3,0.230769,0.0817938,0.502569,0.566022,0.628982,"[0.566, 0.629)",0.589436,0.584658,fine_tail,True,True
12,13,4,1,0.25,0.0455861,0.699364,0.628982,0.691942,"[0.629, 0.6919)",0.652924,0.642598,fine_tail,True,True
13,14,3,0,0,0,0.561506,0.691942,0.754902,"[0.6919, 0.7549)",0.745139,0.754902,fine_tail,True,True
