vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,11,1,0.0909091,0.0162318,0.377365,-0.688693,-0.493411,"[-0.6887, -0.4934)",-0.570183,-0.533324,coarse,False,True
1,2,82,19,0.231707,0.153653,0.333775,-0.493411,-0.298129,"[-0.4934, -0.2981)",-0.36797,-0.357257,coarse,False,False
2,3,231,52,0.225108,0.175998,0.283212,-0.298129,-0.102847,"[-0.2981, -0.1028)",-0.185353,-0.176087,coarse,False,False
3,4,384,93,0.242188,0.202028,0.287454,-0.102847,0.0924356,"[-0.1028, 0.09244)",0.000638499,-0.00261926,coarse,False,False
4,5,136,46,0.338235,0.264138,0.42122,0.0924356,0.158682,"[0.09244, 0.1587)",0.122972,0.118907,fine_tail,True,False
5,6,138,38,0.275362,0.207682,0.355211,0.158682,0.224929,"[0.1587, 0.2249)",0.194268,0.196508,fine_tail,True,False
6,7,110,28,0.254545,0.182381,0.343276,0.224929,0.291176,"[0.2249, 0.2912)",0.25835,0.261935,fine_tail,True,False
7,8,79,25,0.316456,0.224451,0.425483,0.291176,0.357422,"[0.2912, 0.3574)",0.32219,0.319464,fine_tail,True,False
8,9,76,22,0.289474,0.199609,0.399598,0.357422,0.423669,"[0.3574, 0.4237)",0.385381,0.381521,fine_tail,True,False
9,10,65,12,0.184615,0.108888,0.295542,0.423669,0.489916,"[0.4237, 0.4899)",0.448438,0.445248,fine_tail,True,False
10,11,55,13,0.236364,0.143665,0.363486,0.489916,0.556162,"[0.4899, 0.5562)",0.523697,0.528247,fine_tail,True,False
11,12,33,6,0.181818,0.0861065,0.343886,0.556162,0.622409,"[0.5562, 0.6224)",0.583507,0.580425,fine_tail,True,False
12,13,8,2,0.25,0.0714777,0.59073,0.622409,0.688656,"[0.6224, 0.6887)",0.652924,0.642598,fine_tail,True,True
13,14,5,0,0,0,0.434491,0.688656,0.754902,"[0.6887, 0.7549)",0.749044,0.754902,fine_tail,True,True
