row_type,draft_mass_pct,z_cut,n_drafted_at_or_below,n_drafted_total,panel_top_pct,panel_pct_floor,draft_mass_below_pct,n_drafts_below,n_drafts_total,band,top_lo,top_hi,z_cut_outer,z_cut_inner,band_n,band_drafts,draft_share_of_total_pct,band_draft_rate
draft_mass,5,-0.433101,57,1133,,,,,,,,,,,,,,
draft_mass,10,-0.12815,114,1133,,,,,,,,,,,,,,
draft_mass,15,0.107192,170,1133,,,,,,,,,,,,,,
draft_mass,20,0.242578,227,1133,,,,,,,,,,,,,,
draft_mass,25,0.406996,284,1133,,,,,,,,,,,,,,
draft_mass,30,0.543783,340,1133,,,,,,,,,,,,,,
draft_mass,35,0.665436,397,1133,,,,,,,,,,,,,,
draft_mass,40,0.766549,453,1133,,,,,,,,,,,,,,
draft_mass,45,0.880332,510,1133,,,,,,,,,,,,,,
draft_mass,50,1.00183,567,1133,,,,,,,,,,,,,,
draft_mass,55,1.11191,623,1133,,,,,,,,,,,,,,
draft_mass,60,1.20467,680,1133,,,,,,,,,,,,,,
draft_mass,65,1.34189,736,1133,,,,,,,,,,,,,,
draft_mass,70,1.46739,793,1133,,,,,,,,,,,,,,
draft_mass,75,1.6419,850,1133,,,,,,,,,,,,,,
draft_mass,80,1.77653,906,1133,,,,,,,,,,,,,,
draft_mass,85,1.95846,963,1133,,,,,,,,,,,,,,
draft_mass,90,2.19044,1019,1133,,,,,,,,,,,,,,
draft_mass,95,2.4967,1076,1133,,,,,,,,,,,,,,
panel_top_cut,,1.49356,,,7,93,70.8738,803,1133,,,,,,,,,
panel_top_cut,,1.0407,,,15,85,51.4563,583,1133,,,,,,,,,
panel_top_cut,,0.661561,,,25,75,34.5984,392,1133,,,,,,,,,
panel_top_cut,,0.216647,,,40,60,19.5057,221,1133,,,,,,,,,
overlay_band,,,,,,,,,,top 7%,0,7,1.49356,,1237,330,29.1262,0.266774
overlay_band,,,,,,,,,,top 7–15%,7,15,1.0407,1.49356,1412,220,19.4175,0.155807
overlay_band,,,,,,,,,,top 15–25%,15,25,0.661561,1.0407,1766,191,16.8579,0.108154
overlay_band,,,,,,,,,,top 25–40%,25,40,0.216647,0.661561,2649,171,15.0927,0.0645527
