vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,18,1,0.0555556,0.00987494,0.257578,-0.761115,-0.554326,"[-0.7611, -0.5543)",-0.619339,-0.596688,coarse,False,True
1,2,136,21,0.154412,0.103267,0.224544,-0.554326,-0.347537,"[-0.5543, -0.3475)",-0.412474,-0.397272,coarse,False,False
2,3,597,107,0.179229,0.150543,0.212017,-0.347537,-0.140749,"[-0.3475, -0.1407)",-0.227142,-0.215759,coarse,False,False
3,4,1015,170,0.167488,0.145778,0.191705,-0.140749,0.0660401,"[-0.1407, 0.06604)",-0.0352788,-0.0311224,coarse,False,False
4,5,427,74,0.173302,0.140355,0.212075,0.0660401,0.134926,"[0.06604, 0.1349)",0.0986702,0.0975082,fine_tail,True,False
5,6,315,79,0.250794,0.206121,0.301471,0.134926,0.203813,"[0.1349, 0.2038)",0.170824,0.16802,fine_tail,True,False
6,7,286,47,0.164336,0.12589,0.21168,0.203813,0.272699,"[0.2038, 0.2727)",0.236816,0.234131,fine_tail,True,False
7,8,228,49,0.214912,0.166551,0.272722,0.272699,0.341585,"[0.2727, 0.3416)",0.306676,0.309388,fine_tail,True,False
8,9,174,35,0.201149,0.148337,0.266873,0.341585,0.410471,"[0.3416, 0.4105)",0.376345,0.37805,fine_tail,True,False
9,10,151,23,0.152318,0.103692,0.218196,0.410471,0.479357,"[0.4105, 0.4794)",0.444042,0.439729,fine_tail,True,False
10,11,87,19,0.218391,0.144507,0.316093,0.479357,0.548244,"[0.4794, 0.5482)",0.512215,0.506157,fine_tail,True,False
11,12,68,13,0.191176,0.115272,0.300109,0.548244,0.61713,"[0.5482, 0.6171)",0.572821,0.569487,fine_tail,True,False
12,13,20,5,0.25,0.11186,0.468705,0.61713,0.686016,"[0.6171, 0.686)",0.647653,0.640684,fine_tail,True,True
13,14,10,0,0,0,0.27754,0.686016,0.754902,"[0.686, 0.7549)",0.740258,0.740258,fine_tail,True,True
