vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,11,1,0.0909091,0.0162318,0.377365,-0.688693,-0.493741,"[-0.6887, -0.4937)",-0.570183,-0.533324,coarse,False,True
1,2,71,18,0.253521,0.166804,0.365541,-0.493741,-0.298789,"[-0.4937, -0.2988)",-0.369206,-0.361541,coarse,False,False
2,3,193,44,0.227979,0.17444,0.292136,-0.298789,-0.103837,"[-0.2988, -0.1038)",-0.184186,-0.172908,coarse,False,False
3,4,310,81,0.26129,0.215517,0.312907,-0.103837,0.091115,"[-0.1038, 0.09111)",0.00103441,-0.00195609,coarse,False,False
4,5,119,42,0.352941,0.272905,0.442175,0.091115,0.157494,"[0.09111, 0.1575)",0.119726,0.11702,fine_tail,True,False
5,6,110,33,0.3,0.222298,0.3912,0.157494,0.223872,"[0.1575, 0.2239)",0.193001,0.195529,fine_tail,True,False
6,7,88,23,0.261364,0.180931,0.36176,0.223872,0.290251,"[0.2239, 0.2903)",0.257339,0.261053,fine_tail,True,False
7,8,67,21,0.313433,0.215052,0.432048,0.290251,0.35663,"[0.2903, 0.3566)",0.320971,0.318814,fine_tail,True,False
8,9,66,21,0.318182,0.218488,0.437877,0.35663,0.423009,"[0.3566, 0.423)",0.386629,0.388209,fine_tail,True,False
9,10,56,10,0.178571,0.0999975,0.298414,0.423009,0.489387,"[0.423, 0.4894)",0.448477,0.445248,fine_tail,True,False
10,11,42,9,0.214286,0.117057,0.359401,0.489387,0.555766,"[0.4894, 0.5558)",0.5239,0.525532,fine_tail,True,False
11,12,26,4,0.153846,0.0614993,0.335316,0.555766,0.622145,"[0.5558, 0.6221)",0.583394,0.581804,fine_tail,True,True
12,13,7,2,0.285714,0.0822172,0.641071,0.622145,0.688524,"[0.6221, 0.6885)",0.654673,0.644511,fine_tail,True,True
13,14,4,0,0,0,0.4899,0.688524,0.754902,"[0.6885, 0.7549)",0.74758,0.754902,fine_tail,True,True
