vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,49,15,0.306122,0.195153,0.445282,-0.667163,-0.484988,"[-0.6672, -0.485)",-0.548033,-0.511955,coarse,False,False
1,2,246,41,0.166667,0.125296,0.218288,-0.484988,-0.302813,"[-0.485, -0.3028)",-0.369579,-0.354613,coarse,False,False
2,3,651,105,0.16129,0.135037,0.191518,-0.302813,-0.120639,"[-0.3028, -0.1206)",-0.198026,-0.191445,coarse,False,False
3,4,1023,171,0.167155,0.145545,0.191256,-0.120639,0.0615357,"[-0.1206, 0.06154)",-0.0238194,-0.0233671,coarse,False,False
4,5,499,82,0.164329,0.134401,0.199385,0.0615357,0.148379,"[0.06154, 0.1484)",0.101109,0.0990249,fine_tail,True,False
5,6,482,84,0.174274,0.143019,0.21068,0.148379,0.235221,"[0.1484, 0.2352)",0.196042,0.199083,fine_tail,True,False
6,7,348,59,0.16954,0.133774,0.212522,0.235221,0.322064,"[0.2352, 0.3221)",0.276273,0.276503,fine_tail,True,False
7,8,241,44,0.182573,0.138907,0.236199,0.322064,0.408907,"[0.3221, 0.4089)",0.367012,0.367746,fine_tail,True,False
8,9,215,29,0.134884,0.0955822,0.187004,0.408907,0.49575,"[0.4089, 0.4958)",0.448745,0.447914,fine_tail,True,False
9,10,100,14,0.14,0.0852627,0.221374,0.49575,0.582593,"[0.4958, 0.5826)",0.536746,0.533003,fine_tail,True,False
10,11,43,2,0.0465116,0.012849,0.154558,0.582593,0.669436,"[0.5826, 0.6694)",0.626383,0.628768,fine_tail,True,False
11,12,19,2,0.105263,0.0293579,0.313946,0.669436,0.756279,"[0.6694, 0.7563)",0.719169,0.721538,fine_tail,True,True
12,13,13,0,0,0,0.228102,0.756279,0.843122,"[0.7563, 0.8431)",0.830749,0.84235,fine_tail,True,True
13,14,5,0,0,0,0.434491,0.843122,0.929964,"[0.8431, 0.93)",0.929964,0.929964,fine_tail,True,True
