vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,40,1,0.025,0.00442672,0.128817,-0.657502,-0.476951,"[-0.6575, -0.477)",-0.548914,-0.554719,coarse,False,False
1,2,200,37,0.185,0.137301,0.244572,-0.476951,-0.296399,"[-0.477, -0.2964)",-0.36852,-0.361561,coarse,False,False
2,3,581,100,0.172117,0.143601,0.20494,-0.296399,-0.115848,"[-0.2964, -0.1158)",-0.198286,-0.192589,coarse,False,False
3,4,884,144,0.162896,0.14002,0.188689,-0.115848,0.0647032,"[-0.1158, 0.0647)",-0.0219401,-0.0220326,coarse,False,False
4,5,378,84,0.222222,0.183223,0.26681,0.0647032,0.134267,"[0.0647, 0.1343)",0.0988886,0.0989792,fine_tail,True,False
5,6,334,71,0.212575,0.172093,0.259593,0.134267,0.203832,"[0.1343, 0.2038)",0.171048,0.173408,fine_tail,True,False
6,7,269,42,0.156134,0.117633,0.204318,0.203832,0.273396,"[0.2038, 0.2734)",0.238868,0.23932,fine_tail,True,False
7,8,225,55,0.244444,0.192888,0.304581,0.273396,0.34296,"[0.2734, 0.343)",0.306683,0.302079,fine_tail,True,False
8,9,183,35,0.191257,0.140855,0.254355,0.34296,0.412524,"[0.343, 0.4125)",0.377553,0.380925,fine_tail,True,False
9,10,141,24,0.170213,0.117133,0.240787,0.412524,0.482088,"[0.4125, 0.4821)",0.44384,0.44227,fine_tail,True,False
10,11,75,12,0.16,0.0939642,0.259169,0.482088,0.551652,"[0.4821, 0.5517)",0.515774,0.51378,fine_tail,True,False
11,12,75,27,0.36,0.260648,0.472995,0.551652,0.621217,"[0.5517, 0.6212)",0.588338,0.58367,fine_tail,True,False
12,13,14,4,0.285714,0.117212,0.546495,0.621217,0.690781,"[0.6212, 0.6908)",0.668765,0.673223,fine_tail,True,True
13,14,10,0,0,0,0.27754,0.690781,0.760345,"[0.6908, 0.7603)",0.743003,0.760345,fine_tail,True,True
