vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,10,1,0.1,0.0178757,0.404156,-0.688693,-0.498789,"[-0.6887, -0.4988)",-0.577776,-0.553449,coarse,False,True
1,2,50,11,0.22,0.127538,0.352418,-0.498789,-0.308886,"[-0.4988, -0.3089)",-0.372636,-0.353339,coarse,False,False
2,3,123,22,0.178862,0.121188,0.255988,-0.308886,-0.118982,"[-0.3089, -0.119)",-0.191791,-0.180015,coarse,False,False
3,4,190,44,0.231579,0.177275,0.296522,-0.118982,0.0709219,"[-0.119, 0.07092)",-0.017248,-0.0165551,coarse,False,False
4,5,88,22,0.25,0.171282,0.349632,0.0709219,0.13932,"[0.07092, 0.1393)",0.103417,0.104828,fine_tail,True,False
5,6,55,16,0.290909,0.18771,0.42141,0.13932,0.207718,"[0.1393, 0.2077)",0.173732,0.171337,fine_tail,True,False
6,7,61,12,0.196721,0.116277,0.313102,0.207718,0.276116,"[0.2077, 0.2761)",0.239971,0.23838,fine_tail,True,False
7,8,48,14,0.291667,0.182414,0.431795,0.276116,0.344514,"[0.2761, 0.3445)",0.311672,0.314168,fine_tail,True,False
8,9,39,13,0.333333,0.206328,0.490229,0.344514,0.412912,"[0.3445, 0.4129)",0.382078,0.38006,fine_tail,True,False
9,10,36,4,0.111111,0.0440657,0.253151,0.412912,0.48131,"[0.4129, 0.4813)",0.443768,0.437737,fine_tail,True,False
10,11,26,5,0.192308,0.0850694,0.378766,0.48131,0.549708,"[0.4813, 0.5497)",0.515464,0.518817,fine_tail,True,True
11,12,14,1,0.0714286,0.0127219,0.314693,0.549708,0.618106,"[0.5497, 0.6181)",0.570465,0.568803,fine_tail,True,True
12,13,4,1,0.25,0.0455861,0.699364,0.618106,0.686504,"[0.6181, 0.6865)",0.647844,0.642598,fine_tail,True,True
13,14,1,0,0,0,0.793457,0.686504,0.754902,"[0.6865, 0.7549)",0.754902,0.754902,fine_tail,True,True
