vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,15,6,0.4,0.198242,0.642536,-0.506394,-0.347362,"[-0.5064, -0.3474)",-0.416009,-0.413455,coarse,False,True
1,2,38,11,0.289474,0.170031,0.447574,-0.347362,-0.18833,"[-0.3474, -0.1883)",-0.268983,-0.27575,coarse,False,False
2,3,70,20,0.285714,0.193221,0.400504,-0.18833,-0.0292987,"[-0.1883, -0.0293)",-0.101857,-0.0981182,coarse,False,False
3,4,86,33,0.383721,0.288013,0.489373,-0.0292987,0.129733,"[-0.0293, 0.1297)",0.059789,0.0655367,coarse,False,False
4,5,45,17,0.377778,0.251079,0.523703,0.129733,0.192794,"[0.1297, 0.1928)",0.166302,0.16788,fine_tail,True,False
5,6,33,10,0.30303,0.173753,0.473385,0.192794,0.255855,"[0.1928, 0.2559)",0.219843,0.218721,fine_tail,True,False
6,7,35,14,0.4,0.255505,0.564276,0.255855,0.318917,"[0.2559, 0.3189)",0.285678,0.284188,fine_tail,True,False
7,8,24,10,0.416667,0.244673,0.611657,0.318917,0.381978,"[0.3189, 0.382)",0.352265,0.351137,fine_tail,True,True
8,9,20,6,0.3,0.145475,0.518977,0.381978,0.445039,"[0.382, 0.445)",0.411147,0.410862,fine_tail,True,True
9,10,18,2,0.111111,0.0310189,0.328002,0.445039,0.5081,"[0.445, 0.5081)",0.469814,0.467928,fine_tail,True,True
10,11,7,3,0.428571,0.158217,0.749546,0.5081,0.571161,"[0.5081, 0.5712)",0.53325,0.530135,fine_tail,True,True
11,12,18,6,0.333333,0.162786,0.562509,0.571161,0.634223,"[0.5712, 0.6342)",0.592301,0.589158,fine_tail,True,True
12,13,3,1,0.333333,0.0614903,0.792345,0.634223,0.697284,"[0.6342, 0.6973)",0.655818,0.662754,fine_tail,True,True
13,14,3,0,0,0,0.561506,0.697284,0.760345,"[0.6973, 0.7603)",0.745893,0.760345,fine_tail,True,True
