vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,high_tj_tail,thin_cell
0,1,16,6,0.375,0.18481,0.613594,-0.438685,-0.299408,"[-0.4387, -0.2994)",-0.362495,-0.357503,False,True
1,2,36,12,0.333333,0.202144,0.496663,-0.299408,-0.16013,"[-0.2994, -0.1601)",-0.212686,-0.210358,False,False
2,3,56,17,0.303571,0.199002,0.433361,-0.16013,-0.0208528,"[-0.1601, -0.02085)",-0.0750891,-0.0679798,False,False
3,4,88,28,0.318182,0.230224,0.42135,-0.0208528,0.118425,"[-0.02085, 0.1184)",0.0497611,0.0446154,True,False
4,5,18,4,0.222222,0.0900078,0.45215,0.118425,0.149795,"[0.1184, 0.1498)",0.135442,0.136191,True,True
5,6,11,8,0.727273,0.43435,0.902541,0.149795,0.181166,"[0.1498, 0.1812)",0.163513,0.163536,True,True
6,7,24,11,0.458333,0.278911,0.649254,0.181166,0.212536,"[0.1812, 0.2125)",0.199391,0.19752,True,True
7,8,28,7,0.25,0.126763,0.43356,0.212536,0.243907,"[0.2125, 0.2439)",0.230185,0.228748,True,True
8,9,6,2,0.333333,0.0967693,0.700012,0.243907,0.275277,"[0.2439, 0.2753)",0.261384,0.2595,True,True
9,10,18,5,0.277778,0.124996,0.508731,0.275277,0.306647,"[0.2753, 0.3066)",0.291939,0.287951,True,True
10,11,9,3,0.333333,0.120582,0.645803,0.306647,0.338018,"[0.3066, 0.338)",0.321373,0.316018,True,True
11,12,12,2,0.166667,0.0469641,0.448036,0.338018,0.369388,"[0.338, 0.3694)",0.357304,0.353989,True,True
12,13,9,3,0.333333,0.120582,0.645803,0.369388,0.400759,"[0.3694, 0.4008)",0.39045,0.386029,True,True
13,14,9,5,0.555556,0.266647,0.811225,0.400759,0.432129,"[0.4008, 0.4321)",0.416687,0.417388,True,True
14,15,15,3,0.2,0.0704742,0.451859,0.432129,0.4635,"[0.4321, 0.4635)",0.449077,0.447392,True,True
15,16,4,1,0.25,0.0455861,0.699364,0.4635,0.49487,"[0.4635, 0.4949)",0.480302,0.482088,True,True
16,17,4,0,0,0,0.4899,0.49487,0.526241,"[0.4949, 0.5262)",0.513632,0.515665,True,True
17,18,4,1,0.25,0.0455861,0.699364,0.526241,0.557611,"[0.5262, 0.5576)",0.543711,0.545265,True,True
18,19,4,0,0,0,0.4899,0.557611,0.588981,"[0.5576, 0.589)",0.567135,0.560846,True,True
19,20,13,0,0,0,0.228102,0.588981,0.620352,"[0.589, 0.6204)",0.601354,0.601027,True,True
20,21,2,0,0,0,0.657628,0.620352,0.651722,"[0.6204, 0.6517)",0.629007,0.629007,True,True
21,22,4,1,0.25,0.0455861,0.699364,0.651722,0.683093,"[0.6517, 0.6831)",0.662154,0.658194,True,True
22,23,1,0,0,0,0.793457,0.683093,0.714463,"[0.6831, 0.7145)",0.70983,0.70983,True,True
23,24,1,0,0,0,0.793457,0.714463,0.745834,"[0.7145, 0.7458)",0.745834,0.745834,True,True
