vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,3,0,0,0,0.561506,-0.667163,-0.464322,"[-0.6672, -0.4643)",-0.567793,-0.53195,coarse,False,True
1,2,15,6,0.4,0.198242,0.642536,-0.464322,-0.261482,"[-0.4643, -0.2615)",-0.308506,-0.299898,coarse,False,True
2,3,36,15,0.416667,0.271403,0.578,-0.261482,-0.058642,"[-0.2615, -0.05864)",-0.158692,-0.161278,coarse,False,False
3,4,109,28,0.256881,0.184119,0.346196,-0.058642,0.144198,"[-0.05864, 0.1442)",0.0450653,0.0442948,coarse,False,False
4,5,30,12,0.4,0.245904,0.576799,0.144198,0.2115,"[0.1442, 0.2115)",0.180192,0.177585,fine_tail,True,False
5,6,39,9,0.230769,0.126457,0.383366,0.2115,0.278802,"[0.2115, 0.2788)",0.239081,0.237856,fine_tail,True,False
6,7,19,6,0.315789,0.153642,0.5399,0.278802,0.346103,"[0.2788, 0.3461)",0.310897,0.303316,fine_tail,True,True
7,8,20,4,0.2,0.0806564,0.416022,0.346103,0.413405,"[0.3461, 0.4134)",0.380694,0.380127,fine_tail,True,True
8,9,27,2,0.0740741,0.0205542,0.2337,0.413405,0.480707,"[0.4134, 0.4807)",0.450842,0.45118,fine_tail,True,True
9,10,10,2,0.2,0.0566809,0.509843,0.480707,0.548008,"[0.4807, 0.548)",0.500135,0.494047,fine_tail,True,True
10,11,11,0,0,2.77556e-17,0.25884,0.548008,0.61531,"[0.548, 0.6153)",0.583243,0.573853,fine_tail,True,True
11,12,3,1,0.333333,0.0614903,0.792345,0.61531,0.682612,"[0.6153, 0.6826)",0.64405,0.639802,fine_tail,True,True
12,13,1,0,0,0,0.793457,0.682612,0.749913,"[0.6826, 0.7499)",0.690525,0.690525,fine_tail,True,True
13,14,1,0,0,0,0.793457,0.749913,0.817215,"[0.7499, 0.8172)",0.817215,0.817215,fine_tail,True,True
