vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,7,2,0.285714,0.0822172,0.641071,-0.66361,-0.470443,"[-0.6636, -0.4704)",-0.523453,-0.509044,coarse,False,True
1,2,56,16,0.285714,0.184186,0.414755,-0.470443,-0.277277,"[-0.4704, -0.2773)",-0.353527,-0.341625,coarse,False,False
2,3,144,32,0.222222,0.162036,0.296844,-0.277277,-0.084111,"[-0.2773, -0.08411)",-0.170547,-0.16152,coarse,False,False
3,4,235,67,0.285106,0.231202,0.345924,-0.084111,0.109055,"[-0.08411, 0.1091)",0.0181045,0.020689,coarse,False,False
4,5,82,34,0.414634,0.314164,0.522745,0.109055,0.17364,"[0.1091, 0.1736)",0.136772,0.133601,fine_tail,True,False
5,6,83,29,0.349398,0.25556,0.45656,0.17364,0.238225,"[0.1736, 0.2382)",0.205748,0.201378,fine_tail,True,False
6,7,55,20,0.363636,0.249303,0.495775,0.238225,0.302809,"[0.2382, 0.3028)",0.269206,0.267605,fine_tail,True,False
7,8,59,19,0.322034,0.216874,0.448952,0.302809,0.367394,"[0.3028, 0.3674)",0.336201,0.336949,fine_tail,True,False
8,9,40,15,0.375,0.242228,0.529678,0.367394,0.431979,"[0.3674, 0.432)",0.39621,0.394157,fine_tail,True,False
9,10,45,11,0.244444,0.142353,0.386737,0.431979,0.496564,"[0.432, 0.4966)",0.453486,0.449752,fine_tail,True,False
10,11,38,11,0.289474,0.170031,0.447574,0.496564,0.561148,"[0.4966, 0.5611)",0.52427,0.525532,fine_tail,True,False
11,12,27,5,0.185185,0.0818059,0.366991,0.561148,0.625733,"[0.5611, 0.6257)",0.582139,0.577954,fine_tail,True,True
12,13,8,2,0.25,0.0714777,0.59073,0.625733,0.690318,"[0.6257, 0.6903)",0.652924,0.642598,fine_tail,True,True
13,14,4,0,0,0,0.4899,0.690318,0.754902,"[0.6903, 0.7549)",0.74758,0.754902,fine_tail,True,True
