vent,bin_display,n,drafts,draft_rate,ci_lo,ci_hi,edge_lo,edge_hi,edge_interval,T_j_mean,T_j_median,bin_region,high_tj_tail,thin_cell
0,1,21,7,0.333333,0.171945,0.546269,-0.563497,-0.396567,"[-0.5635, -0.3966)",-0.464167,-0.467683,coarse,False,True
1,2,72,19,0.263889,0.175936,0.375761,-0.396567,-0.229638,"[-0.3966, -0.2296)",-0.307154,-0.304558,coarse,False,False
2,3,133,33,0.24812,0.182478,0.327905,-0.229638,-0.0627078,"[-0.2296, -0.06271)",-0.141172,-0.139287,coarse,False,False
3,4,201,51,0.253731,0.19858,0.31812,-0.0627078,0.104222,"[-0.06271, 0.1042)",0.0272169,0.0299447,coarse,False,False
4,5,77,36,0.467532,0.360299,0.577852,0.104222,0.169834,"[0.1042, 0.1698)",0.138218,0.133302,fine_tail,True,False
5,6,74,26,0.351351,0.25238,0.464994,0.169834,0.235447,"[0.1698, 0.2354)",0.198301,0.196274,fine_tail,True,False
6,7,72,30,0.416667,0.30985,0.531925,0.235447,0.301059,"[0.2354, 0.3011)",0.270343,0.271277,fine_tail,True,False
7,8,50,16,0.32,0.20758,0.458106,0.301059,0.366671,"[0.3011, 0.3667)",0.334861,0.335835,fine_tail,True,False
8,9,52,17,0.326923,0.215219,0.462441,0.366671,0.432283,"[0.3667, 0.4323)",0.400482,0.39523,fine_tail,True,False
9,10,38,8,0.210526,0.110747,0.363461,0.432283,0.497896,"[0.4323, 0.4979)",0.467497,0.462567,fine_tail,True,False
10,11,22,5,0.227273,0.101229,0.434404,0.497896,0.563508,"[0.4979, 0.5635)",0.539955,0.541936,fine_tail,True,True
11,12,29,12,0.413793,0.255129,0.592625,0.563508,0.62912,"[0.5635, 0.6291)",0.596283,0.594647,fine_tail,True,True
12,13,8,4,0.5,0.215213,0.784787,0.62912,0.694733,"[0.6291, 0.6947)",0.668021,0.673223,fine_tail,True,True
13,14,4,0,0,0,0.4899,0.694733,0.760345,"[0.6947, 0.7603)",0.749506,0.760345,fine_tail,True,True
