perf_metric,x,mg,seasons,n_bins,binning,winsor,min_minutes,draft_relevant_only,ts_min_games,subsample,n,drafts,beta_sq,peak_bin,peak_rate,bin_last_rate,tail_drop,decline_bins_after_peak,consec_declines_from_peak,rates,slug,description,png
obpm,poolq_loo,10,2011-2021,16,quantile,"[0.01, 0.99]",20.0,False,,,45154,1102,0.06421080704314067,16,0.11693834160170093,0.11693834160170093,0.0,0,0,"[0.00071, 0.00142, 0.00461, 0.00602, 0.00354, 0.00496, 0.00602, 0.01382, 0.01311, 0.01772, 0.02303, 0.02941, 0.03579, 0.04678, 0.06662, 0.11694]",obpm_loo_mg10_2011_2021_b16q_w0199,"What we tried:
  perf_metric: OBPM (own ability + LOO teammate quality)
  X-axis: poolq_loo (LOO teammate perf)
  Panel: POST-QC: drop team-seasons with ≤10 ESPN games
  Seasons: 2011-2021 · min_minutes=20
  Bins: 16 quantile · winsor 0.01–0.99
  n=45,154 · drafts=1,102
  Peak bin 16 @ 11.69%
  Last bin @ 11.69% · tail Δ=+0.00pp
  Declining bins after peak: 0 (consecutive from peak: 0)
  LPM β₂=+0.0642 (not concave)",PASS_A_sensitivity_obpm_loo_mg10_2011_2021_b16q_w0199.png
obpm,poolq_loo,10,2013-2021,16,quantile,"[0.01, 0.99]",20.0,False,,,37220,853,0.061565440336605284,16,0.11263972484952708,0.11263972484952708,0.0,0,0,"[0.0, 0.00086, 0.00387, 0.00559, 0.00344, 0.00473, 0.00645, 0.01462, 0.00817, 0.01677, 0.01978, 0.03095, 0.03352, 0.03955, 0.06578, 0.11264]",obpm_loo_mg10_2013_2021_b16q_w0199,"What we tried:
  perf_metric: OBPM (own ability + LOO teammate quality)
  X-axis: poolq_loo (LOO teammate perf)
  Panel: POST-QC: drop team-seasons with ≤10 ESPN games
  Seasons: 2013-2021 · min_minutes=20
  Bins: 16 quantile · winsor 0.01–0.99
  n=37,220 · drafts=853
  Peak bin 16 @ 11.26%
  Last bin @ 11.26% · tail Δ=+0.00pp
  Declining bins after peak: 0 (consecutive from peak: 0)
  LPM β₂=+0.0616 (not concave)",PASS_A_sensitivity_obpm_loo_mg10_2013_2021_b16q_w0199.png
obpm,pool_mean,10,2011-2021,16,quantile,"[0.01, 0.99]",20.0,False,,,45154,1102,0.08452153177281792,16,0.147413182140326,0.147413182140326,0.0,0,0,"[0.00035, 0.00035, 0.00213, 0.00213, 0.00461, 0.00461, 0.00354, 0.00496, 0.00673, 0.01772, 0.01807, 0.02303, 0.03544, 0.04571, 0.07371, 0.14741]",obpm_poolmean_mg10_2011_2021_b16q_w0199,"What we tried:
  perf_metric: OBPM (own ability + LOO teammate quality)
  X-axis: pool_mean (team-season avg perf)
  Panel: POST-QC: drop team-seasons with ≤10 ESPN games
  Seasons: 2011-2021 · min_minutes=20
  Bins: 16 quantile · winsor 0.01–0.99
  n=45,154 · drafts=1,102
  Peak bin 16 @ 14.74%
  Last bin @ 14.74% · tail Δ=+0.00pp
  Declining bins after peak: 0 (consecutive from peak: 0)
  LPM β₂=+0.0845 (not concave)",PASS_A_sensitivity_obpm_poolmean_mg10_2011_2021_b16q_w0199.png
