vent,n,draft_rate,poolq_mean,poolq_median,x_min,x_max,edge_lo,edge_hi,x_center
0,2895,0.01934369602763385,-0.5013219272651236,-0.4846480192684308,-0.6174895790319825,-0.4000331841253338,-0.6174895790319825,-0.4000331841253338,-0.5013219272651236
1,2894,0.02073255010366275,-0.34812337579446034,-0.3455246691124359,-0.3999729350674797,-0.30396395915019514,-0.3999729350674797,-0.30396395915019514,-0.34812337579446034
2,2894,0.021769177608845888,-0.2677561793532994,-0.2667360475281867,-0.30393141068157,-0.2347284394369125,-0.30393141068157,-0.2347284394369125,-0.2677561793532994
3,2894,0.018313752591568762,-0.20609658448840998,-0.20655973498820204,-0.23468932778087206,-0.17889157962150817,-0.23468932778087206,-0.17889157962150817,-0.20609658448840998
4,2894,0.027297857636489287,-0.15510561887663082,-0.15481058496648015,-0.17886995549638685,-0.13276426741312988,-0.17886995549638685,-0.13276426741312988,-0.15510561887663082
5,2894,0.019004837595024186,-0.10978619321923197,-0.10921986655397228,-0.13275046895214979,-0.08813817755177478,-0.13275046895214979,-0.08813817755177478,-0.10978619321923197
6,2894,0.023496890117484452,-0.06768427985459946,-0.06778156412436415,-0.08813667436212894,-0.04723070015319133,-0.08813667436212894,-0.04723070015319133,-0.06768427985459946
7,2894,0.021078092605390463,-0.026263086412599983,-0.02585722199485112,-0.04722674518663863,-0.005967716174249705,-0.04722674518663863,-0.005967716174249705,-0.026263086412599983
8,2895,0.024179620034542316,0.014811655865880716,0.015055896302655187,-0.005947549676565045,0.035177967467064246,-0.005947549676565045,0.035177967467064246,0.014811655865880716
9,2894,0.022805805114029024,0.05649426672906107,0.05631779424513633,0.035187450931423114,0.07788533925225538,0.035187450931423114,0.07788533925225538,0.05649426672906107
10,2894,0.02626123013130615,0.0998514551998673,0.09918563625368058,0.07788662413832559,0.12292904845889452,0.07788662413832559,0.12292904845889452,0.0998514551998673
11,2894,0.02626123013130615,0.14860474105964488,0.14866873359389648,0.1229670955016195,0.17537268339411732,0.1229670955016195,0.17537268339411732,0.14860474105964488
12,2894,0.027297857636489287,0.203618106576566,0.20323319220027614,0.1754100416958852,0.23456315736826852,0.1754100416958852,0.23456315736826852,0.203618106576566
13,2894,0.02902557014512785,0.27079647313401733,0.2699088944510557,0.23463247218716798,0.30953097806810076,0.23463247218716798,0.30953097806810076,0.27079647313401733
14,2894,0.03248099516240498,0.3586884932472075,0.35627708922538825,0.30955440519403576,0.4165196584337455,0.30955440519403576,0.4165196584337455,0.3586884932472075
15,2894,0.032135452660677265,0.5262805737897895,0.5136032372450936,0.41671915693260947,0.6410846369689107,0.41671915693260947,0.6410846369689107,0.5262805737897895
