name_display,university,uni_slug,year,rank,pubs_year,pubs_cumulative,years_as_asst_so_far,tenure_event,year_of_tenure,attrition,censored,openalex_id,match_confidence,faculty_id,name_key,n_snapshots,ever_assistant,first_asst_year,last_asst_year,pool_size_all,pool_size_oa,pool_size_oa_loo,poolq_loo_mean,poolq_loo_sd,pool_rank_loo,pool_pctile_loo
Yan Shoshitaishvili,Arizona State University,arizona_state_university,2019,assistant,0,0,1.0,False,,False,True,https://openalex.org/A5026842092,MEDIUM,arizona_state_university|yan shoshitaishvili,yan shoshitaishvili,10,True,2019.0,2021.0,33.0,27.0,26.0,0.2692,1.0023,24.0,88.5
Yan Shoshitaishvili,Arizona State University,arizona_state_university,2020,assistant,0,0,2.0,False,,False,True,https://openalex.org/A5026842092,MEDIUM,arizona_state_university|yan shoshitaishvili,yan shoshitaishvili,6,True,2019.0,2021.0,31.0,21.0,20.0,0.5,2.0131,19.0,90.0
Yan Shoshitaishvili,Arizona State University,arizona_state_university,2021,assistant,0,0,3.0,False,,False,True,https://openalex.org/A5026842092,MEDIUM,arizona_state_university|yan shoshitaishvili,yan shoshitaishvili,4,True,2019.0,2021.0,32.0,21.0,20.0,0.35,0.9333,18.0,85.0
Bo Liu,Auburn University,auburn_university,2022,assistant,95,95,1.0,False,,False,True,https://openalex.org/A5100376040,HIGH,auburn_university|bo liu,bo liu,8,True,2022.0,2022.0,7.0,7.0,6.0,2.3333,5.7155,7.0,100.0
Cheryl Seals,Auburn University,auburn_university,2007,assistant,0,0,1.0,True,2010.0,False,False,https://openalex.org/A5029399576,MEDIUM,auburn_university|cheryl seals,cheryl seals,20,True,2007.0,2009.0,6.0,4.0,3.0,0.0,0.0,4.0,100.0
Cheryl Seals,Auburn University,auburn_university,2008,assistant,0,0,2.0,True,2010.0,False,False,https://openalex.org/A5029399576,MEDIUM,auburn_university|cheryl seals,cheryl seals,32,True,2007.0,2009.0,7.0,5.0,4.0,0.0,0.0,5.0,100.0
Cheryl Seals,Auburn University,auburn_university,2009,assistant,0,0,3.0,True,2010.0,False,False,https://openalex.org/A5029399576,MEDIUM,auburn_university|cheryl seals,cheryl seals,12,True,2007.0,2009.0,5.0,4.0,3.0,0.6667,0.5774,2.0,33.3
Drew Springall,Auburn University,auburn_university,2022,assistant,0,0,1.0,False,,False,True,https://openalex.org/A5089221571,MEDIUM,auburn_university|drew springall,drew springall,12,True,2022.0,2024.0,7.0,7.0,6.0,18.1667,38.0548,5.0,66.7
Drew Springall,Auburn University,auburn_university,2023,assistant,0,0,2.0,False,,False,True,https://openalex.org/A5089221571,MEDIUM,auburn_university|drew springall,drew springall,8,True,2022.0,2024.0,9.0,9.0,8.0,1.75,3.2404,7.0,75.0
Drew Springall,Auburn University,auburn_university,2024,assistant,0,0,3.0,False,,False,True,https://openalex.org/A5089221571,MEDIUM,auburn_university|drew springall,drew springall,8,True,2022.0,2024.0,10.0,10.0,9.0,1.7778,3.8333,8.0,77.8
Levent Yilmaz,Auburn University,auburn_university,2007,assistant,0,0,1.0,True,2009.0,False,False,https://openalex.org/A5092386161,HIGH,auburn_university|levent yilmaz,levent yilmaz,20,True,2007.0,2008.0,6.0,4.0,3.0,0.0,0.0,4.0,100.0
Levent Yilmaz,Auburn University,auburn_university,2008,assistant,0,0,2.0,True,2009.0,False,False,https://openalex.org/A5092386161,HIGH,auburn_university|levent yilmaz,levent yilmaz,32,True,2007.0,2008.0,7.0,5.0,4.0,0.0,0.0,5.0,100.0
Manjunath Gorentla Venkata,Auburn University,auburn_university,2015,assistant,0,0,1.0,False,,True,False,https://openalex.org/A5067995943,MEDIUM,auburn_university|manjunath gorentla venkata,manjunath gorentla venkata,24,True,2015.0,2015.0,4.0,3.0,2.0,1.0,1.4142,2.0,50.0
Munawar Hafiz,Auburn University,auburn_university,2011,assistant,4,4,1.0,False,,True,False,https://openalex.org/A5060527236,HIGH,auburn_university|munawar hafiz,munawar hafiz,12,True,2011.0,2015.0,3.0,3.0,2.0,7.0,9.8995,2.0,50.0
Munawar Hafiz,Auburn University,auburn_university,2012,assistant,3,7,2.0,False,,True,False,https://openalex.org/A5060527236,HIGH,auburn_university|munawar hafiz,munawar hafiz,20,True,2011.0,2015.0,3.0,3.0,2.0,5.0,7.0711,2.0,50.0
Munawar Hafiz,Auburn University,auburn_university,2013,assistant,5,12,3.0,False,,True,False,https://openalex.org/A5060527236,HIGH,auburn_university|munawar hafiz,munawar hafiz,16,True,2011.0,2015.0,2.0,2.0,1.0,17.0,,1.0,0.0
Munawar Hafiz,Auburn University,auburn_university,2015,assistant,2,23,5.0,False,,True,False,https://openalex.org/A5060527236,HIGH,auburn_university|munawar hafiz,munawar hafiz,16,True,2011.0,2015.0,4.0,3.0,2.0,0.0,0.0,3.0,100.0
Sarp Oral,Auburn University,auburn_university,2015,assistant,0,0,1.0,False,,True,False,https://openalex.org/A5014538652,MEDIUM,auburn_university|sarp oral,sarp oral,24,True,2015.0,2015.0,4.0,3.0,2.0,1.0,1.4142,2.0,50.0
Sathyanarayanan Aakur,Auburn University,auburn_university,2023,assistant,7,7,1.0,False,,False,True,https://openalex.org/A5080710999,HIGH,auburn_university|sathyanarayanan aakur,sathyanarayanan aakur,4,True,2023.0,2024.0,9.0,9.0,8.0,0.875,2.4749,9.0,100.0
Sathyanarayanan Aakur,Auburn University,auburn_university,2024,assistant,11,18,2.0,False,,False,True,https://openalex.org/A5080710999,HIGH,auburn_university|sathyanarayanan aakur,sathyanarayanan aakur,8,True,2023.0,2024.0,10.0,10.0,9.0,0.5556,1.6667,10.0,100.0
Tung Nguyen,Auburn University,auburn_university,2022,assistant,14,14,1.0,False,,False,True,https://openalex.org/A5026575460,HIGH,auburn_university|tung nguyen,tung nguyen,12,True,2022.0,2023.0,7.0,7.0,6.0,15.8333,38.7836,6.0,83.3
Tung Nguyen,Auburn University,auburn_university,2023,assistant,7,21,2.0,False,,False,True,https://openalex.org/A5026575460,HIGH,auburn_university|tung nguyen,tung nguyen,4,True,2022.0,2023.0,9.0,9.0,8.0,0.875,2.4749,9.0,100.0
Weikuan Yu,Auburn University,auburn_university,2009,assistant,1,1,1.0,True,2014.0,False,False,https://openalex.org/A5070216261,HIGH,auburn_university|weikuan yu,weikuan yu,12,True,2009.0,2013.0,5.0,4.0,3.0,0.3333,0.5774,4.0,100.0
Weikuan Yu,Auburn University,auburn_university,2010,assistant,5,6,2.0,True,2014.0,False,False,https://openalex.org/A5070216261,HIGH,auburn_university|weikuan yu,weikuan yu,8,True,2009.0,2013.0,4.0,3.0,2.0,1.5,2.1213,3.0,100.0
Weikuan Yu,Auburn University,auburn_university,2011,assistant,14,20,3.0,True,2014.0,False,False,https://openalex.org/A5070216261,HIGH,auburn_university|weikuan yu,weikuan yu,12,True,2009.0,2013.0,3.0,3.0,2.0,2.0,2.8284,3.0,100.0
Weikuan Yu,Auburn University,auburn_university,2012,assistant,10,30,4.0,True,2014.0,False,False,https://openalex.org/A5070216261,HIGH,auburn_university|weikuan yu,weikuan yu,20,True,2009.0,2013.0,3.0,3.0,2.0,1.5,2.1213,3.0,100.0
Weikuan Yu,Auburn University,auburn_university,2013,assistant,17,47,5.0,True,2014.0,False,False,https://openalex.org/A5070216261,HIGH,auburn_university|weikuan yu,weikuan yu,16,True,2009.0,2013.0,2.0,2.0,1.0,5.0,,2.0,100.0
